"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max","Identifier?","Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
"pain_body_map_record_id","px171701_PX171701_pain_body_map",,"text","Record ID",,"PX171701",,,,,,,,,,"",""
"pain_body_map_chronic_pain","px171701_PX171701_pain_body_map",,"checkbox","If you do not have chronic pain check here","UNDEFINED_CODE, No Chronic Pain","PX171701",,,,,,,,,,"",""
"pain_body_map_persistent_recurrent_abdomen","px171701_PX171701_pain_body_map",,"radio","Have you felt persistent or recurrent pain for the last 3 months or longer in the following place? Abdomen","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No","PX171701",,,,,"[pain_body_map_chronic_pain(UNDEFINED_CODE)]!='1'",,,,,"",""
"pain_body_map_persistent_recurrent_pelvis","px171701_PX171701_pain_body_map",,"radio","Have you felt persistent or recurrent pain for the last 3 months or longer in the following place? Pelvis","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No","PX171701",,,,,"[pain_body_map_chronic_pain(UNDEFINED_CODE)]!='1'",,,,,"",""
"pain_body_map_persistent_recurrent_right_groin","px171701_PX171701_pain_body_map",,"radio","Have you felt persistent or recurrent pain for the last 3 months or longer in the following place? Rt groin","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No","PX171701",,,,,"[pain_body_map_chronic_pain(UNDEFINED_CODE)]!='1'",,,,,"",""
"pain_body_map_persistent_recurrent_left_groin","px171701_PX171701_pain_body_map",,"radio","Have you felt persistent or recurrent pain for the last 3 months or longer in the following place? Lt groin","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No","PX171701",,,,,"[pain_body_map_chronic_pain(UNDEFINED_CODE)]!='1'",,,,,"",""
"pain_body_map_persistent_recurrent_right_upper_leg","px171701_PX171701_pain_body_map",,"radio","Have you felt persistent or recurrent pain for the last 3 months or longer in the following place? Rt upper leg","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No","PX171701",,,,,"[pain_body_map_chronic_pain(UNDEFINED_CODE)]!='1'",,,,,"",""
"pain_body_map_persistent_recurrent_left_upper_leg","px171701_PX171701_pain_body_map",,"radio","Have you felt persistent or recurrent pain for the last 3 months or longer in the following place? Lt upper leg","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No","PX171701",,,,,"[pain_body_map_chronic_pain(UNDEFINED_CODE)]!='1'",,,,,"",""
"pain_body_map_persistent_recurrent_right_knee","px171701_PX171701_pain_body_map",,"radio","Have you felt persistent or recurrent pain for the last 3 months or longer in the following place? Rt knee","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No","PX171701",,,,,"[pain_body_map_chronic_pain(UNDEFINED_CODE)]!='1'",,,,,"",""
"pain_body_map_persistent_recurrent_left_knee","px171701_PX171701_pain_body_map",,"radio","Have you felt persistent or recurrent pain for the last 3 months or longer in the following place? Lt knee","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No","PX171701",,,,,"[pain_body_map_chronic_pain(UNDEFINED_CODE)]!='1'",,,,,"",""
"pain_body_map_persistent_recurrent_right_lower_leg","px171701_PX171701_pain_body_map",,"radio","Have you felt persistent or recurrent pain for the last 3 months or longer in the following place? Rt lower leg","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No","PX171701",,,,,"[pain_body_map_chronic_pain(UNDEFINED_CODE)]!='1'",,,,,"",""
"pain_body_map_persistent_recurrent_left_lower_leg","px171701_PX171701_pain_body_map",,"radio","Have you felt persistent or recurrent pain for the last 3 months or longer in the following place? Lt lower leg","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No","PX171701",,,,,"[pain_body_map_chronic_pain(UNDEFINED_CODE)]!='1'",,,,,"",""
"pain_body_map_persistent_recurrent_right_ankle","px171701_PX171701_pain_body_map",,"radio","Have you felt persistent or recurrent pain for the last 3 months or longer in the following place? Rt ankle/foot","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No","PX171701",,,,,"[pain_body_map_chronic_pain(UNDEFINED_CODE)]!='1'",,,,,"",""
"pain_body_map_persistent_recurrent_left_ankle","px171701_PX171701_pain_body_map",,"radio","Have you felt persistent or recurrent pain for the last 3 months or longer in the following place? Lt ankle/foot","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No","PX171701",,,,,"[pain_body_map_chronic_pain(UNDEFINED_CODE)]!='1'",,,,,"",""
"pain_body_map_persistent_recurrent_head","px171701_PX171701_pain_body_map",,"radio","Have you felt persistent or recurrent pain for the last 3 months or longer in the following place? Head","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No","PX171701",,,,,"[pain_body_map_chronic_pain(UNDEFINED_CODE)]!='1'",,,,,"",""
"pain_body_map_persistent_recurrent_neck","px171701_PX171701_pain_body_map",,"radio","Have you felt persistent or recurrent pain for the last 3 months or longer in the following place? Neck","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No","PX171701",,,,,"[pain_body_map_chronic_pain(UNDEFINED_CODE)]!='1'",,,,,"",""
"pain_body_map_persistent_recurrent_left_shoulder","px171701_PX171701_pain_body_map",,"radio","Have you felt persistent or recurrent pain for the last 3 months or longer in the following place? Lt shoulder","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No","PX171701",,,,,"[pain_body_map_chronic_pain(UNDEFINED_CODE)]!='1'",,,,,"",""
"pain_body_map_persistent_recurrent_right_shoulder","px171701_PX171701_pain_body_map",,"radio","Have you felt persistent or recurrent pain for the last 3 months or longer in the following place? Rt shoulder","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No","PX171701",,,,,"[pain_body_map_chronic_pain(UNDEFINED_CODE)]!='1'",,,,,"",""
"pain_body_map_persistent_recurrent_upper_back","px171701_PX171701_pain_body_map",,"radio","Have you felt persistent or recurrent pain for the last 3 months or longer in the following place? Upper back","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No","PX171701",,,,,"[pain_body_map_chronic_pain(UNDEFINED_CODE)]!='1'",,,,,"",""
"pain_body_map_persistent_recurrent_lower_back","px171701_PX171701_pain_body_map",,"radio","Have you felt persistent or recurrent pain for the last 3 months or longer in the following place? Lower back","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No","PX171701",,,,,"[pain_body_map_chronic_pain(UNDEFINED_CODE)]!='1'",,,,,"",""
"pain_body_map_persistent_recurrent_left_hip","px171701_PX171701_pain_body_map",,"radio","Have you felt persistent or recurrent pain for the last 3 months or longer in the following place? Lt hip","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No","PX171701",,,,,"[pain_body_map_chronic_pain(UNDEFINED_CODE)]!='1'",,,,,"",""
"pain_body_map_persistent_recurrent_right_hip","px171701_PX171701_pain_body_map",,"radio","Have you felt persistent or recurrent pain for the last 3 months or longer in the following place? Rt hip","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No","PX171701",,,,,"[pain_body_map_chronic_pain(UNDEFINED_CODE)]!='1'",,,,,"",""
"pain_body_map_persistent_recurrent_left_buttocks","px171701_PX171701_pain_body_map",,"radio","Have you felt persistent or recurrent pain for the last 3 months or longer in the following place? Lt buttocks","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No","PX171701",,,,,"[pain_body_map_chronic_pain(UNDEFINED_CODE)]!='1'",,,,,"",""
"pain_body_map_persistent_recurrent_right_buttocks","px171701_PX171701_pain_body_map",,"radio","Have you felt persistent or recurrent pain for the last 3 months or longer in the following place? Rt buttocks","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No","PX171701",,,,,"[pain_body_map_chronic_pain(UNDEFINED_CODE)]!='1'",,,,,"",""
