"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
racial_ethnic_discrimination_recent_lifetime_unfair_teacher_professor_often_record_id,px281501_racial_ethnic_discrimination_recent_lifetime,,text,"Record ID",,PX281501,,,,,,,,,,,
racial_ethnic_discrimination_recent_lifetime_unfair_teacher_professor_often_past_year,px281501_racial_ethnic_discrimination_recent_lifetime,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">How often have you been treated unfairly by </span>teachers and professors<span style=""font-weight: normal;""> because of your race/ethnic group?</span></p></div>",radio,"How often in the past year?","1, Never | 2, Once in a while | 3, Sometimes | 4, A lot | 5, Most of the time | 6, Almost all the time",PX281501,,,,,,,,,,,
racial_ethnic_discrimination_recent_lifetime_unfair_helping_job_often_past_year,px281501_racial_ethnic_discrimination_recent_lifetime,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">How often have you been treated unfairly by </span>people in helping jobs<span style=""font-weight: normal;""> (by </span>doctors, nurses, psychiatrists, case workers, dentists, school counselors, therapists, social workers and others<span style=""font-weight: normal;"">) because of your race/ethnic group?</span></p></div>",radio,"How often in the past year?","1, Never | 2, Once in a while | 3, Sometimes | 4, A lot | 5, Most of the time | 6, Almost all the time",PX281501,,,,,,,,,,,
racial_ethnic_discrimination_recent_lifetime_unfair_helping_job_often_entire_life,px281501_racial_ethnic_discrimination_recent_lifetime,,radio,"How often in your entire life?","1, Never | 2, Once in a while | 3, Sometimes | 4, A lot | 5, Most of the time | 6, Almost all the time",PX281501,,,,,,,,,,,
racial_ethnic_discrimination_recent_lifetime_unfair_helping_job_stressful,px281501_racial_ethnic_discrimination_recent_lifetime,,radio,"How stressful was this for you?","1, Not at all stressful | 2,  | 3,  | 4,  | 5,  | 6, Extremely stressful",PX281501,,,,,,,,,,,
racial_ethnic_discrimination_recent_lifetime_unfair_neighbor_often_past_year,px281501_racial_ethnic_discrimination_recent_lifetime,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">How often have you been treated unfairly by </span>neighbors<span style=""font-weight: normal;""> because of your race/ethnic group?</span></p></div>",radio,"How often in the past year?","1, Never | 2, Once in a while | 3, Sometimes | 4, A lot | 5, Most of the time | 6, Almost all the time",PX281501,,,,,,,,,,,
racial_ethnic_discrimination_recent_lifetime_unfair_neighbor_often_entire_life,px281501_racial_ethnic_discrimination_recent_lifetime,,radio,"How often in your entire life?","1, Never | 2, Once in a while | 3, Sometimes | 4, A lot | 5, Most of the time | 6, Almost all the time",PX281501,,,,,,,,,,,
racial_ethnic_discrimination_recent_lifetime_unfair_neighbor_stressful,px281501_racial_ethnic_discrimination_recent_lifetime,,radio,"How stressful was this for you?","1, Not at all stressful | 2,  | 3,  | 4,  | 5,  | 6, Extremely stressful",PX281501,,,,,,,,,,,
racial_ethnic_discrimination_recent_lifetime_unfair_institution_often_past_year,px281501_racial_ethnic_discrimination_recent_lifetime,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">How often have you been treated unfairly by </span>institutions<span style=""font-weight: normal;""> (</span>schools, universities, law firms, the police, the courts, the Department of Social Services, the Unemployment Office and others<span style=""font-weight: normal;"">) because of your race/ethnic group?</span></p></div>",radio,"How often in the past year?","1, Never | 2, Once in a while | 3, Sometimes | 4, A lot | 5, Most of the time | 6, Almost all the time",PX281501,,,,,,,,,,,
racial_ethnic_discrimination_recent_lifetime_unfair_institution_often_entire_life,px281501_racial_ethnic_discrimination_recent_lifetime,,radio,"How often in your entire life?","1, Never | 2, Once in a while | 3, Sometimes | 4, A lot | 5, Most of the time | 6, Almost all the time",PX281501,,,,,,,,,,,
racial_ethnic_discrimination_recent_lifetime_unfair_institution_stressful,px281501_racial_ethnic_discrimination_recent_lifetime,,radio,"How stressful was this for you?","1, Not at all stressful | 2,  | 3,  | 4,  | 5,  | 6, Extremely stressful",PX281501,,,,,,,,,,,
racial_ethnic_discrimination_recent_lifetime_unfair_people_friend_often_past_year,px281501_racial_ethnic_discrimination_recent_lifetime,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">How often have you been treated unfairly by </span>people that you thought were your friends<span style=""font-weight: normal;""> because of your race/ethnic group?</span></p></div>",radio,"How often in the past year?","1, Never | 2, Once in a while | 3, Sometimes | 4, A lot | 5, Most of the time | 6, Almost all the time",PX281501,,,,,,,,,,,
racial_ethnic_discrimination_recent_lifetime_unfair_people_friend_often_entire_life,px281501_racial_ethnic_discrimination_recent_lifetime,,radio,"How often in your entire life?","1, Never | 2, Once in a while | 3, Sometimes | 4, A lot | 5, Most of the time | 6, Almost all the time",PX281501,,,,,,,,,,,
racial_ethnic_discrimination_recent_lifetime_unfair_people_friend_stressful,px281501_racial_ethnic_discrimination_recent_lifetime,,radio,"How stressful was this for you?","1, Not at all stressful | 2,  | 3,  | 4,  | 5,  | 6, Extremely stressful",PX281501,,,,,,,,,,,
racial_ethnic_discrimination_recent_lifetime_accuse_suspect_wrong_often_past_year,px281501_racial_ethnic_discrimination_recent_lifetime,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">How often have you been </span>accused or suspected of doing something wrong<span style=""font-weight: normal;""> (such as </span>stealing, cheating, not doing your share of the work, or breaking the law<span style=""font-weight: normal;"">) because of your race/ethnic group?</span></p></div>",radio,"How often in the past year?","1, Never | 2, Once in a while | 3, Sometimes | 4, A lot | 5, Most of the time | 6, Almost all the time",PX281501,,,,,,,,,,,
racial_ethnic_discrimination_recent_lifetime_accuse_suspect_wrong_often_entire_life,px281501_racial_ethnic_discrimination_recent_lifetime,,radio,"How often in your entire life?","1, Never | 2, Once in a while | 3, Sometimes | 4, A lot | 5, Most of the time | 6, Almost all the time",PX281501,,,,,,,,,,,
racial_ethnic_discrimination_recent_lifetime_accuse_suspect_wrong_stressful,px281501_racial_ethnic_discrimination_recent_lifetime,,radio,"How stressful was this for you?","1, Not at all stressful | 2,  | 3,  | 4,  | 5,  | 6, Extremely stressful",PX281501,,,,,,,,,,,
racial_ethnic_discrimination_recent_lifetime_misunderstood_intention_motive_often_past_year,px281501_racial_ethnic_discrimination_recent_lifetime,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">How often have people </span>misunderstood your intentions and motives<span style=""font-weight: normal;""> because of your race/ethnic group?</span></p></div>",radio,"How often in the past year?","1, Never | 2, Once in a while | 3, Sometimes | 4, A lot | 5, Most of the time | 6, Almost all the time",PX281501,,,,,,,,,,,
racial_ethnic_discrimination_recent_lifetime_misunderstood_intention_motive_often_entire_life,px281501_racial_ethnic_discrimination_recent_lifetime,,radio,"How often in your entire life?","1, Never | 2, Once in a while | 3, Sometimes | 4, A lot | 5, Most of the time | 6, Almost all the time",PX281501,,,,,,,,,,,
racial_ethnic_discrimination_recent_lifetime_misunderstood_intention_motive_stressful,px281501_racial_ethnic_discrimination_recent_lifetime,,radio,"How stressful was this for you?","1, Not at all stressful | 2,  | 3,  | 4,  | 5,  | 6, Extremely stressful",PX281501,,,,,,,,,,,
racial_ethnic_discrimination_recent_lifetime_want_tell_off_racist_often_past_year,px281501_racial_ethnic_discrimination_recent_lifetime,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">How often did you </span>want to tell someone off for being racist towards you but didn’t say anything?</p></div>",radio,"How often in the past year?","1, Never | 2, Once in a while | 3, Sometimes | 4, A lot | 5, Most of the time | 6, Almost all the time",PX281501,,,,,,,,,,,
racial_ethnic_discrimination_recent_lifetime_want_tell_off_racist_often_entire_life,px281501_racial_ethnic_discrimination_recent_lifetime,,radio,"How often in your entire life?","1, Never | 2, Once in a while | 3, Sometimes | 4, A lot | 5, Most of the time | 6, Almost all the time",PX281501,,,,,,,,,,,
racial_ethnic_discrimination_recent_lifetime_want_tell_off_racist_stressful,px281501_racial_ethnic_discrimination_recent_lifetime,,radio,"How stressful was this for you?","1, Not at all stressful | 2,  | 3,  | 4,  | 5,  | 6, Extremely stressful",PX281501,,,,,,,,,,,
racial_ethnic_discrimination_recent_lifetime_angry_racist_act_often_past_year,px281501_racial_ethnic_discrimination_recent_lifetime,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">How often have you been </span>really angry about something racist that was done to you?</p></div>",radio,"How often in the past year?","1, Never | 2, Once in a while | 3, Sometimes | 4, A lot | 5, Most of the time | 6, Almost all the time",PX281501,,,,,,,,,,,
racial_ethnic_discrimination_recent_lifetime_angry_racist_act_often_entire_life,px281501_racial_ethnic_discrimination_recent_lifetime,,radio,"How often in your entire life?","1, Never | 2, Once in a while | 3, Sometimes | 4, A lot | 5, Most of the time | 6, Almost all the time",PX281501,,,,,,,,,,,
racial_ethnic_discrimination_recent_lifetime_angry_racist_act_stressful,px281501_racial_ethnic_discrimination_recent_lifetime,,radio,"How stressful was this for you?","1, Not at all stressful | 2,  | 3,  | 4,  | 5,  | 6, Extremely stressful",PX281501,,,,,,,,,,,
racial_ethnic_discrimination_recent_lifetime_drastic_step_often_past_year,px281501_racial_ethnic_discrimination_recent_lifetime,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">How often have you been</span> forced to take drastic steps <span style=""font-weight: normal;"">(such as </span>filing a grievance, filing a lawsuit, quitting your job, moving away, and other actions<span style=""font-weight: normal;"">) to deal with some racist thing that was done towards you?</span></p></div>",radio,"How often in the past year?","1, Never | 2, Once in a while | 3, Sometimes | 4, A lot | 5, Most of the time | 6, Almost all the time",PX281501,,,,,,,,,,,
racial_ethnic_discrimination_recent_lifetime_drastic_step_often_entire_life,px281501_racial_ethnic_discrimination_recent_lifetime,,radio,"How often in your entire life?","1, Never | 2, Once in a while | 3, Sometimes | 4, A lot | 5, Most of the time | 6, Almost all the time",PX281501,,,,,,,,,,,
racial_ethnic_discrimination_recent_lifetime_drastic_step_stressful,px281501_racial_ethnic_discrimination_recent_lifetime,,radio,"How stressful was this for you?","1, Not at all stressful | 2,  | 3,  | 4,  | 5,  | 6, Extremely stressful",PX281501,,,,,,,,,,,
racial_ethnic_discrimination_recent_lifetime_called_racist_name_often_past_year,px281501_racial_ethnic_discrimination_recent_lifetime,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">How often have you been</span> called a racist name?</p></div>",radio,"How often in the past year?","1, Never | 2, Once in a while | 3, Sometimes | 4, A lot | 5, Most of the time | 6, Almost all the time",PX281501,,,,,,,,,,,
racial_ethnic_discrimination_recent_lifetime_called_racist_name_often_entire_life,px281501_racial_ethnic_discrimination_recent_lifetime,,radio,"How often in your entire life?","1, Never | 2, Once in a while | 3, Sometimes | 4, A lot | 5, Most of the time | 6, Almost all the time",PX281501,,,,,,,,,,,
racial_ethnic_discrimination_recent_lifetime_called_racist_name_stressful,px281501_racial_ethnic_discrimination_recent_lifetime,,radio,"How stressful was this for you?","1, Not at all stressful | 2,  | 3,  | 4,  | 5,  | 6, Extremely stressful",PX281501,,,,,,,,,,,
racial_ethnic_discrimination_recent_lifetime_argument_fight_racist_often_past_year,px281501_racial_ethnic_discrimination_recent_lifetime,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">How often have you </span>gotten into an argument or a fight about something racist that was done to you or done to another member or your race/ethnic group?</p></div>",radio,"How often in the past year?","1, Never | 2, Once in a while | 3, Sometimes | 4, A lot | 5, Most of the time | 6, Almost all the time",PX281501,,,,,,,,,,,
racial_ethnic_discrimination_recent_lifetime_argument_fight_racist_often_entire_life,px281501_racial_ethnic_discrimination_recent_lifetime,,radio,"How often in your entire life?","1, Never | 2, Once in a while | 3, Sometimes | 4, A lot | 5, Most of the time | 6, Almost all the time",PX281501,,,,,,,,,,,
racial_ethnic_discrimination_recent_lifetime_argument_fight_racist_stressful,px281501_racial_ethnic_discrimination_recent_lifetime,,radio,"How stressful was this for you?","1, Not at all stressful | 2,  | 3,  | 4,  | 5,  | 6, Extremely stressful",PX281501,,,,,,,,,,,
racial_ethnic_discrimination_recent_lifetime_picked_on_threat_harm_often_past_year,px281501_racial_ethnic_discrimination_recent_lifetime,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">How often have you been made </span>fun of, picked on, pushed, shoved, hit or threatened with harm<span style=""font-weight: normal;""> because of your race/ethnic group?</span></p></div>",radio,"How often in the past year?","1, Never | 2, Once in a while | 3, Sometimes | 4, A lot | 5, Most of the time | 6, Almost all the time",PX281501,,,,,,,,,,,
racial_ethnic_discrimination_recent_lifetime_picked_on_threat_harm_often_entire_life,px281501_racial_ethnic_discrimination_recent_lifetime,,radio,"How often in your entire life?","1, Never | 2, Once in a while | 3, Sometimes | 4, A lot | 5, Most of the time | 6, Almost all the time",PX281501,,,,,,,,,,,
racial_ethnic_discrimination_recent_lifetime_picked_on_threat_harm_stressful,px281501_racial_ethnic_discrimination_recent_lifetime,,radio,"How stressful was this for you?","1, Not at all stressful | 2,  | 3,  | 4,  | 5,  | 6, Extremely stressful",PX281501,,,,,,,,,,,
racial_ethnic_discrimination_recent_lifetime_different_life_not_treated_unfair_often_past_year,px281501_racial_ethnic_discrimination_recent_lifetime,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">How </span><em>different</em> <span style=""font-weight: normal;"">would your life be now if you </span><em>HAD NOT BEEN</em><span style=""font-weight: normal;""> treated in a racist and unfair way</span></p></div>",radio,"In the Past Year?","1, The Same as it is now | 2, A little different | 3, Different in a few ways | 4, Different in a lot of ways | 5, Different in most ways | 6, Totally different",PX281501,,,,,,,,,,,
racial_ethnic_discrimination_recent_lifetime_different_life_not_treated_unfair_often_entire_life,px281501_racial_ethnic_discrimination_recent_lifetime,,radio,"In your entire life?","1, The Same as it is now | 2, A little different | 3, Different in a few ways | 4, Different in a lot of ways | 5, Different in most ways | 6, Totally different",PX281501,,,,,,,,,,,
racial_ethnic_discrimination_recent_lifetime_different_life_not_treated_unfair_stressful,px281501_racial_ethnic_discrimination_recent_lifetime,,radio,"How stressful was this for you?","1, Not at all stressful | 2,  | 3,  | 4,  | 5,  | 6, Extremely stressful",PX281501,,,,,,,,,,,
