"STAR Table Name: KIDPAN_DATA
Variable Names in red font denote that field has important information in the Comment field

The data files created based on data as of 4/5/2024 will include data for registrations added and/or transplants occurring through 03/31/2024"	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8
B2	CANDIDATE B2 ANTIGEN FROM WAITING LIST	WAITING LIST DATA	1987-10-01 00:00:00		WAITING LIST DATA	NUM	BLOCUS	
BIOP_ISLET_PA	RECIPIENT-GRAFT FAILURE CONTRIBUTORY CAUSE:BIOPSY PROVEN ISLETITS	TRR	1994-04-01 00:00:00		POST TRANSPLANT CLINICAL INFORMATION	CHAR(1)	YNU	
BLEED_PA	RECIPIENT-GRAFT FAILURE CONTRIBUTORY CAUSE: BLEEDING 	TRR	1994-04-01 00:00:00		POST TRANSPLANT CLINICAL INFORMATION	CHAR(1)	YNU	
BLOOD_INF_CONF_DON	DECEASED DONOR-INFECTION SOURE BLOOD-CONFIRMED VIA CULTURE	DDR	1994-04-01 00:00:00	2015-03-31 00:00:00	CLINICAL INFORMATION	CHAR(1)	YNU	
BLOOD_INF_DON	DECEASED DONOR-BLOOD AS INFECTION SOURCE	DDR	1994-04-01 00:00:00		CLINICAL INFORMATION	NUM		
BLOOD_SUGAR_DIET_PA	PANCREAS PATIENT USING DIET TO CONTROL BLOOD SUGAR	TRR/TRF	1994-04-01 00:00:00		CLINICAL INFORMATION	CHAR(1)	YNU	
BLOOD_SUGAR_MED_RESUMED_DATE_PA	PANCREAS DATE MEDICATIONS RESUMED	TRR/TRF	2004-06-30 00:00:00		CLINICAL INFORMATION	NUM		
BLOOD_SUGAR_MEDICATION_PA	PANCREAS PATIENT ON ORAL MEDICATION TO CONTROL BLOOD SUGAR	TRR/TRF	1994-04-01 00:00:00		CLINICAL INFORMATION	CHAR(1)	YNU	
BMI_CALC	Calculated Recipient BMI	CALCULATED				NUM		
BMI_DON_CALC	Donor BMI - Pre/At Donation Calculated	CALCULATED				NUM		
BMI_TCR	BMI AT LISTING	TCR	2004-06-30 00:00:00		CLINICAL INFORMATION AT LISTING	NUM		
BMIS	B Locus MISMATCH LEVEL	CALCULATED				NUM		
BUN_DON	DECEASED DONOR-TERMINAL BLOOD UREA NITROGEN	DDR	1994-04-01 00:00:00		CLINICAL INFORMATION	NUM		
BW4	Candidate Most Recent/at Removal BW4 Antigen From Waiting List	WAITING LIST DATA	1987-10-01 00:00:00		WAITING LIST DATA	NUM	WKGRPHLA	
BW6	Candidate Most Recent/at Removal BW6 Antigen From Waiting List	WAITING LIST DATA	1987-10-01 00:00:00		WAITING LIST DATA	NUM	WKGRPHLA	
C_PEPTIDE	CANDIDATE C-PEPTIDE  (PANCREAS) VALUE AT REMOVAL OR MOST RECENT TIME	WAITING LIST DATA	2014-05-27 00:00:00		WAITING LIST DATA	NUM		
C_PEPTIDE_PA_TCR	CANDIDATE C-PEPTIDE VALUE AT LISTING  (PANCREAS)	TCR	2015-03-31 00:00:00		CLINICAL INFORMATION	NUM		
C_PEPTIDE_PA_TRR	C-PEPTIDE VALUE AT TRANSPLANT (PANCREAS)	TRR/TRF	2018-02-28 00:00:00		CLINICAL INFORMATION	NUM		
C_PEPTIDEDATE	CANDIDATE C-PEPTIDE DATE AT REMOVAL OR MOST RECENT TIME	WAITING LIST DATA	2014-05-27 00:00:00		WAITING LIST DATA	NUM		
C1	Candidate Most Recent/at Removal C1 Antigen From Waiting List	WAITING LIST DATA	1987-10-01 00:00:00		WAITING LIST DATA	NUM	CWHLA	
C2	Candidate Most Recent/at Removal C2 Antigen From Waiting List	WAITING LIST DATA	1987-10-01 00:00:00		WAITING LIST DATA	NUM	CWHLA	
CANCER_FREE_INT_DON	DECEASED DONOR-CANCER FREE INTERVAL (YEARS)	DDR	1994-04-01 00:00:00		DONOR HISTORY	NUM		
CANCER_SITE_DON	DECEASED DONOR-CANCER SITE	DDR	1994-04-01 00:00:00		DONOR HISTORY	NUM	HISTCAN	
CARDARREST_NEURO	DECEASED DONOR-CARDIAC ARREST POST BRAIN DEATH	DDR	1999-10-25 00:00:00		CLINICAL INFORMATION	CHAR(1)	YNU	
CDC_RISK_HIV_DON	DECEASED DONOR - PER PHS, Does the Donor Have Risk Factors for Blood-Borne Disease Transmission?	DDR	2004-06-30 00:00:00		DONOR HISTORY	CHAR(1)	YNU	
CITIZEN_COUNTRY	CANDIDATE COUNTRY OF PERMANENT RESIDENCE @ REGISTRATION	TCR	2015-03-31 00:00:00		CANDIDATE INFORMATION	CHAR(3)	CTRY	
CITIZEN_COUNTRY_DON	DECEASED DONOR-HOME COUNTRY	DDR	1999-10-25 00:00:00		DONOR INFORMATION	CHAR(3)	CTRY	
CITIZENSHIP	CANDIDATE CITIZENSHIP @ REGISTRATION	TCR	1987-10-01 00:00:00		CANDIDATE INFORMATION	NUM	CITIZEN	
CITIZENSHIP_DON	DONOR CITIZENSHIP	DDR/LDR	1987-10-01 00:00:00		DONOR INFORMATION	NUM		This field uses separate SAS Analysis Format types for donor type. For deceased donors (don_ty=C) use CITIZDDR. For living donors (don_ty=L) use CITIZEN
CLIN_INFECT_DON	DECEASED DONOR-CLINICAL INFECTION (Y,N)	DDR	1994-04-01 00:00:00		CLINICAL INFORMATION	CHAR(1)	YNU	
CMV_DON	DONOR SEROLOGY ANTI CMV (FOR LIVING DONOR, PRE UNET DATA ONLY)	DDR/LDR			CLINICAL INFORMATION	CHAR(2)	SERSTAT	START DATE: DECEASED DONORS: 10/1/87-PRESENT; LIVING DONORS 10/1/90-10/25/99
CMV_IGG	RECIPIENT-CMV BY IGG TEST RESULT  @ TRANSPLANT	TRR	1999-10-25 00:00:00	2015-03-31 00:00:00	PRETRANSPLANT CLINICAL INFORMATION	CHAR(2)	SERSTAT	
CMV_IGG_DON	LIVING DONOR-CMV BY IGG TEST RESULT	LDR	1999-10-25 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT	
CMV_IGM	RECIPIENT-CMV BY IGM TEST RESULT  @ TRANSPLANT	TRR	1999-10-25 00:00:00	2015-03-31 00:00:00	PRETRANSPLANT CLINICAL INFORMATION	CHAR(2)	SERSTAT	
CMV_IGM_DON	LIVING DONOR-CMV BY IGM TEST RESULT	LDR	1999-10-25 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT	
CMV_NUCLEIC_DON	DONOR CMV BY NUCLEIC ACID	LDR	1994-04-01 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT	
CMV_OLD_LIV_DON	LIV DONOR CMV -SEROLOGY (PRE 10/25/99 DATA)	LDR	1990-10-01 00:00:00	1999-10-25 00:00:00	CLINICAL INFORMATION	CHAR(2)	SERSTAT	
CMV_STATUS	RECIPIENT CMV Status @ TRANSPLANT	TRR	2015-03-31 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT	
CMV_TEST_DON	LIV DONOR CMV TESTED?	LDR	1990-10-01 00:00:00		CLINICAL INFORMATION	CHAR(1)	YNU	
COD_CAD_DON	DECEASED DONOR-CAUSE OF DEATH	DDR	1987-10-01 00:00:00		DONOR INFORMATION	NUM	DON_COD	
COD_KI	RECIPIENT CAUSE OF DEATH	TRR/TRF	1987-10-01 00:00:00		PATIENT STATUS	NUM	ALL_COD	
COD_PA	RECIPIENT CAUSE OF DEATH	TRR/TRF	1987-10-01 00:00:00		PATIENT STATUS	NUM	ALL_COD	
COD_WL	CANDIDATE CAUSE OF DEATH FOR DEATH REMOVAL	WAITING LIST DATA	2003-12-03 00:00:00			NUM	ALL_COD	
COD2_KI	RECIPIENT CONTRIBUTORY CAUSE OF DEATH 1	TRF/TRR	2004-06-30 00:00:00		PATIENT STATUS	NUM	ALL_COD	
COD2_PA	RECIPIENT CONTRIBUTORY CAUSE OF DEATH 1	TRF/TRR	2004-06-30 00:00:00		PATIENT STATUS	NUM	ALL_COD	
COD3_KI	RECIPIENT CONTRIBUTORY CAUSE OF DEATH 2	TRF/TRR	2004-06-30 00:00:00		PATIENT STATUS	NUM	ALL_COD	
COD3_PA	RECIPIENT CONTRIBUTORY CAUSE OF DEATH 2	TRF/TRR	2004-06-30 00:00:00		PATIENT STATUS	NUM	ALL_COD	
COLD_ISCH_KI	KIDNEY COLD ISCHEMIC TIME (HOURS)	TRR	1994-04-01 00:00:00		TRANSPLANT CLINICAL INFORMATION	NUM		
COMPL_ABSC	RECIPIENT-PANCREAS TRANSPLANT COMPLICATION-ABCESS/LOCAL INFECTION	TRR	1994-04-01 00:00:00		POST TRANSPLANT CLINICAL INFORMATION	CHAR(1)	YNU	
COMPL_ANASLK	RECIPIENT-PANCREAS TRANSPLANT COMPLICATION-ANASTOMOTIC LEAK	TRR	1994-04-01 00:00:00		POST TRANSPLANT CLINICAL INFORMATION	CHAR(1)	YNU	
COMPL_PANCREA	RECIPIENT-PANCREAS TRANSPLANT COMPLICATION-PANCREATITIS	TRR	1994-04-01 00:00:00		POST TRANSPLANT CLINICAL INFORMATION	CHAR(1)	YNU	
COMPOSITE_DEATH_DATE	Composite Patient Death Date from OPTN or Verified from External Sources	TRR/TRF-CALCULATED				NUM		
CONTIN_ALCOHOL_OLD_DON	DECEASED DONOR-HISTORY OF ALCOHOL DEPENDENCY+ RECENT 6MO USE	DDR	1994-04-01 00:00:00	2004-06-29 00:00:00	DONOR HISTORY	CHAR(1)	YNU	
CONTIN_CIG_DON	DECEASED DONOR-HISTORY OF CIGARETTES IN PAST@ >20PACK YRS+RECENT 6MO USE	DDR	1994-04-01 00:00:00		DONOR HISTORY	CHAR(1)	YNU	
CONTIN_COCAINE_DON	DECEASED DONOR-HISTORY OF COCAINE USE+RECENT 6MO USE	DDR	1999-10-25 00:00:00		DONOR HISTORY	CHAR(1)	YNU	
CONTIN_IV_DRUG_OLD_DON	DECEASED DONOR-HISTORY OF IV DRUG USE+RECENT 6MO USE	DDR	1994-04-01 00:00:00	2004-06-29 00:00:00	DONOR HISTORY	CHAR(1)	YNU	
CONTIN_OTH_DRUG_DON	DECEASED DONOR-HISTORY OF OTHER DRUGS IN PAST+RECENT 6MO USE	DDR	1994-04-01 00:00:00		DONOR HISTORY	CHAR(1)	YNU	
CONTROLLED_DON	DECEASED DONOR CONTROLLED NON-HEART BEATING (Y/N)	DDR	1994-04-01 00:00:00		ORGAN RECOVERY	CHAR(1)	YNU	
CORE_COOL_DON	DECEASED DONOR-CORE COOLING FOR CONTROLLED NON-HRT BEATING	DDR	1994-04-01 00:00:00		ORGAN RECOVERY	CHAR(1)	YNU	
CREAT_CLEAR	CANDIDATE MEASURED CREATININE CLEARANCE (ML/MIN)	WAITING LIST DATA			WAITING LIST DATA	NUM		
CREAT_CLEAR_DATE	DATE CREATININE CLEARANCE BECAME <=20 ML/MIN	WAITING LIST DATA			WAITING LIST DATA	NUM		
CREAT_DON	DECEASED DONOR-TERMINAL LAB CREATININE	DDR	1994-04-01 00:00:00		CLINICAL INFORMATION	NUM		
CREAT_TRR	RECIPIENT SERUM CREATININE AT TIME OF TX	TRR	1994-04-01 00:00:00		PRETRANSPLANT CLINICAL INFORMATION	NUM		
CREAT1Y						NUM		
CREAT6M						NUM		
CTR_CODE	ENCRYPTED TRANSPLANT CENTER CODE	CALCULATED				CHAR(7)		
CURRENT_PRA	"CANDIDATE MOST RECENT ""CURRENT"" PRA FROM WAITING LIST/ALLOCATION "	WAITING LIST DATA	1987-10-01 00:00:00		WAITING LIST DATA	NUM		PRA was used in allocation prior to 10/1/2009
DA1	DONOR A1 ANTIGEN	CALCULATED	1987-10-01 00:00:00		DONOR CENTER HISTOCOMPATIBILITY TYPING	NUM	ALOCUS	
DA2	DONOR A2 ANTIGEN	CALCULATED	1987-10-01 00:00:00		DONOR CENTER HISTOCOMPATIBILITY TYPING	NUM	ALOCUS	
DATA_TRANSPLANT	Recipient TRR Data Reported	CALCULATED				CHAR(1)	YNU	
DATA_WAITLIST	Candidate WL Data Reported	CALCULATED				CHAR(1)	YNU	
DAYSWAIT_ALLOC	TIME USED FOR ALLOCATION PRIORITY (DAYS)	CALCULATED	1987-10-01 00:00:00			NUM		
DAYSWAIT_CHRON	TOTAL DAYS ON WAITING LIST INCLUDING INACTIVE TIME	CALCULATED	1987-10-01 00:00:00			NUM		
DAYSWAIT_CHRON_KI	TOTAL DAYS ON KIDNEY WAITING LIST	CALCULATED				NUM		
DAYSWAIT_CHRON_PA	TOTAL DAYS ON PANCREAS WAITING LIST	CALCULATED				NUM		
DB1	DONOR B1 ANTIGEN	CALCULATED	1987-10-01 00:00:00		DONOR CENTER HISTOCOMPATIBILITY TYPING	NUM	BLOCUS	
DB2	DONOR B2 ANTIGEN	CALCULATED	1987-10-01 00:00:00		DONOR CENTER HISTOCOMPATIBILITY TYPING	NUM	BLOCUS	
DDAVP_DON	DECEASED DONOR-SYNTHETIC ANTI DIURETIC HORMONE (DDAVP)	DDR	1999-10-25 00:00:00		CLINICAL INFORMATION	CHAR(1)	YNU	
DDR1	DONOR DR1 ANTIGEN	CALCULATED	1987-10-01 00:00:00		DONOR CENTER HISTOCOMPATIBILITY TYPING	NUM	DRLOCUS	
DDR2	DONOR DR2 ANTIGEN	CALCULATED	1987-10-01 00:00:00		DONOR CENTER HISTOCOMPATIBILITY TYPING	NUM	DRLOCUS	
DEATH_CIRCUM_DON	DECEASED DONOR-CIRCUMSTANCE OF DEATH	DDR	1994-04-01 00:00:00		DONOR INFORMATION	NUM	DTHCIRC	
DEATH_DATE	DATE DIED, FOR PATIENT REMOVED FROM THE WAITING LIST FOR REASON OF DEATH	WAITING LIST DATA	1999-10-25 00:00:00		WAITING LIST DATA	NUM		
DEATH_MECH_DON	DECEASED DONOR-MECHANISM OF DEATH	DDR	1994-04-01 00:00:00		DONOR INFORMATION	NUM	DTHMECH	
DGN_TCR	PRIMARY DIAGNOSIS AT TIME OF LISTING	TCR	1994-04-01 00:00:00		CLINICAL INFORMATION	NUM	ALL_DGN	ONLY COLLECTED SINCE 4/1/94
DGN2_TCR	PRIMARY PANCREAS DIAGNOSIS  (FOR KP ONLY) AT TIME OF LISTING	TCR	1994-04-01 00:00:00		CLINICAL INFORMATION	NUM	ALL_DGN	ONLY COLLECTED SINCE 4/1/94
DIAB	RECIPIENT DIABETES @ REGISTRATION	TCR	1994-04-01 00:00:00		CLINICAL INFORMATION	NUM	DIABTY	
DIABDUR_DON	DECEASED DONOR-DIABETES DURATION	DDR	1994-04-01 00:00:00		DONOR HISTORY	NUM	HISTDIAB	UNROLLED FROM HIST_DIABETES_DON TO INCLUDE DURATION ONLY
DIABETES_DON	DECEASED DONOR-HISTORY OF DIABETES (Y=Yes,N=No)	DDR	1994-04-01 00:00:00		DONOR HISTORY	CHAR(1)	YNU	UNROLLED Y/N FIELD FROM HIST_DIABETES_DON
DIAG_KI	KIDNEY RECIPIENT PRIMARY DIAGNOSIS @ TX	TRR>TCR	1987-10-01 00:00:00		PATIENT STATUS/CLINICAL INFORMATION	NUM	ALL_DGN	
DIAG_PA	PANCREAS RECIPIENT PRIMARY DIAGNOSIS @ TX	TRR>TCR	1987-10-01 00:00:00		PATIENT STATUS/CINICAL INFORMATION	NUM	ALL_DGN	
DIAL_DATE	RECIPIENT DATE FIRST DIALYZED  @ TRANSPLANT	TRR	1999-10-25 00:00:00		PRETRANSPLANT CLINICAL INFORMATION	NUM		
DIAL_TRR	RECIPIENT PRETRANSPLANT DIALYSIS (Y,N)  @ TRANSPLANT	TRR	1990-10-01 00:00:00		PRETRANSPLANT CLINICAL INFORMATION	CHAR(1)	YNU	
DIALYSIS_DATE	WL Date of Initiation of Regularly Administered Dialysis for ESRD	WAITING LIST DATA			WAITING LIST DATA	NUM		
DIET_DON	DECEASED DONOR-HYPERTENSION DIET CONTROLLED	DDR	1994-04-01 00:00:00		DONOR HISTORY	CHAR(1)	YNU	
DISCHARGE_DATE	RECIPIENT DISCHARGE DATE FROM TX CENTER	TRR	1994-04-01 00:00:00		PATIENT STATUS	NUM		
DISTANCE	DISTANCE FROM DONOR HOSP TO TX CENTER (Nautical Miles)	CALCULATED				NUM		
DIURETICS_DON	DECEASED DONOR-HYPERTENSION DIURETIC CONTROLLED	DDR	1994-04-01 00:00:00		DONOR HISTORY	CHAR(1)	YNU	
DOBUT_DON_OLD	DECEASED DONOR-DOBUTAMINE W/IN 24 HRS PRE-CROSS CLAMP	DDR	1994-04-01 00:00:00	2003-01-27 00:00:00	CLINICAL INFORMATION	CHAR(1)	YNU	
DON_RETYP	DECEASED DONOR-RETYPED AT TX CENTER	RH	1987-10-01 00:00:00		TEST INFORMATION	CHAR(1)	YNU	
DON_TY	DONOR TYPE - DECEASED OR LIVING	TRR	1994-04-01 00:00:00		DONOR INFORMATION	CHAR(3)	DON_TYP	
DONATION	WL Will Receive Donation Points due to a Previous Living Organ Donation	WAITING LIST DATA	1996-04-01 00:00:00		WAITING LIST DATA	CHAR(1)	YNU	
DONATION_DON	LIVING DONOR-DONATION AS SECONDARY PAYMENT TYPE	LDR	1999-10-25 00:00:00		DONOR INFORMATION	CHAR(1)	YNU	
DONOR_ID	ENCRYPTED DONOR IDENTIFIER	CALCULATED				NUM		
DOPAMINE_DON_OLD	DECEASED DONOR-DOPAMINE W/IN 24 HRS PRE-CROSS CLAMP	DDR	1994-04-01 00:00:00	2003-01-27 00:00:00	CLINICAL INFORMATION	CHAR(1)	YNU	
DQ1	Candidate Most Recent/at Removal DQB1 Antigen From Waiting List	WAITING LIST DATA	1987-10-01 00:00:00		WAITING LIST DATA	NUM	DQHLA	
DQ2	Candidate Most Recent/at Removal DQB2 Antigen From Waiting List	WAITING LIST DATA	1987-10-01 00:00:00		WAITING LIST DATA	NUM	DQHLA	
DR1	CANDIDATE DR1 ANTIGEN FROM WAITING LIST	WAITING LIST DATA	1987-10-01 00:00:00		WAITING LIST DATA	NUM	DRLOCUS	
DR2	CANDIDATE DR2 ANTIGEN FROM WAITING LIST	WAITING LIST DATA	1987-10-01 00:00:00		WAITING LIST DATA	NUM	DRLOCUS	
DR51	Candidate Most Recent/at Removal DR51 Antigen From Waiting List	WAITING LIST DATA	1987-10-01 00:00:00		WAITING LIST DATA	NUM	DR51HLA	
DR51_2	Candidate Most Recent/at Removal DR51 Antigen From Waiting List	WAITING LIST DATA	1987-10-01 00:00:00		WAITING LIST DATA	NUM	DR51HLA	
DR52	Candidate Most Recent/at Removal DR52 Antigen From Waiting List	WAITING LIST DATA	1987-10-01 00:00:00		WAITING LIST DATA	NUM	DR52HLA	
DR52_2	Candidate Most Recent/at Removal DR52 Antigen From Waiting List	WAITING LIST DATA	1987-10-01 00:00:00		WAITING LIST DATA	NUM	DR52HLA	
DR53	Candidate Most Recent/at Removal DR53 Antigen From Waiting List	WAITING LIST DATA	1987-10-01 00:00:00		WAITING LIST DATA	NUM	DR53HLA	
DR53_2	Candidate Most Recent/at Removal DR53 Antigen From Waiting List	WAITING LIST DATA	1987-10-01 00:00:00		WAITING LIST DATA	NUM	DR53HLA	
DRMIS	DR Locus MISMATCH LEVEL	CALCULATED				NUM		
DRUGTRT_COPD	RECIPIENT DRUG TREATED COPD @ REGISTRATION	TCR	1994-04-01 00:00:00	2015-03-31 00:00:00	CLINICAL INFORMATION	CHAR(1)	YNU	
DUCT_MGMT	RECIPIENT DUCT MANAGEMENT PROCEDURE @ PA TX	TRR	1987-10-01 00:00:00		TRANSPLANT CLINICAL INFORMATION	NUM	PADUCTMG	
DWFG_KI	RECIPIENT DIED W/FUNCTIONING GRAFT	CALCULATED				CHAR(1)	YNU	
EBV_DNA_DON	LIVING DONOR-EPSTEIN BARR VIRUS BY DNA TEST RESULT	LDR	1999-10-25 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT	
EBV_IGG_CAD_DON	DECEASED DONOR EPSTEIN BARR VIRUS BY IGG TEST RESULT	DDR	2006-05-03 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT	
EBV_IGG_DON	LIVING DONOR EPSTEIN BARR VIRUS BY IGG TEST RESULT	LDR	1999-10-25 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT	
EBV_IGM_CAD_DON	DECEASED DONOR EPSTEIN BARR VIRUS BY IGM TEST RESULT	DDR	2006-05-03 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT	
EBV_IGM_DON	LIVING DONOR EPSTEIN BARR VIRUS BY IGM TEST RESULT	LDR	1999-10-25 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT	
EBV_SEROSTATUS	RECIPIENT EPSTEIN BARR VIRUS STATUS AT TRANSPLANT-ADULTS ONLY	CALCULATED				CHAR(2)	SERSTAT	
EBV_TEST_DON	LIVING DONOR EPSTEIN BARR VIRUS TESTED?	LDR	1994-04-01 00:00:00		CLINICAL INFORMATION - SEROLOGY	CHAR(1)	YNU	
ECD_DONOR	ECD DONOR	CALCULATED				NUM		
EDUCATION	RECIPIENT HIGHEST EDUCATIONAL LEVEL @ REGISTRATION	TCR	1994-04-01 00:00:00		CANDIDATE INFORMATION	NUM	EDLEVEL	
EDUCATION_DON	LIVING DONOR-HIGHEST LEVEL OF EDUCATION	LDR	1999-10-25 00:00:00		DONOR INFORMATION	NUM	EDLEVEL	
ENBLOCKIDNEYCHECKINDATE	En-bloc Kidney Check-In Date 	TRR	2023-09-14 00:00:00			NUM		
ENBLOCKIDNEYCHECKINTIME	En-bloc Kidney Check-In Time	TRR	2023-09-14 00:00:00			NUM		
ENBLOCKIDNEYCHECKINTIMEZONEID	Right Kidney Check-In //Time Zone	TRR	2023-09-14 00:00:00			NUM	commontz	
END_BMI_CALC	CALCULATED CANDIDATE BMI AT REMOVAL/CURRENT TIME	CALCULATED				NUM		
END_CPRA	CANDIDATE MOST RECENT CALCULATED PRA	CALCULATED	2007-12-05 00:00:00			NUM		PRA was used in allocation prior to 10/1/2009
END_CPRA_DETAIL	CANDIDATE DETAILED VALUE OF MOST RECENT CALCULATED PRA (CPRA is used in allocation since 10/1/2009 )	CALCULATED	2007-12-05 00:00:00			NUM		CPRA is used in allocation since to 10/1/2009
END_DATE	EARLIEST OF DATES OF REMOVAL FROM WAITING LIST, TRANSPLANT, DEATH, OR TIME COPY OF DATA CREATED	WAITING LIST DATA	1987-10-01 00:00:00		WAITING LIST DATA	NUM		IF PATIENT TRANSPLANTED OR DIED, BUT WAS REMOVED AFTER THE EVENT, END_DATE IS BACKDATED TO GIVE THE DATE OF EVENT
END_EPTS	Offer/Removal/Current Calculated EPTS (since 5/27/2014)	WAITING LIST DATA	2014-05-27 00:00:00		WAITING LIST DATA	NUM		
END_OPO_CTR_CODE	ENCRYPTED REMOVAL/CURRENT OPO MAPPED FROM LISTING CENTER AND ENDING DATE	CALCULATED				CHAR(7)		
END_STAT	CANDIDATE STATUS AT TRANSPLANT OFFER/REMOVALCURRENT TIME	TRR>TCR	1990-10-01 00:00:00		WAITING LIST DATA	NUM	STAT	
