List of distinct SAS Analysis Formats for STAR tables chosen for this report	Unnamed: 1	Unnamed: 2	Unnamed: 3
ALL_COD	2100	INFECTION: BACTERIAL SEPTICEMIA	N
ALL_COD	2101	INFECTION: BACTERIAL PNEUMONIA	N
ALL_COD	2109	INFECTION: BACTERIAL- OTHER SPECIFY	N
ALL_COD	2110	INFECTION: VIRAL- CYTOMEGALOVIRUS (CMV)	N
ALL_COD	2111	INFECTION: VIRAL- HEPATITIS	N
ALL_COD	2112	INFECTION: VIRAL-SEPTICEMIA	N
ALL_COD	2119	INFECTION: VIRAL- OTHER SPECIFY	N
ALL_COD	2120	INFECTION: FUNGAL- ASPERGILLUS	N
ALL_COD	2129	INFECTION: FUNGAL- OTHER SPECIFY	N
ALL_COD	2130	INFECTION: PROTOZOAL	N
ALL_COD	2198	INFECTION: MIXED OTHER SPECIFY	N
ALL_COD	2199	INFECTION: OTHER SPECIFY	N
ALL_COD	2200	CARDIOVASCULAR: MYOCARDIAL INFARCTION	N
ALL_COD	2201	CARDIOVASCULAR: CARDIAC ARREST	N
ALL_COD	2202	CARDIOVASCULAR: ARTERIAL EMBOLISM	N
ALL_COD	2203	CARDIOVASCULAR: VENTRICULAR FAILURE	N
ALL_COD	2204	CARDIOVASCULAR: CORONARY ARTERY DISEASE	N
ALL_COD	2205	CARDIOVASCULAR: ATHEROSCLEROSIS	N
ALL_COD	2206	CARDIOVASCULAR: RHYTHM DISORDER	N
ALL_COD	2207	CARDIOVASCULAR: CARDITIS	N
ALL_COD	2208	CARDIOVASCULAR: AORTIC ANEURYSM	N
ALL_COD	2209	CARDIOVASCULAR: CARDIOGENIC SHOCK	N
ALL_COD	2299	CARDIOVASCULAR: OTHER SPECIFY	N
ALL_COD	2300	PULM: DEHISCENCE	N
ALL_COD	2301	PULM: BRONCHIOLITIS	N
ALL_COD	2302	PULM: PRIMARY PULMONARY HYPERTENSION	N
ALL_COD	2303	PULM: PULMONARY EMBOLISM	N
ALL_COD	2304	PULM: RESPIRATORY FAILURE	N
ALL_COD	2305	PULM: ACUTE RESPIRATORY DISTRESS DISEASE	N
ALL_COD	2399	PULM: OTHER SPECIFY	N
ALL_COD	2400	CEREBROVASCULAR: STROKE	N
ALL_COD	2401	CEREBROVASCULAR: HEMORRHAGE (NON-STROKE)	N
ALL_COD	2402	CEREBROVASCULAR: BRAIN ANOXIA	N
ALL_COD	2403	CEREBROVASCULAR: DEGENERATIVE BRAIN DISEASE	N
ALL_COD	2499	CEREBROVASCULAR: OTHER SPECIFY	N
ALL_COD	2500	HEMORRHAGE: GASTROINTESTINAL	N
ALL_COD	2501	HEMORRHAGE: INTRAOPERATIVE	N
ALL_COD	2502	HEMORRHAGE: DISSEMINATED INTRAVAS COAGULATION	N
ALL_COD	2503	HEMORRHAGE: POST-OPERATIVE	N
ALL_COD	2504	HEMORRHAGE: RESPIRATORY	N
ALL_COD	2599	HEMORRHAGE: OTHER SPECIFY	N
ALL_COD	2600	MALIG: METASTATIC OTHER SPECIFY	N
ALL_COD	2601	MALIG: PRIMARY OTHER SPECIFY	N
ALL_COD	2602	MALIG: POST-TX LYMPHOPROLIFERATIVE DISORDER	N
ALL_COD	2603	MALIG: LYMPHOMA	N
ALL_COD	2604	MALIG: SKIN	N
ALL_COD	2699	MALIG: OTHER SPECIFY	N
ALL_COD	2700	DIABETES MELLITUS	N
ALL_COD	2701	INTRAOP: NOT HEMORRHAGE - OTHER SPECIFY	N
ALL_COD	2702	PANCREATITIS	N
ALL_COD	2703	RENAL FAILURE	N
ALL_COD	2704	LIVER FAILURE	N
ALL_COD	2705	MULTIPLE ORGAN FAILURE	N
ALL_COD	2706	FLUID/ELECTROLYTE DISORDER	N
ALL_COD	2707	ACID/BASE DISORDER	N
ALL_COD	2708	AMYLOIDOSIS	N
ALL_COD	2709	HEMATOLOGIC OTHER SPECIFY	N
ALL_COD	2710	IMMUNOSUPPRESSIVE DRUG RELATED - HEMATOLOGIC	N
ALL_COD	2711	IMMUNOSUPPRESSIVE DRUG RELATED - NON-HEMATOLOGIC	N
ALL_COD	2712	NON-IMMUNO DRUG RELATED - HEMATOLOGIC	N
ALL_COD	2713	NON-IMMUNO - NON-HEMATOLOGIC, SPECIFY DRUG	N
ALL_COD	2800	MOTOR VEHICLE ACCIDENT	N
ALL_COD	2801	SUICIDE	N
ALL_COD	2802	NON-COMPLIANCE	N
ALL_COD	2803	TRAUMA OTHER SPECIFY	N
ALL_COD	2804	INFECTION: VIRAL- COVID-19	N
ALL_COD	3200	GRAFT FAILURE: PRIMARY FAILURE	N
ALL_COD	3201	GRAFT FAILURE: REJECTION	N
ALL_COD	3202	GRAFT FAILURE: TECHNICAL	N
ALL_COD	3203	GRAFT FAILURE: GRAFT INFECTION	N
ALL_COD	3204	GRAFT FAILURE: RECURRENT DISEASE	N
ALL_COD	3299	GRAFT FAILURE: OTHER SPECIFY	N
ALL_COD	3300	INFECTION: BACTERIAL PERITONITIS	N
ALL_COD	3301	INFECTION: BACTERIAL PNEUMONIA	N
ALL_COD	3302	INFECTION: BACTERIAL SEPTICEMIA	N
ALL_COD	3303	INFECTION: FUNGAL	N
ALL_COD	3304	INFECTION: MIXED OTHER SPECIFY	N
ALL_COD	3305	INFECTION: OPPORTUNISTIC OTHER SPECIFY	N
ALL_COD	3306	INFECTION: URINARY TRACT	N
ALL_COD	3307	INFECTION: VIRAL	N
ALL_COD	3308	INFECTION: AIDS	N
ALL_COD	3399	INFECTION: OTHER SPECIFY	N
ALL_COD	3400	CARDIOVASCULAR: MYOCARDIAL INFARCTION	N
ALL_COD	3401	CARDIOVASCULAR: ARTERIAL EMBOLISM	N
ALL_COD	3402	CARDIOVASCULAR - PULMONARY EMBOLISM	N
ALL_COD	3499	CARDIOVASCULAR: OTHER SPECIFY	N
ALL_COD	3500	CEREBROVASCULAR: STROKE	N
ALL_COD	3599	CEREBROVASCULAR: OTHER SPECIFY	N
ALL_COD	3600	HEMORRHAGE: GASTROINTESTINAL	N
ALL_COD	3601	HEMORRHAGE: INTRAOPERATIVE	N
ALL_COD	3699	HEMORRHAGE: OTHER SPECIFY	N
ALL_COD	3700	MALIGNANCY: METASTATIC OTHER SPECIFY	N
ALL_COD	3701	MALIGNANCY: PRIMARY OTHER SPECIFY	N
ALL_COD	3702	MALIGNANCY: POST-TX LYMPHOPROLIFERATIVE	N
ALL_COD	3799	MALIGNANCY: OTHER SPECIFY	N
ALL_COD	3800	TRAUMA: MOTOR VEHICLE	N
ALL_COD	3899	TRAUMA: OTHER SPECIFY	N
ALL_COD	3900	MISCELLANEOUS: DIABETES MELLITUS	N
ALL_COD	3901	MISC: INTRAOPER (NON-HEMORRHAGE OTHER SPECIFY)	N
ALL_COD	3902	MISCELLANEOUS: PANCREATITIS	N
ALL_COD	3903	MISCELLANEOUS: RENAL FAILURE	N
ALL_COD	3904	MISCELLANEOUS: RESPIRATORY FAILURE	N
ALL_COD	3905	MISCELLANEOUS: SUICIDE	N
ALL_COD	3906	NON-COMPLIANCE	N
ALL_COD	3907	MISC - LIVER FAILURE	N
ALL_COD	3908	MISC - MULTIPLE SYSTEM ORGAN FAILURE (MSOF)	N
ALL_COD	3909	MISC - FLUID/ELECTROLYTE DISORDER	N
ALL_COD	3910	MISC - ACID/BASE DISORDER	N
ALL_COD	3911	MISC - IMMUNO DRUG RELATED - HEMATOLOGIC	N
ALL_COD	3912	MISC - IMMUNO DRUG RELATED - NON-HEMATOLOGIC	N
ALL_COD	3913	MISC - NON-IMMUNO DRUG RELATED - HEMATOLOGIC	N
ALL_COD	3914	MISC - NON-IMMUNO, NON-HEMATOLOGIC, SPECIFY DRUG	N
ALL_COD	3915	PRIMARY NON-FUNCTION (GRAFT NEVER FUNCTIONED POST-TRANSPLANT)	N
ALL_COD	3916	INFECTION: VIRAL- COVID-19	N
ALL_COD	3917	INFECTION: VIRAL- OTHER SPECIFY	N
ALL_COD	4246	CARDIOVASCULAR - ARTERIAL EMBOLISM	N
ALL_COD	4247	CARDIOVASCULAR - PULMONARY EMBOLISM	N
ALL_COD	4600	GRAFT FAILURE:PRIMARY	N
ALL_COD	4601	GRAFT FAILURE:VASCULAR THROMBOSIS	N
ALL_COD	4602	GRAFT FAILURE:BILIARY TRACT COMPLICATION	N
ALL_COD	4603	GRAFT FAILURE:HEPATITIS	N
ALL_COD	4604	GRAFT FAILURE:RECURRENT DISEASE (NON-HEPATITIS)	N
ALL_COD	4605	GRAFT FAILURE:REJECTION	N
ALL_COD	4606	GRAFT FAILURE:INFECTION (NON-HEPATITIS)	N
ALL_COD	4610	GRAFT FAILURE:OTHER SPECIFY	N
ALL_COD	4615	GRAFT VS. HOST DISEASE	N
ALL_COD	4620	CARDIO: ARRYTHMIA	N
ALL_COD	4621	CARDIO: ARTERIAL OR PULMONARY EMBOLISM	N
ALL_COD	4622	CARDIO: HYPERKALEMIC ARREST	N
ALL_COD	4623	CARDIO: CONGESTIVE FAILURE (CHF)	N
ALL_COD	4624	CARDIO: MYOCARDIAL INFARCTION	N
ALL_COD	4625	CARDIO: OTHER SPECIFY	N
ALL_COD	4626	CARDIAC ARREST	N
ALL_COD	4630	CEREBROVASCULAR: EMBOLIC STROKE	N
ALL_COD	4631	CEREBROVASCULAR: HEMORRHAGIC STROKE	N
ALL_COD	4635	CEREBROVASCULAR: OTHER SPECIFY	N
ALL_COD	4640	PULM INSUFF OR EDEMA (EXC PNEUMONIA) (ARDS)	N
ALL_COD	4645	RESPIRATORY FAILURE: OTHER SPECIFY CAUSE	N
ALL_COD	4650	RENAL FAILURE	N
ALL_COD	4660	MULTIPLE ORGAN SYSTEM FAILURE	N
ALL_COD	4700	HEMORRHAGE: LOWER GASTROINTESTINAL	N
ALL_COD	4701	HEMORRHAGE: NEUROLOGICAL (BRAIN)	N
ALL_COD	4702	HEMORRHAGE: VARICEAL	N
ALL_COD	4703	HEMORRHAGE: DISSEMINATED INTRAVASCULAR COAGULATION (DIC)	N
ALL_COD	4705	HEMORRHAGE: OTHER SPECIFY	N
ALL_COD	4706	HEMORRHAGE	N
ALL_COD	4800	INF: BACTERIAL  PERITONITIS	N
ALL_COD	4801	INF: PNEUMONIA  LEGIONELLA  PNEUMOCYSTOSIS	N
ALL_COD	4802	INF: GENERALIZED SEPSIS	N
ALL_COD	4803	INF: FUNGAL  ASPERGILLUS  CRYPTOCOCCAL	N
ALL_COD	4804	INF: MIXED OTHER SPECIFY	N
ALL_COD	4805	INF: OPPORTUNISTIC	N
ALL_COD	4806	INF: VIRAL	N
ALL_COD	4810	INF: OTHER SPECIFY	N
ALL_COD	4811	INFECTION	N
ALL_COD	4850	MALIGNANCY: PRIMARY OTHER SPECIFY	N
ALL_COD	4851	MALIGNANCY: METASTATIC OTHER SPECIFY	N
ALL_COD	4855	MALIGNANCY: OTHER SPECIFY	N
ALL_COD	4856	MALIGNANCY	N
ALL_COD	4860	POST-TX LYMPHOPROLIFERATIVE DISORDER	N
ALL_COD	4900	OPERATIVE: OTHER SPECIFY	N
ALL_COD	4910	BRAIN DEAD:NEVER RECOVERED FROM SURGERY	N
ALL_COD	4920	SUICIDE:ATTEMPTED SUICIDE - DIED LATER	N
ALL_COD	4930	TRAUMA: MOTOR VEHICLE	N
ALL_COD	4935	TRAUMA: OTHER SPECIFY	N
ALL_COD	4940	DIABETES MELLITUS	N
ALL_COD	4941	FLUID/ELECTROLYTE DISORDER	N
ALL_COD	4942	ACID/BASE DISORDER	N
ALL_COD	4945	ACUTE PANCREATITIS	N
ALL_COD	4950	AIDS	N
ALL_COD	4951	IMMUNOSUPPRESSIVE DRUG RELATED - HEMATOLOGIC	N
ALL_COD	4952	IMMUNOSUPPRESSIVE DRUG RELATED - NON-HEMATOLOGIC	N
ALL_COD	4953	NON-IMMUNO DRUG RELATED - HEMATOLOGIC	N
ALL_COD	4954	NON-IMMUNO DRUG RELATED - NON-HEMATOLOGIC, SPECIFY DRUG	N
ALL_COD	4955	GRAFT FAILURE: PRIMARY NON-FUNCTION	N
ALL_COD	4956	GRAFT FAILURE: HEPATIC ARTERY THROMBOSIS	N
ALL_COD	4957	GRAFT FAILURE: OTHER VASCULAR THROMBOSIS	N
ALL_COD	4958	GRAFT FAILURE: DIFFUSE CHOLANGIOPATHY	N
ALL_COD	4959	INF: VIRAL- COVID-19	N
ALL_COD	4960	INF: VIRAL- OTHER SPECIFY	N
ALL_COD	5200	INFECTION: BACTERIAL PERITONITIS	N
ALL_COD	5201	INFECTION: BACTERIAL PNEUMONIA	N
ALL_COD	5202	INFECTION: BACTERIAL SEPTICEMIA	N
ALL_COD	5203	INFECTION: FUNGAL PERITONITIS	N
ALL_COD	5204	INFECTION: FUNGAL PNEUMONIA	N
ALL_COD	5205	INFECTION: FUNGAL SEPTICEMIA	N
ALL_COD	5206	INFECTION: MIXED OTHER SPECIFY	N
ALL_COD	5207	INFECTION: OPPORTUNISTIC OTHER SPECIFY	N
ALL_COD	5208	INFECTION: URINARY TRACT	N
ALL_COD	5209	INFECTION: VIRAL CMV	N
ALL_COD	5210	INFECTION: VIRAL  NON-CMV	N
ALL_COD	5211	INFECTION: AIDS	N
ALL_COD	5299	INFECTION: OTHER SPECIFY	N
ALL_COD	5300	CV: MF/CHF	N
ALL_COD	5301	CV: VASCULAR EMBOLISM	N
ALL_COD	5302	CARDIOVASCULAR - PULMONARY EMBOLISM	N
ALL_COD	5399	CV: OTHER SPECIFY	N
ALL_COD	5400	CEREBROVASCULAR: STROKE	N
ALL_COD	5499	CEREBROVASCULAR: OTHER SPECIFY	N
ALL_COD	5500	HEMORRHAGE: GASTROINTESTINAL	N
ALL_COD	5501	HEMORRHAGE: INTRAOPERATIVE	N
ALL_COD	5599	HEMORRHAGE: OTHER SPECIFY	N
ALL_COD	5600	MALIG: METASTATIC OTHER SPECIFY	N
ALL_COD	5601	MALIG: PRIMARY OTHER SPECIFY	N
ALL_COD	5602	MALIG: POST-TX LYMPHOPROLIFERATIVE DISORDER	N
ALL_COD	5699	MALIG: OTHER SPECIFY	N
ALL_COD	5700	TRAUMA: MOTOR VEHICLE	N
ALL_COD	5799	TRAUMA: OTHER SPECIFY	N
ALL_COD	5800	MISC: DIABETES MELLITUS COMPLICATIONS	N
ALL_COD	5801	MISC: INTRAOPER (NON-HEMORRHAGE OTHER SPECIFY)	N
ALL_COD	5802	MISC: PANCREATITIS (GRAFT)	N
ALL_COD	5803	MISC: PANCREATITIS (NATIVE)	N
ALL_COD	5804	MISC: LIVER FAILURE	N
ALL_COD	5805	MISC: RENAL FAILURE	N
ALL_COD	5806	MISC: RESP FAILURE (NON-PNEUMONIA)	N
ALL_COD	5807	MISC: ARDS	N
ALL_COD	5808	MISC: SUICIDE	N
ALL_COD	5809	MISC: MULTI-SYSTEM FAILURE	N
ALL_COD	5810	MISC - FLUID/ELECTROLYTE DISORDER	N
ALL_COD	5811	MISC - ACID/BASE DISORDER	N
ALL_COD	5812	MISC - IMMUNO DRUG RELATED - HEMATOLOGIC	N
ALL_COD	5813	MISC - IMMUNO DRUG RELATED - NON-HEMATOLOGIC	N
ALL_COD	5814	MISC - NON-IMMUNO DRUG RELATED - HEMATOLOGIC	N
ALL_COD	5815	MISC - NON-IMMUNO - NON-HEMATOLOGIC, SPECIFY DRUG	N
ALL_COD	5816	INFECTION: VIRAL- COVID-19	N
ALL_COD	5817	INFECTION: VIRAL- OTHER SPECIFY	N
ALL_COD	6500	GRAFT FAILURE:VASCULAR THROMBOSIS	N
ALL_COD	6501	GRAFT FAILURE:RECURRENT DISEASE OTHER SPECIFY	N
ALL_COD	6502	GRAFT FAILURE:REJECTION	N
ALL_COD	6503	GRAFT FAILURE:INFECTION OTHER SPECIFY	N
ALL_COD	6504	GRAFT FAILURE:PRIMARY	N
ALL_COD	6548	GRAFT FAILURE:OTHER SPECIFY	N
ALL_COD	6550	CARDIOVASCULAR:ARRHYTHMIA	N
ALL_COD	6551	CARDIOVASCULAR:ARTERIAL OR PULMONARY EMBOLISM	N
ALL_COD	6552	CARDIOVASCULAR:HYPERKALEMIC ARREST	N
ALL_COD	6553	CARDIOVASCULAR:CONGESTIVE FAILURE(CHF)	N
ALL_COD	6554	CARDIOVASCULAR:MYOCARDIAL INFARCTION	N
ALL_COD	6555	CARDIOVASCULAR - ARTERIAL EMBOLISM	N
ALL_COD	6556	CARDIOVASCULAR - PULMONARY EMBOLISM	N
ALL_COD	6598	CARDIOVASCULAR:OTHER SPECIFY	N
ALL_COD	6600	CEREBROVASCULAR:EMBOLIC STROKE	N
ALL_COD	6601	CEREBROVASCULAR:HEMORRHAGIC STROKE	N
ALL_COD	6648	CEREBROVASCULAR:OTHER SPECIFY	N
ALL_COD	6650	PULM INSUFF OR EDEMA (EXC PNEUMONIA) Adult	N
ALL_COD	6651	RESPIRATORY FAILURE:OTHER SPECIFY CAUSE	N
ALL_COD	6700	HEMORRHAGE:LOWER GASTROINTESTINAL	N
ALL_COD	6701	HEMORRHAGE: NEUROLOGICAL (BRAIN)	N
ALL_COD	6702	HEMORRHAGE:VARICEAL	N
ALL_COD	6703	HEMORRHAGE: DISSEMINATED INTRAVASCULAR COAGULATION (DIC)	N
ALL_COD	6748	HEMORRHAGE:OTHER, SPECIFY	N
ALL_COD	6750	INFECTION:BACTERIAL PERITONITIS	N
ALL_COD	6751	INFECTION:BACTERIAL PNEUMONIA	N
ALL_COD	6752	INFECTION:BACTERIAL SEPTICEMIA	N
ALL_COD	6753	INFECTION:FUNGAL PERITONITIS	N
ALL_COD	6754	INFECTION:FUNGAL PNEUMONIA	N
ALL_COD	6755	INFECTION:FUNGAL SEPTICEMIA	N
ALL_COD	6756	INFECTION:MIXED OTHER SPECIFY	N
ALL_COD	6757	INFECTION:OPPORTUNISTIC OTHER SPECIFY	N
ALL_COD	6758	INFECTION:URINARY TRACT	N
ALL_COD	6759	INFECTION:VIRAL CMV	N
ALL_COD	6760	INFECTION:VIRAL NON-CMV	N
ALL_COD	6761	INFECTION:AIDS	N
ALL_COD	6798	INFECTION:OTHER SPECIFY	N
ALL_COD	6800	MALIGNANCY:PRIMARY OTHER SPECIFY	N
ALL_COD	6801	MALIGNANCY:METASTATIC OTHER SPECIFY	N
ALL_COD	6848	MALIGNANCY:OTHER SPECIFY: (IE., LEUKEMIA)	N
ALL_COD	6850	POST-TX LYMPHOPROLIFERATIVE DISORDER	N
ALL_COD	6851	OPERATIVE: OTHER SPECIFY	N
ALL_COD	6852	BRAIN DEAD: NEVER RECOVERED FROM SURGERY	N
ALL_COD	6853	SUICIDE:ATTEMPTED SUICIDE-DIED LATER	N
ALL_COD	6854	TRAUMA: MOTOR VEHICLE	N
ALL_COD	6855	TRAUMA: OTHER SPECIFY	N
ALL_COD	6856	PANCREATITIS (GRAFT)	N
ALL_COD	6857	PANCREATITIS (NATIVE)	N
ALL_COD	6858	RENAL FAILURE	N
ALL_COD	6859	MULTIPLE ORGAN SYSTEM FAILURE	N
ALL_COD	6860	GRAFT VS HOST DISEASE	N
ALL_COD	6861	FLUID/ELECTROLYTE DISORDER	N
ALL_COD	6862	ACID/BASE DISORDER	N
ALL_COD	6863	IMMUNOSUPPRESSIVE DRUG RELATED - HEMATOLOGIC	N
ALL_COD	6864	IMMUNOSUPPRESSIVE DRUG RELATED - NON-HEMATOLOGIC	N
ALL_COD	6865	NON-IMMUNO DRUG RELATED - HEMATOLOGIC	N
ALL_COD	6866	NON-IMMUNO DRUG RELATED - NON-HEMATOLOGIC, SPECIFY DRUG	N
ALL_COD	6867	INFECTION:VIRAL- COVID-19	N
ALL_COD	6868	INFECTION:VIRAL- OTHER SPECIFY	N
ALL_COD	7200	INFECTION: BACTERIAL PERITONITIS	N
ALL_COD	7201	INFECTION: BACTERIAL PNEUMONIA	N
ALL_COD	7202	INFECTION: BACTERIAL SEPTICEMIA	N
ALL_COD	7203	INFECTION: FUNGAL PERITONITIS	N
ALL_COD	7204	INFECTION: FUNGAL PNEUMONIA	N
ALL_COD	7205	INFECTION: FUNGAL SEPTICEMIA	N
ALL_COD	7206	INFECTION: MIXED OTHER SPECIFY	N
ALL_COD	7207	INFECTION: OPPORTUNISTIC OTHER SPECIFY	N
ALL_COD	7208	INFECTION: URINARY TRACT	N
ALL_COD	7209	INFECTION: VIRAL CMV	N
ALL_COD	7210	INFECTION: VIRAL NON-CMV	N
ALL_COD	7211	INFECTION: AIDS	N
ALL_COD	7212	INFECTION: OTHER SPECIFY	N
ALL_COD	7213	CARDIOVASCULAR: MYOCARDIAL INFARCTION	N
ALL_COD	7214	CARDIOVASCULAR: ARTERIAL EMBOLISM	N
ALL_COD	7215	CARDIOVASCULAR: VASCULAR EMBOLISM	N
ALL_COD	7216	CARDIOVASCULAR: OTHER SPECIFY	N
ALL_COD	7217	CEREBROVASCULAR: STROKE	N
ALL_COD	7218	CEREBROVASCULAR: OTHER SPECIFY	N
ALL_COD	7219	HEMORRHAGE: GASTROINTESTINAL	N
ALL_COD	7220	HEMORRHAGE: INTRAOPERATIVE	N
ALL_COD	7221	HEMORRHAGE: OTHER SPECIFY	N
ALL_COD	7222	MALIGNANCY: METASTATIC OTHER SPECIFY	N
ALL_COD	7223	MALIGNANCY: PRIMARY OTHER SPECIFY	N
ALL_COD	7224	MALIGNANCY: POST-TX LYMPHOPROLIFERATIVE	N
ALL_COD	7225	MALIGNANCY: OTHER SPECIFY	N
ALL_COD	7226	TRAUMA: MOTOR VEHICLE	N
ALL_COD	7227	TRAUMA: OTHER SPECIFY	N
ALL_COD	7228	MISCELLANEOUS: DIABETES MELLITUS	N
ALL_COD	7229	MISC: INTRAOPER (NON-HEMORRHAGE OTHER SPECIFY)	N
ALL_COD	7230	MISC: PANCREATITIS (GRAFT)	N
ALL_COD	7231	MISC: PANCREATITIS (NATIVE)	N
ALL_COD	7232	MISC: LIVER FAILURE	N
ALL_COD	7233	MISC: ARDS	N
ALL_COD	7234	MISCELLANEOUS: INTRAOPERATIVE OTHER SPECIFY	N
ALL_COD	7235	MISCELLANEOUS: RENAL FAILURE	N
ALL_COD	7236	MISCELLANEOUS: RESPIRATORY FAILURE	N
ALL_COD	7237	MISCELLANEOUS: SUICIDE	N
ALL_COD	7238	MISC: MULTI-SYSTEM FAILURE	N
ALL_COD	7239	NON-COMPLIANCE	N
ALL_COD	7240	CARDIOVASCULAR - PULMONARY EMBOLISM	N
ALL_COD	7241	MISC - FLUID/ELECTROLYTE DISORDER	N
ALL_COD	7242	MISC - ACID/BASE DISORDER	N
ALL_COD	7243	MISC - IMMUNO DRUG RELATED - HEMATOLOGIC	N
ALL_COD	7244	MISC - IMMUNO DRUG RELATED - NON-HEMATOLOGIC	N
ALL_COD	7245	MISC - NON-IMMUNO DRUG RELATED - HEMATOLOGIC	N
ALL_COD	7246	MISC - NON-IMMUNO - NON-HEMATOLOGIC, SPECIFY DRUG	N
ALL_COD	7247	INFECTION: VIRAL- COVID-19	N
ALL_COD	7248	INFECTION: VIRAL- OTHER SPECIFY	N
ALL_COD	8000	ACID/BASE DISORDER	N
ALL_COD	8001	ACUTE PANCREATITIS	N
ALL_COD	8002	AIDS	N
ALL_COD	8003	BRAIN DEAD:NEVER RECOVERED FROM SURGERY	N
ALL_COD	8004	CARDIAC ARREST	N
ALL_COD	8005	CEREBROVASCULAR: BRAIN ANOXIA	N
ALL_COD	8006	CEREBROVASCULAR: DEGENERATIVE BRAIN DISEASE	N
ALL_COD	8007	CEREBROVASCULAR: EMBOLIC STROKE	N
ALL_COD	8008	CEREBROVASCULAR: HEMORRHAGE (NON-STROKE)	N
ALL_COD	8009	CEREBROVASCULAR: HEMORRHAGIC STROKE	N
ALL_COD	8010	DIABETES MELLITUS	N
ALL_COD	8011	FLUID/ELECTROLYTE DISORDER	N
ALL_COD	8012	GRAFT FAILURE:BILIARY TRACT COMPLICATION	N
ALL_COD	8013	GRAFT FAILURE: GRAFT INFECTION	N
ALL_COD	8014	GRAFT FAILURE:HEPATITIS	N
ALL_COD	8015	GRAFT FAILURE: NON-SPECIFIC	N
ALL_COD	8016	GRAFT FAILURE: RECURRENT DISEASE	N
ALL_COD	8017	GRAFT FAILURE: TECHNICAL	N
ALL_COD	8018	GRAFT FAILURE:OTHER SPECIFY	N
ALL_COD	8019	GRAFT FAILURE:PRIMARY	N
ALL_COD	8020	GRAFT FAILURE:REJECTION	N
ALL_COD	8021	GRAFT FAILURE:VASCULAR THROMBOSIS	N
ALL_COD	8022	GRAFT VS. HOST DISEASE	N
ALL_COD	8023	HEMATOLOGIC OTHER SPECIFY	N
ALL_COD	8024	HEMORRHAGE	N
