"STAR Table Name: THORACIC_DATA
Variable Names in red font denote that field has important information in the Comment field

The data files created based on data as of 4/5/2024 will include data for registrations added and/or transplants occurring through 03/31/2024"	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8
CARDARREST_NEURO	DECEASED DONOR-CARDIAC ARREST POST BRAIN DEATH	DDR	1999-10-25 00:00:00		CLINICAL INFORMATION	CHAR(1)		
CARDIAC_OUTPUT_CATH_INIT_DON	DDR INITIAL CARDIAC OUTPUT (L/MIN)	DDR	2004-06-30 00:00:00		ORGAN RECOVERY	NUM		
CARDIAC_OUTPUT_CATH_OLD_DON	ARCHIVED DDR CARDIAC OUTPUT	DDR	1999-10-25 00:00:00	2004-06-30 00:00:00	ORGAN RECOVERY	NUM		
CARDIAC_OUTPUT_CATH_POST_DON	DDR FINAL CARDIAC OUTPUT (L/MIN)	DDR	2004-06-30 00:00:00		ORGAN RECOVERY	NUM		
CARDIACOUTPUTPOSTTX24	POST TRANSPLANT AT 24 HOURS//CARDIAC OUTPUT (CO):	TRR	2023-09-14 00:00:00			NUM		
CARDIACOUTPUTPOSTTX72	POST TRANSPLANT AT 72 HOURS//CARDIAC OUTPUT (CO): 	TRR	2023-09-14 00:00:00			NUM		
CAS_EFFICIENCY_SCORE	Lung CAS Proximity Efficiency Score at Accepted Transplant Offer		2023-03-09 00:00:00			NUM		
CDC_RISK_HIV_DON	DDR: Per PHS, Does the Donor Have Risk Factors for Blood-Borne Disease Transmission?	DDR	2004-06-30 00:00:00		DONOR HISTORY	CHAR(1)		
CEREB_VASC	PATIENT SYMPTOMATIC CEREBROVASCULAR DISEASE @ REGISTRATION	TCR	1994-04-01 00:00:00	2007-01-01 00:00:00	CLINICAL INFORMATION	CHAR(1)		
CHEST_XRAY_DON	DDR CHEST XRAY	DDR	1999-10-25 00:00:00		ORGAN RECOVERY	NUM	LUNGXRAY	
CIG_GRT_10_OLD	HISTORY OF CIGARETTE USE >10 PACK YEARS @ REGISTRATION	TCR	1999-10-25 00:00:00	2004-06-30 00:00:00	CLINICAL INFORMATION	CHAR(1)		ONLY COLLECTED ON THE HEART AND HEART-LUNG TCR, NOT COLLECTED ON LU TCR.
CIG_USE	HISTORY OF CIGARETTE USE	TCR	2004-06-30 00:00:00		CLINICAL INFORMATION	CHAR(1)		
CITIZEN_COUNTRY	CANDIDATE COUNTRY OF PERMANENT RESIDENCE @ REGISTRATION	TCR	2015-03-31 00:00:00		CANDIDATE INFORMATION	CHAR(3)	CTRY	
CITIZENSHIP	RECIPIENT CITIZENSHIP @ REGISTRATION	TCR	1987-10-01 00:00:00		CANDIDATE INFORMATION	NUM	CITIZEN	
CITIZENSHIP_DON	DONOR CITIZENSHIP	DDR/LDR	1987-10-01 00:00:00		DONOR INFORMATION	NUM		This field uses separate SAS Analysis Format types for donor type. For deceased donors (don_ty=C) use CITIZDDR. For living donors (don_ty=L) use CITIZEN
CLIN_INFECT_DON	DECEASED DONOR-CLINICAL INFECTION (Y,N)	DDR	1994-04-01 00:00:00		CLINICAL INFORMATION	CHAR(1)		
CMV_DON	DONOR SEROLOGY ANTI CMV (FOR LIVING DONOR, PRE UNET DATA ONLY)	DDR/LDR			CLINICAL INFORMATION	CHAR(2)	SERSTAT	START DATE: DECEASED DONORS: 10/1/87-PRESENT; LIVING DONORS 10/1/90-10/25/99
CMV_IGG	RECIPIENT-CMV BY IGG TEST RESULT  @ TRANSPLANT	TRR	1999-10-25 00:00:00	2015-03-31 00:00:00	PRETRANSPLANT CLINICAL INFORMATION	CHAR(2)	SERSTAT	
CMV_IGG_DON	LIVING DONOR-CMV BY IGG TEST RESULT	LDR	1999-10-25 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT	
CMV_IGM	RECIPIENT-CMV BY IGM TEST RESULT  @ TRANSPLANT	TRR	1999-10-25 00:00:00	2015-03-31 00:00:00	PRETRANSPLANT CLINICAL INFORMATION	CHAR(2)	SERSTAT	
CMV_IGM_DON	LIVING DONOR-CMV BY IGM TEST RESULT	LDR	1999-10-25 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT	
CMV_NUCLEIC_DON	DONOR CMV BY NUCLEIC ACID	LDR	1994-04-01 00:00:00			CHAR(2)	SERSTAT	
CMV_OLD_LIV_DON	LIV DONOR CMV -SEROLOGY (PRE 10/25/99 DATA)	LDR	1990-10-01 00:00:00	1999-10-25 00:00:00		CHAR(2)	SERSTAT	
CMV_STATUS	RECIPIENT CMV Status @ TRANSPLANT	TRR	2015-03-31 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT	
CMV_TEST_DON	LIV DONOR CMV TESTED?	LDR	1990-10-01 00:00:00			CHAR(1)		
COD	RECIPIENT PRIMARY CAUSE OF DEATH	TRF/TRR	1987-10-01 00:00:00		PATIENT STATUS	NUM	ALL_COD	
COD_CAD_DON	DECEASED DONOR-CAUSE OF DEATH	DDR	1987-10-01 00:00:00		DONOR INFORMATION	NUM	DON_COD	
COD_LIV_DON	LIVING DONOR CAUSE OF DEATH	LDF	1999-10-25 00:00:00		PATIENT STATUS	NUM	LDONCOD	
COD_WL	CANDIDATE CAUSE OF DEATH FOR DEATH REMOVAL	TCR	2003-12-03 00:00:00			NUM	ALL_COD	
COD2	RECIPIENT CONTRIBUTORY CAUSE OF DEATH 1	TRF/TRR	2004-06-30 00:00:00		PATIENT STATUS	NUM	ALL_COD	
COD3	RECIPIENT CONTRIBUTORY CAUSE OF DEATH 2	TRF/TRR	2004-06-30 00:00:00		PATIENT STATUS	NUM	ALL_COD	
COGNITIVE_DEV_TRR	TRR COGNITIVE DEVELOPMENT (PEDIATRIC)	TRR	2008-03-01 00:00:00		PATIENT STATUS	NUM	COGNITIVE_DEV	
COMPOSITE_DEATH_DATE	Composite Patient Death Date from OPTN or Verified from External Sources	TRR/TRF-CALCULATED				NUM		
CONTIN_ALCOHOL_OLD_DON	DECEASED DONOR-HISTORY OF ALCOHOL DEPENDENCY+ RECENT 6MO USE	DDR	1994-04-01 00:00:00	2004-06-30 00:00:00	DONOR HISTORY	CHAR(1)		
CONTIN_CIG_DON	DECEASED DONOR-HISTORY OF CIGARETTES IN PAST@ >20PACK YRS+RECENT 6MO USE	DDR	1994-04-01 00:00:00		DONOR HISTORY	CHAR(1)		
CONTIN_CIG_OLD	CIGARETTE USE > 10 PACK YRS AND CONINUED USE DURING LAST SIX MONTHS	TCR	1999-10-25 00:00:00	2004-06-30 00:00:00	HEART/LUNG MEDICAL FACTORS	CHAR(1)		
CONTIN_COCAINE_DON	DECEASED DONOR-HISTORY OF COCAINE USE+RECENT 6MO USE	DDR	1999-10-25 00:00:00		DONOR HISTORY	CHAR(1)		
CONTIN_IV_DRUG_OLD_DON	DECEASED DONOR-HISTORY OF IV DRUG USE+RECENT 6MO USE	DDR	1994-04-01 00:00:00	2004-06-29 00:00:00	DONOR HISTORY	CHAR(1)		
CONTIN_OTH_DRUG_DON	DECEASED DONOR-HISTORY OF OTHER DRUGS IN PAST+RECENT 6MO USE	DDR	1994-04-01 00:00:00		DONOR HISTORY	CHAR(1)		
CONTROLLED	NON HEART BEATING DONOR: IF YES CONTROLLED	DDR	1994-04-01 00:00:00		ORGAN RECOVERY	CHAR(1)		
CORONARY_ANGIO	DECEASED DONOR CORONARY ANGIOGRAM: Y/N IF YES NORMAL: Y/N IF ABNORMAL # VESSELS WITH > 50% STENOSIS	DDR	1999-10-25 00:00:00		HEART DONOR'S CARDIAC FUNCTION	NUM	ANGIO	
CPRA	Recipient Most Recent CPRA	RH	2015-03-31 00:00:00		CLINICAL INFORMATION	NUM		
CPRA_PEAK	RecipientPeak CPRA	RH	2015-03-31 00:00:00		CLINICAL INFORMATION	NUM		
CREAT_DON	DECEASED DONOR-TERMINAL LAB CREATININE	DDR	1994-04-01 00:00:00		CLINICAL INFORMATION	NUM		
CREAT_TRR	RECIPIENT SERUM CREATININE AT TIME OF TX	TRR	1994-04-01 00:00:00		PRETRANSPLANT CLINICAL INFORMATION	NUM		
CREAT2_OLD	MOST RECENT CREATININE > 2.0 MG/DL Y/N (ONLY COLLECTED 04/01/1994 TO 10/25/1999)	TCR	1994-04-01 00:00:00	1999-10-25 00:00:00		CHAR(1)		
CRSMATCH_DONE	CROSSMATCH DONE Y/N	RH	1994-04-01 00:00:00		TEST INFORMATION	CHAR(1)		
CTR_CODE	ENCRYPTED TRANSPLANT CENTER CODE	CALCULATED				CHAR(7)		
CVP_CATH_INIT_DON	DDR CVP CATHETER INIT (MM/HG)	DDR	2004-06-30 00:00:00		ORGAN RECOVERY	NUM		
CVP_CATH_OLD_DON	ARCHIVED DDR CVP CATHETER	DDR	1999-10-25 00:00:00	2004-06-30 00:00:00	ORGAN RECOVERY	NUM		
CVP_CATH_POST_DON	DDR CVP CATHETER POST (MM/HG)	DDR	2004-06-30 00:00:00		ORGAN RECOVERY	NUM		
DA1	DONOR A1 ANTIGEN	CALCULATED	1987-10-01 00:00:00		DONOR CENTER HISTOCOMPATIBILITY TYPING	NUM	ALOCUS	
DA2	DONOR A2 ANTIGEN	CALCULATED	1987-10-01 00:00:00		DONOR CENTER HISTOCOMPATIBILITY TYPING	NUM	ALOCUS	
DANTIARR_OLD	DECEASED DONOR GIVEN ANTIARRYTHMICS 24 HOURS PRIOR TO CROSS CLAMP	DDR	1994-04-01 00:00:00	1999-10-25 00:00:00		CHAR(1)		
DATA_TRANSPLANT	Recipient TRR Data Reported	CALCULATED				CHAR(1)		
DATA_WAITLIST	Candidate WL Data Reported	CALCULATED				CHAR(1)		
DAYS_STAT1	DAYS IN STATUS 1	CALCULATED				NUM		
DAYS_STAT1A	DAYS IN STATUS 1A	CALCULATED				NUM		
DAYS_STAT1B	DAYS IN STATUS 1B	CALCULATED				NUM		
DAYS_STAT2	DAYS IN STATUS 2	CALCULATED				NUM		
DAYS_STATA1	DAYS IN ADULT STATUS 1	CALCULATED	2018-10-18 00:00:00			NUM		
DAYS_STATA2	DAYS IN ADULT STATUS 2	CALCULATED	2018-10-18 00:00:00			NUM		
DAYS_STATA3	DAYS IN ADULT STATUS 3	CALCULATED	2018-10-18 00:00:00			NUM		
DAYS_STATA4	DAYS IN ADULT STATUS 4	CALCULATED	2018-10-18 00:00:00			NUM		
DAYS_STATA5	DAYS IN ADULT STATUS 5	CALCULATED	2018-10-18 00:00:00			NUM		
DAYS_STATA6	DAYS IN ADULT STATUS 6	CALCULATED	2018-10-18 00:00:00			NUM		
DAYSWAIT_CHRON	TOTAL DAYS ON WAITING LIST	CALCULATED				NUM		
DB1	DONOR B1 ANTIGEN	CALCULATED	1987-10-01 00:00:00		DONOR CENTER HISTOCOMPATIBILITY TYPING	NUM	BLOCUS	
DB2	DONOR B2 ANTIGEN	CALCULATED	1987-10-01 00:00:00		DONOR CENTER HISTOCOMPATIBILITY TYPING	NUM	BLOCUS	
DDAVP_DON	DECEASED DONOR-SYNTHETIC ANTI DIURETIC HORMONE (DDAVP)	DDR	1999-10-25 00:00:00		CLINICAL INFORMATION	CHAR(1)		
DDR1	DONOR DR1 ANTIGEN	CALCULATED	1987-10-01 00:00:00		DONOR CENTER HISTOCOMPATIBILITY TYPING	NUM	DRLOCUS	
DDR2	DONOR DR2 ANTIGEN	CALCULATED	1987-10-01 00:00:00		DONOR CENTER HISTOCOMPATIBILITY TYPING	NUM	DRLOCUS	
DEATH_CIRCUM_DON	DECEASED DONOR-CIRCUMSTANCE OF DEATH	DDR	1994-04-01 00:00:00		DONOR INFORMATION	NUM	DTHCIRC	
DEATH_DATE	DATE DIED, FOR PATIENT REMOVED FROM THE WAITING LIST FOR REASON OF DEATH	WAITING LIST DATA	1999-10-25 00:00:00		WAITING LIST DATA	NUM		
DEATH_MECH_DON	DECEASED DONOR-MECHANISM OF DEATH	DDR	1994-04-01 00:00:00		DONOR INFORMATION	NUM	DTHMECH	
DIAB	RECIPIENT DIABETES @ REGISTRATION	TCR	1994-04-01 00:00:00		CLINICAL INFORMATION	NUM	DIABTY	
DIABDUR_DON	DECEASED DONOR-DIABETES DURATION	DDR	1994-04-01 00:00:00		DONOR HISTORY	NUM	HISTDIAB	UNROLLED FROM HIST_DIABETES_DON TO INCLUDE DURATION ONLY
DIABETES_DON	DECEASED DONOR-HISTORY OF DIABETES (Y,N)	DDR	1994-04-01 00:00:00		DONOR HISTORY	CHAR(1)		UNROLLED Y/N FIELD FROM HIST_DIABETES_DON
DIAG	RECIPIENT PRIMARY DIAGNOSIS	TRR>TCR	1987-10-01 00:00:00		PATIENT STATUS/CLINICAL INFORMATION	NUM	ALL_DGN	" THIS FIELD DRAWS FROM ""AT TRANSPLANT"" AND IF NOT THERE THEN FROM TCR."
DIAL_AFTER_LIST	DIALYSIS OCCURRING BETWEEN LISTING AND TRANSPLANT	TRR	1994-04-01 00:00:00		PRETRANSPLANT CLINICAL INFORMATION	CHAR(1)		
DIAL_PRIOR_TX	Calculated: Ever Dialysis Prior Tx?	CALCULATED				CHAR(1)		
DIAL_TY_TCR	PATIENT TYPE OF DIALYSIS @ REGISTRATION	TCR	1994-04-01 00:00:00		CLINICAL INFORMATION	NUM	DIAL_TY	Collected for HR . But removed for HL and LU on 3/31/15.
DIAST_PA_CATH_INIT_DON	DDR PA CATHETER INIT	DDR	2004-06-30 00:00:00		ORGAN RECOVERY	NUM		
DIAST_PA_CATH_POST_DON	DDR PA CATHETER FINAL	DDR	2004-06-30 00:00:00		ORGAN RECOVERY	NUM		
DIASTOLIC_PA_CATH_OLD_DON	ARCHIVED DDR PA CATHETER DIASTOLIC	DDR	1999-10-25 00:00:00	2004-06-30 00:00:00	ORGAN RECOVERY	NUM		
DIET_DON	DECEASED DONOR-HYPERTENSION DIET CONTROLLED	DDR	1994-04-01 00:00:00		DONOR HISTORY	CHAR(1)		
DISCHARGE_DATE	RECIPIENT DISCHARGE DATE FROM TX CENTER	TRR	1994-04-01 00:00:00		PATIENT STATUS	NUM		
DISTANCE	DISTANCE FROM DONOR HOSP TO TX CENTER (Nautical Miles)	CALCULATED				NUM		
DIURETICS_DON	DECEASED DONOR-HYPERTENSION DIURETIC CONTROLLED	DDR	1994-04-01 00:00:00		DONOR HISTORY	CHAR(1)		
DOBUT_DON_OLD	DECEASED DONOR-DOBUTAMINE W/IN 24 HRS PRE-CROSS CLAMP	DDR	1994-04-01 00:00:00	2003-01-27 00:00:00	CLINICAL INFORMATION	CHAR(1)	SERSTAT	
DOBUTAMINEPOSTTX24	POST TRANSPLANT AT 24 HOURS//INOTROPE SUPPORT AT 24 HOURS//DOBUTAMINE:	TRR	2023-09-14 00:00:00			NUM	DOBUTAM	
DOBUTAMINEPOSTTX72	POST TRANSPLANT AT 72 HOURS//INOTROPE SUPPORT AT 72 HOURS//DOBUTAMINE:	TRR	2023-09-14 00:00:00			NUM	DOBUTAM	
DON_RETYP	DECEASED DONOR-RETYPED AT TX CENTER	RH	1987-10-01 00:00:00		TEST INFORMATION	CHAR(1)		
DON_TY	DONOR TYPE - DECEASED OR LIVING	TRR	1987-10-01 00:00:00		DONOR INFORMATION	CHAR(3)	DON_TYP	
DONOR_ID	ENCRYPTED DONOR IDENTIFIER	CALCULATED				NUM		
DOPAMINE_DON_OLD	DECEASED DONOR-DOPAMINE W/IN 24 HRS PRE-CROSS CLAMP	DDR	1994-04-01 00:00:00	2003-01-27 00:00:00	CLINICAL INFORMATION	CHAR(1)	SERSTAT	
DOPAMINEPOSTTX24	POST TRANSPLANT AT 24 HOURS//INOTROPE SUPPORT AT 24 HOURS//DOPAMINE:	TRR	2023-09-14 00:00:00			NUM	DOPAM	
DOPAMINEPOSTTX72	POST TRANSPLANT AT 72 HOURS//INOTROPE SUPPORT AT 72 HOURS//DOPAMINE:	TRR	2023-09-14 00:00:00			NUM	DOPAM	
DQ1	Candidate Most Recent/at Removal DQB1 Antigen From Waiting List	WAITING LIST DATA	1987-10-01 00:00:00		WAITING LIST DATA	NUM	DQHLA	
DQ2	Candidate Most Recent/at Removal DQB2 Antigen From Waiting List	WAITING LIST DATA	1987-10-01 00:00:00		WAITING LIST DATA	NUM	DQHLA	
DR51	Candidate Most Recent/at Removal DR51 Antigen From Waiting List	WAITING LIST DATA	1987-10-01 00:00:00		WAITING LIST DATA	NUM	WKGRPHLA	
DR51_2	Candidate Most Recent/at Removal DR51 Antigen From Waiting List	WAITING LIST DATA	1987-10-01 00:00:00		WAITING LIST DATA	NUM	WKGRPHLA	
DR52	Candidate Most Recent/at Removal DR52 Antigen From Waiting List	WAITING LIST DATA	1987-10-01 00:00:00		WAITING LIST DATA	NUM	WKGRPHLA	
DR52_2	Candidate Most Recent/at Removal DR52 Antigen From Waiting List	WAITING LIST DATA	1987-10-01 00:00:00		WAITING LIST DATA	NUM	WKGRPHLA	
DR53	Candidate Most Recent/at Removal DR53 Antigen From Waiting List	WAITING LIST DATA	1987-10-01 00:00:00		WAITING LIST DATA	NUM	WKGRPHLA	
DR53_2	Candidate Most Recent/at Removal DR53 Antigen From Waiting List	WAITING LIST DATA	1987-10-01 00:00:00		WAITING LIST DATA	NUM	WKGRPHLA	
DRMIS	DR Locus MISMATCH LEVEL	CALCULATED				NUM		
EBV_DNA_DON	LIVING DONOR EPSTEIN BARR VIRUS DNA	LDR	1999-10-25 00:00:00		CLINICAL INFORMATION - SEROLOGY	CHAR(2)	SERSTAT	
EBV_IGG_CAD_DON	DECEASED DONOR EPSTEIN BARR VIRUS BY IGG TEST RESULT	DDR	2006-05-03 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT	
EBV_IGG_DON	LIVING DONOR EPSTEIN BARR VIRUS IGG	LDR	1999-10-25 00:00:00		CLINICAL INFORMATION - SEROLOGY	CHAR(2)	SERSTAT	
EBV_IGM_CAD_DON	DECEASED DONOR EPSTEIN BARR VIRUS BY IGM TEST RESULT	DDR	2006-05-03 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT	
EBV_IGM_DON	LIVING DONOR EPSTEIN BARR VIRUS IGM	LDR	1999-10-25 00:00:00		CLINICAL INFORMATION - SEROLOGY	CHAR(2)	SERSTAT	
EBV_SEROSTATUS	RECIPIENT EBV STATUS @ TRANSPLANT	CALCULATED				CHAR(2)	SERSTAT	
EBV_TEST_DON	LIVING DONOR EPSTEIN BARR VIRUS TESTED?	LDR	1994-04-01 00:00:00		CLINICAL INFORMATION - SEROLOGY	CHAR(1)		
ECD_DONOR	EXPANDED DONOR PER KIDNEY ALLOCATION DEFINITION 1=YES	CALCULATED	1994-04-01 00:00:00			NUM		
ECMO_72HOURS	Recipient ECMO at 72 Hours	TRR	2015-03-31 00:00:00		CLINICAL INFORMATION	CHAR(2)		
ECMO_TCR	PATIENT ON LIFE SUPPORT - ECMO @ REGISTRATION	TCR	1995-04-01 00:00:00		CANDIDATE INFORMATION	NUM		
ECMO_TRR	PATIENT ON LIFE SUPPORT - ECMO @ TRANSPLANT	TRR	1995-04-01 00:00:00		PATIENT STATUS	NUM		
ECMOPOSTTX24	POST TRANSPLANT AT 24 HOURS//LIFE SUPPORT: ECMO//EXTRA CORPOREAL MEMBRANE OXYGENATION	TRR	2023-09-14 00:00:00			NUM		
ECMOPOSTTX72	POST TRANSPLANT AT 72 HOURS//LIFE SUPPORT: ECMO//EXTRA CORPOREAL MEMBRANE OXYGENATION	TRR	2023-09-14 00:00:00			NUM		
EDUCATION	RECIPIENT HIGHEST EDUCATIONAL LEVEL @ REGISTRATION	TCR	1994-04-01 00:00:00		CANDIDATE INFORMATION	NUM	EDLEVEL	
EDUCATION_DON	LIVING DONOR-HIGHEST LEVEL OF EDUCATION	LDR	1999-10-25 00:00:00		DONOR INFORMATION	NUM	EDLEVEL	
ENBLOCLUNGCHECKINDATE	En Bloc Lungs Check-In Date 	TRR	2023-09-14 00:00:00			NUM		
ENBLOCLUNGCHECKINTIME	En Bloc Lungs Check-In Time	TRR	2023-09-14 00:00:00			NUM		
ENBLOCLUNGCHECKINTIMEZONEID	En Bloc Lungs Check-In //Time Zone	TRR	2023-09-14 00:00:00			NUM		
END_BLU_FLG	LUNG PREFERENCE AT REMOVAL/CURRENT TIME/ TCR - BOTH (1=Y)	WAITING LIST DATA	1995-03-01 00:00:00		WAITING LIST DATA	NUM		
END_BMI_CALC	Calculated Candidate BMI at Removal/Current Time	CALCULATED				NUM		
END_CALC_CAS_BIO_SCORE	Tx Offer/Removal/Current Calculated Lung CAS Biological Disadvantages Score		2023-03-09 00:00:00			NUM		
END_CALC_CAS_POSTTX_SCORE	Tx Offer/Removal/Current Calculated Lung CAS Post-transplant Outcomes Score		2023-03-09 00:00:00			NUM		
END_CALC_CAS_PTACC_SCORE	Tx Offer/Removal/Current Calculated Lung CAS Patient Access Score		2023-03-09 00:00:00			NUM		
END_CALC_CAS_SUBSCORE	Tx Offer/Removal/Current Calculated Lung CAS Sub-Score (without proximity efficiency points)		2023-03-09 00:00:00			NUM		
END_CALC_CAS_WL_SCORE	Tx Offer/Removal/Current Calculated Lung CAS Medical Urgency Score		2023-03-09 00:00:00			NUM		
END_CALC_LAS	REMOVAL/CURRENT CALCULATED LUNG ALLOCATION SCORE	CALCULATED	2005-05-04 00:00:00			NUM		
