"STAR Table Name: THORACIC_PRA_CROSSMATCH_DATA
Variable Names in red font denote that field has important information in the Comment field

The data files created based on data as of 4/5/2024 will include data for registrations added and/or transplants occurring through 03/31/2024"	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8
CTYPE3	RH CROSSMATCH - CELL TYPE 3			2015-03-31 00:00:00		CHAR(30)		
CTYPE4	RH CROSSMATCH - CELL TYPE 4			2015-03-31 00:00:00		CHAR(30)		
CTYPE5	RH CROSSMATCH - CELL TYPE 5			2015-03-31 00:00:00		CHAR(30)		
H_CELL_DONE	RH PHYSICAL CROSSMATCH DONE//WHICH HISTORICAL CROSSMATCH TESTS WERE PERFORMED?					NUM		
H_CELL_DONE_XMAT_AHG	RH PHYSICAL CROSSMATCH  - HISTORICAL RESULT: CROSSMATCH CYTOTOXICITY AHG TEST RESULT					NUM		
H_CELL_DONE_XMAT_FLOW_CYTOMETRY	RH PHYSICAL CROSSMATCH  - HISTORICAL RESULT: CROSSMATCH CYTOTOXICITY FLOW CYTOMETRY TEST RESULT					NUM		
H_CELL_DONE_XMAT_NO_AHG	RH PHYSICAL CROSSMATCH  - HISTORICAL RESULT: CROSSMATCH CYTOTOXICITY NO AHG TEST RESULT					NUM		
H_CELL_DONE_XMAT_SOLID_PHASE	RH PHYSICAL CROSSMATCH  - HISTORICAL RESULT: CROSSMATCH CYTOTOXICITY SOLID PHASE TEST RESULT					NUM		
PRA1	PRA (%) MOST RECENT CLASS I			2015-03-31 00:00:00		NUM		
PRA2	PRA (%) MOST RECENT CLASS II			2015-03-31 00:00:00		NUM		
PTECH1	HLA - TECHNIQUE MOST RECENT CLASS I			2015-03-31 00:00:00		CHAR(49)		
PTECH2	HLA - TECHNIQUE MOST RECENT CLASS II			2015-03-31 00:00:00		CHAR(49)		
SERUM_DT_ORIGINAL	RH B. DATE OF CROSSMATCH SERUM - LEAST RECENT (FOR REFERENCE PURPOSES)			2015-03-31 00:00:00		NUM		
SERUM_DT_RECENT	RH DATE OF CROSSMATCH SERUM					NUM		
T_CELL_DONE	RH PHYSICAL CROSSMATCH DONE//WHICH T-CELL CROSSMATCH TESTS WERE PERFORMED?					NUM		
T_CELL_DONE_XMAT_AHG	RH PHYSICAL CROSSMATCH  - T-CELL CROSSMATCH CYTOTOXICITY AHG TEST RESULT					NUM		
T_CELL_DONE_XMAT_FLOW_CYTOMETRY	RH PHYSICAL CROSSMATCH  - T-CELL CROSSMATCH CYTOTOXICITY FLOW CYTOMETRY TEST RESULT					NUM		
T_CELL_DONE_XMAT_NO_AHG	RH PHYSICAL CROSSMATCH  - T-CELL CROSSMATCH CYTOTOXICITY NO AHG TEST RESULT					NUM		
T_CELL_DONE_XMAT_SOLID_PHASE	RH PHYSICAL CROSSMATCH  - T-CELL CROSSMATCH CYTOTOXICITY SOLID PHASE TEST RESULT					NUM		
TRR_ID_CODE	ENCRYPTED TRR_ID					CHAR(15)		
