"STAR Table Name: DECEASED_DONOR_DATA
Variable Names in red font denote that field has important information in the Comment field

The data files created based on data as of 4/5/2024 will include data for registrations added and/or transplants occurring through 03/31/2024"	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8
BMI_DON_CALC	DONOR BMI	DDR	1994-04-01 00:00:00			NUM		
BRAIN_DEATH_DATE	DATE OF PRONOUNCEMENT OF DEATH	DDR	2007-02-07 00:00:00			NUM		
BRAIN_DEATH_TIME	TIME OF PRONOUNCEMENT OF DEATH	DDR	2007-02-07 00:00:00			NUM		
BRONCHO_LT_DON	DDR LEFT LUNG BRONCHOSCOPY	DDR	1999-10-25 00:00:00			NUM		
BRONCHO_RT_DON	DDR RIGHT LUNG BRONCHOSCOPY	DDR	1999-10-25 00:00:00			NUM		
BUN_DON	TERMINAL BLOOD UREA NITROGEN	DDR	1994-04-01 00:00:00			NUM		
CANCER_FREE_INT_DON	CANCER FREE INTERVAL (YEARS)	DDR	1994-04-01 00:00:00			NUM		
CARD_IDX_INIT_DON	DDR:Cardiac Index (initial) //Cardiac Index: (L/min/sq.m)	DDR	2004-06-30 00:00:00			NUM		
CARD_IDX_POST_DON	DDR:Cardiac Index (final) //Cardiac Index:	DDR	2004-06-30 00:00:00			NUM		
CARDARREST_DOWNTM	Cardiac Arrest Downtime? (Y=Yes; N=No; U=Unknown) 	DonorNet				CHAR(1)		
CARDARREST_DOWNTM_DURATION	Cardiac Arrest Downtime Duration (in Minutes)	DonorNet				NUM		
CARDARREST_POSTNEURO_DON	Cardiac arrest since neurological event that led to declaration of brain death:	DDR	1999-10-25 00:00:00			CHAR(1)		
CARDIAC_OUTPUT_CATH_INIT_DON	DDR INITIAL CARDIAC OUTPUT (L/MIN)	DDR	2004-06-30 00:00:00			NUM		
CARDIAC_OUTPUT_CATH_OLD_DON	ARCHIVED DDR CARDIAC OUTPUT	DDR	1999-10-25 00:00:00	2004-06-30 00:00:00		NUM		
CARDIAC_OUTPUT_CATH_POST_DON	DDR FINAL CARDIAC OUTPUT (L/MIN)	DDR	2004-06-30 00:00:00			NUM		
CDC_RISK_HIV_DON	DDR: Per PHS, Does the Donor Have Risk Factors for Blood-Borne Disease Transmission?	DDR	2004-06-30 00:00:00			CHAR(1)		DECEASED DONORS: CITIZDDR, LIVING DONORS: CITIZEN
CHAGAS_HISTORY	CHAGAS HISTORY	DDR	2015-03-31 00:00:00			CHAR(1)		
CHAGAS_NAT	CHAGAS NAT RESULTS	DDR	2015-03-31 00:00:00			CHAR(2)	SERSTAT	
CHAGAS_SEROLOGY	CHAGAS SEROLOGY RESULTS	DDR	2015-03-31 00:00:00			CHAR(2)	SERSTAT	
CHEST_CIRC_LANDMARK	Chest circ./landmark (cm)	DonorNet				NUM		
CHEST_TRAUMA	Chest Trauma? (Y=Yes; N=No; U=Unknown)	DonorNet				CHAR(1)		
CHEST_XRAY_DON	DDR CHEST XRAY	DDR	2004-06-30 00:00:00			NUM	LUNGXRAY	
CITIZEN_COUNTRY_DON	DONOR COUNTRY OF CITIZENSHIP	DDR	1999-10-25 00:00:00			CHAR(3)	CTRY	
CITIZENSHIP_DON	CITIZENSHIP	DDR	1987-10-01 00:00:00			NUM	CITIZDDR	
CLAMP_DATE	DDR CLAMP DATE	DDR	1987-10-01 00:00:00			NUM		
CLAMP_TIME	DDR CLAMP TIME	DDR	1987-10-01 00:00:00			NUM		
CLAMP_TIME_ZONE	DDR CLAMP TIME ZONE	DDR	1989-02-02 00:00:00			NUM	TIMEZONE	
CLIN_INFECT_DON	ANY CLINICAL INFECTION?	DDR	1994-04-01 00:00:00			CHAR(1)		
CMV_DON	CMV STATUS	DDR	1987-10-01 00:00:00			CHAR(2)	SERSTAT	
COCAINEDURATIONOFUSEUNITID	TYPE OF DRUG// COCAINE: // HOW LONG WAS IT USED // UNIT:	DDR	2023-09-14 00:00:00			NUM	DUR_USE                         	
COCAINEDURATIONOFUSEVALUE	TYPE OF DRUG //COCAINE://HOW LONG WAS IT USED:	DDR	2023-09-14 00:00:00			NUM	DRUG_USE                        	
COCAINELASTUSEDDATE	TYPE OF DRUG //COCAINE://LAST USED ON:	DDR	2023-09-14 00:00:00			CHAR(33)		
COCAINEUSEROUTEID	TYPE OF DRUG //COCAINE://DRUG USE ROUTE:	DDR	2023-09-14 00:00:00			NUM		
COD_CAD_DON	CAUSE OF DEATH	DDR	1987-10-01 00:00:00			NUM	DON_COD	
CONSENT_ADVANCED_DIR	CONSENT WRITTEN DOCUMENTATION: ADVANCED DIRECTIVE	DDR	2015-03-31 00:00:00			NUM		
CONSENT_ATTORNEY	Durable Power of Attorney / Healthcare Proxy	DDR	1999-10-25 00:00:00			NUM		
CONSENT_DATE_DON	DDR Date authorization obtained for first organ	DDR				NUM		
CONSENT_DON_CARD	CONSENT WRITTEN DOCUMENTAION: DONOR CARD	DDR	1999-10-25 00:00:00			NUM		
CONSENT_DON_REGIS	CONSENT WRITTEN DOCUMENTATION: DONOR REGISTRY	DDR	1999-10-25 00:00:00			NUM		
CONSENT_DRIVE_LIC	CONSENT WRITTEN DOCUMENTATION: DRIVER LICENSE	DDR	1999-10-25 00:00:00			NUM		
CONSENT_PX_WRIT_DOC	Was the consent based solely on the written documentation?	DDR	2004-06-30 00:00:00			CHAR(1)		
CONSENT_TIME_DON	DDR Time authorization obtained for first organ	DDR				NUM		
CONSENT_WRIT_DOC_INTENT_DON	DDR: Did the patient have written documentation of their intent to be a donor:	DDR	2004-06-30 00:00:00			CHAR(1)		
CONTIN_CIG_DON	DECEASED DONOR-HISTORY OF CIGARETTES IN PAST@ >20PACK YRS+RECENT 6MO USE	DDR	1994-04-01 00:00:00			CHAR(1)		
CONTIN_COCAINE_DON	Cocaine Use //AND continued in last six months	DDR	1999-10-25 00:00:00			CHAR(1)		
CONTIN_OTH_DRUG_DON	OTHER DRUG USE AND CONTINUED IN LAST SIX MONTHS	DDR	1994-04-01 00:00:00			CHAR(1)		
CONTROLLED_DON	IF DCD DONOR, CONTROLLED?	DDR	1994-04-01 00:00:00			CHAR(1)		
CORE_COOL_DON	IF DCD DONOR, CORE COOLING USED?	DDR	1994-04-01 00:00:00			CHAR(1)		
CORONARY_ANGIO_DON	Coronary Angiogram	DDR	1999-10-25 00:00:00			CHAR(1)		
COVID19_ANTIBODY_HEMODSPEC	DDR COVID19 Antibody Test - Whether a blood specimen type was hemodiluted	DDR	2020-04-21 00:00:00			CHAR(10)		
COVID19_ANTIBODY_SPECDT	DDR COVID19 Antibody Test - Date and time the specimen was taken	DDR	2020-04-21 00:00:00			NUM		
COVID19_ANTIBODY_SPECTY	DDR COVID19 Antibody Test - Specimen type	DDR	2020-04-21 00:00:00			CHAR(50)		
COVID19_ANTIBODY_TESTRESULT	DDR COVID19 Antibody Test - Result	DDR	2020-04-21 00:00:00			CHAR(20)		
COVID19_ANTIGEN_HEMODSPEC	DDR COVID19 Antigen Test - Whether a blood specimen type was hemodiluted	DDR	2020-04-21 00:00:00			CHAR(10)		
COVID19_ANTIGEN_SPECDT	DDR COVID19 Antigen Test - Date and time the specimen was taken	DDR	2020-04-21 00:00:00			NUM		
COVID19_ANTIGEN_SPECTY	DDR COVID19 Antigen Test - Specimen type	DDR	2020-04-21 00:00:00			CHAR(50)		
COVID19_ANTIGEN_TESTRESULT	DDR COVID19 Antigen Test - Result	DDR	2020-04-21 00:00:00			CHAR(20)		
COVID19_NAT_HEMODSPEC	DDR COVID19 NAT Test - Whether a blood specimen type was hemodiluted	DDR	2020-04-21 00:00:00			CHAR(10)		
COVID19_NAT_SPECDT	DDR COVID19 NAT Test - Date and time the specimen was taken	DDR	2020-04-21 00:00:00			NUM		
COVID19_NAT_SPECTY	DDR COVID19 NAT Test - Specimen type	DDR	2020-04-21 00:00:00			CHAR(50)		
COVID19_NAT_TESTRESULT	DDR COVID19 NAT Test - Result	DDR	2020-04-21 00:00:00			CHAR(20)		
COVID19_OTHER_HEMODSPEC	DDR COVID19 Other Test - Whether a blood specimen type was hemodiluted	DDR	2020-04-21 00:00:00			CHAR(10)		
COVID19_OTHER_SPECDT	DDR COVID19 Other Test - Date and time the specimen was taken	DDR	2020-04-21 00:00:00			NUM		
COVID19_OTHER_SPECTY	DDR COVID19 Other Test - Specimen type	DDR	2020-04-21 00:00:00			CHAR(50)		
COVID19_OTHER_TESTRESULT	DDR COVID19 Other Test - Result	DDR	2020-04-21 00:00:00			CHAR(20)		
COVID19_POSITIVE_DONOR	Donors ever Having a Positive Upper or Lower Respiratory SARS-CoV-2 NAT or Antigen Test within 21 days of Recovery	Calculated	2022-03-14 00:00:00			CHAR(1)		
CPR_ADMIN	CPR Administered? (Y=Yes; N=No; U=Unknown)	DonorNet				CHAR(1)		
CPR_ADMIN_DURATION	CPR Administration Duration (in Minutes)	DonorNet				NUM		
CREAT_DON	TERMINAL LAB CREATININE	DDR	1994-04-01 00:00:00			NUM		
CVP_CATH_INIT_DON	DDR CVP CATHETER INIT (MM/HG)	DDR	2004-06-30 00:00:00			NUM		
CVP_CATH_OLD_DON	ARCHIVED DDR CVP CATHETER	DDR	1999-10-25 00:00:00	2004-06-30 00:00:00		NUM		
CVP_CATH_POST_DON	DDR CVP CATHETER POST (MM/HG)	DDR	2004-06-30 00:00:00			NUM		
DA1	A1 ANTIGEN	DDR	1987-10-01 00:00:00			NUM	ALOCUS	
DA2	A2 ANTIGEN	DDR	1987-10-01 00:00:00			NUM	ALOCUS	
DB1	B1 ANTIGEN	DDR	1987-10-01 00:00:00			NUM	BLOCUS	
DB2	B2 ANTIGEN	DDR	1987-10-01 00:00:00			NUM	BLOCUS	
DBW4	Donor BW4 ANTIGEN	DDR	1987-10-01 00:00:00			NUM	WKGRPHLA	
DBW6	Donor BW6 ANTIGEN	DDR	1987-10-01 00:00:00			NUM	WKGRPHLA	
DC1	Donor C1 ANTIGEN	DDR	1987-10-01 00:00:00			NUM	CWHLA	
DC2	Donor C2 ANTIGEN	DDR	1987-10-01 00:00:00			NUM	CWHLA	
DCD_PROGRESSED_BRAIN_DEATH	IF NO, WAS THIS AN AUTHORIZED DCD DONOR THAT PROGRESSED TO BRAIN DEATH	DDR	2008-03-01 00:00:00			CHAR(1)		
DDAVP	DDAVP? (Y=Yes; N=No)	DonorNet				CHAR(1)		
DDAVP_DON	WAS DONOR GIVEN DDAVP WITHIN 24 HRS PRE CROSS CLAMP?	DDR	1999-10-25 00:00:00			CHAR(1)		
DDP1	Donor DPB1 ANTIGEN	DDR	1987-10-01 00:00:00			NUM	DPHLA	
DDP2	Donor DPB2 ANTIGEN	DDR	1987-10-01 00:00:00			NUM	DPHLA	
DDPA1	Donor DPA1 ANTIGEN	DDR	1987-10-01 00:00:00			NUM	DPAHLA	
DDPA2	Donor DPA2 ANTIGEN	DDR	1987-10-01 00:00:00			NUM	DPAHLA	
DDQ1	Donor DQB1 ANTIGEN	DDR	1987-10-01 00:00:00			NUM	DQHLA	
DDQ2	Donor DQB2 ANTIGEN	DDR	1987-10-01 00:00:00			NUM	DQHLA	
DDQA1	Donor DQA1 ANTIGEN	DDR	1987-10-01 00:00:00			NUM	DQAHLA	
DDQA2	Donor DQA2 ANTIGEN	DDR	1987-10-01 00:00:00			NUM	DQAHLA	
DDR1	DR1 ANTIGEN	DDR	1987-10-01 00:00:00			NUM	DRLOCUS	
DDR2	DR2 ANTIGEN	DDR	1987-10-01 00:00:00			NUM	DRLOCUS	
DDR51	Donor DR51 ANTIGEN	DDR	1987-10-01 00:00:00			NUM	WKGRPHLA	
DDR51_2	Donor DR51_2 ANTIGEN	DDR	1987-10-01 00:00:00			NUM	WKGRPHLA	
DDR52	Donor DR52 ANTIGEN	DDR	1987-10-01 00:00:00			NUM	WKGRPHLA	
DDR52_2	Donor DR52_2 ANTIGEN	DDR	1987-10-01 00:00:00			NUM	WKGRPHLA	
DDR53	Donor DR53 ANTIGEN	DDR	1987-10-01 00:00:00			NUM	WKGRPHLA	
DDR53_2	Donor DR53_2 ANTIGEN	DDR	1987-10-01 00:00:00			NUM	WKGRPHLA	
DEATH_CIRCUM_DON	CIRCUMSTANCE OF DEATH	DDR	1994-04-01 00:00:00			NUM	DTHCIRC	
DEATH_MECH_DON	MECHANISM OF DEATH	DDR	1994-04-01 00:00:00			NUM	DTHMECH	
DIAST_PA_CATH_INIT_DON	DDR PA CATHETER INIT	DDR	2004-06-30 00:00:00			NUM		
DIAST_PA_CATH_POST_DON	DDR PA CATHETER FINAL	DDR	2004-06-30 00:00:00			NUM		
DIASTOLIC_PA_CATH_OLD_DON	ARCHIVED DDR PA CATHETER DIASTOLIC	DDR	1999-10-25 00:00:00	2004-06-30 00:00:00		NUM		
DIET_DON	HISTORY OF HYPERTENSION METHOD OF CONTROL: DIET	DDR	1994-04-01 00:00:00			CHAR(1)		
DIST_RCPA_LCPA	Distance from RCPA to LCPA (cm)	DonorNet				NUM		
DIURETICS	Diuretics? (Y=Yes; N=No)	DonorNet				CHAR(1)		
DIURETICS_DON	HISTORY OF HYPERTENSION METHOD OF CONTROL: DIURETICS	DDR	1994-04-01 00:00:00			CHAR(1)		
DON_DATE	Date Organ Recovered - Calculated Value	DDR	1987-10-01 00:00:00			NUM		
DONOR_ID	ENCRYPTED DONOR ID	Calculated	1987-10-01 00:00:00			NUM		
DST_OBSERVED	Is Daylight Savings Time Observed? (Y=Yes; N=No)	DonorNet				CHAR(1)		
EBNA_DON	EBNA STATUS	DDR	2006-05-10 00:00:00			CHAR(2)	SERSTAT	
EBV_IGG_CAD_DON	EBV (VCA) (IgG) STATUS	DDR	2006-04-29 00:00:00			CHAR(2)	SERSTAT	
EBV_IGM_CAD_DON	EBV (VCA) (IgM) STATUS	DDR	2006-04-29 00:00:00			CHAR(2)	SERSTAT	
ECD_DONOR	EXPANDED DONOR PER KIDNEY ALLOCATION DEFINITION 1=YES	DDR	1994-04-01 00:00:00			NUM		
EM_DISCARD_CD	DDR VCA - External Male Genitalia Reason for Discard	DDR	2023-09-14 00:00:00			NUM	DISCARD	
EM_DISPOSITION	DDR VCA - External Male Genitalia Disposition	DDR	2023-09-14 00:00:00			NUM	DONDISP	
EM_REASON_CD	DDR VCA - External Male Genitalia Reason Code	DDR	2023-09-14 00:00:00			NUM	DDREASCD	
ETHCAT_DON	DONOR RACE	DDR	1987-10-01 00:00:00			NUM	ETHCAT	
ETHNICITY_DON	DONOR ETHNICITY-HISPANIC/NON-HISPANIC	DDR	1987-10-01 00:00:00			NUM	ETHN	
EXAMINERACCEPTEDCASE	IF YES, DID THE MEDICAL EXAMINER/CORONER ACCEPT THE CASE:	DDR	2023-09-14 00:00:00			CHAR(1)		
EXAMINERHADRESTRICTIONS	IF YES, WERE THERE ANY RESTRICTIONS:	DDR	2023-09-14 00:00:00			CHAR(1)		
EXTRACORPOREAL_SUPPORT	Any Extracorporeal Support Given (ECMO, etc.):	DonorNet	2015-03-31 00:00:00			CHAR(1)		
EXTRACORPOREAL_SUPPORT_MIN	Extracorporeal Support Duration	DonorNet	2015-03-31 00:00:00			NUM		
EXTRACRANIAL_CANCER_DON	EXTRACRANIAL CANCER AT PROCUREMENT	DDR	1994-04-01 00:00:00			CHAR(1)		
FLOW_RATE	Extracorporeal Support Flow Rate	DonorNet	2015-03-31 00:00:00			NUM		
GENDER_DON	DONOR GENDER	DDR	1987-10-01 00:00:00			CHAR(1)	SEX	
GL_DISCARD_CD	DDR VCA - Vascularized Gland Reason for Discard	DDR	2023-09-14 00:00:00			NUM	DISCARD	
GL_DISPOSITION	DDR VCA - Vascularized Gland Disposition	DDR	2023-09-14 00:00:00			NUM	DONDISP	
GL_REASON_CD	DDR VCA - Vascularized Gland Reason Code	DDR	2023-09-14 00:00:00			NUM	DDREASCD	
HBA1C	TERMINAL LAB - HbA1c  (PA DONORS ONLY)	DDR	2015-03-31 00:00:00			NUM		
HBSAB_DON	HBsAb STATUS	DDR	2006-04-29 00:00:00			CHAR(2)	SERSTAT	
HBV_CORE_DON	HBV CORE ANTOBODY STATUS	DDR	1994-04-01 00:00:00			CHAR(2)	SERSTAT	
HBV_DNA	HBV NAT RESULTS	DDR	2015-03-31 00:00:00			CHAR(2)	SERSTAT	collected before 6/30/2004 only for heart donors
HBV_SUR_ANTIGEN_DON	HBV SURFACE ANTIGEN STATUS	DDR	1987-10-01 00:00:00			CHAR(2)	SERSTAT	
HCV_NAT	HCV NAT RESULTS	DDR	2015-03-31 00:00:00			CHAR(2)	SERSTAT	
HEART_PERFUSION	HEART MACHINE PERFUSION	DDR	2015-03-31 00:00:00			CHAR(1)		
HEARTRESTRICTED	HEART	DDR	2023-09-14 00:00:00			NUM		
HEMATOCRIT_DON	DDR:Hematocrit:	DDR	2004-06-30 00:00:00			NUM		
HEP_C_ANTI_DON	HEPATITIS C STATUS	DDR	1994-04-01 00:00:00			CHAR(2)	SERSTAT	
HEPARIN	Heparin? (Y=Yes; N=No)	DonorNet				CHAR(1)		
HEPARIN_BEGIN_DT	Heparin Begin Date	DonorNet				NUM		
HEPARIN_DON	PRE-RECOVERY HEPARIN	DDR	1994-04-01 00:00:00			CHAR(1)		
HEPARIN_DOSAGE	Heparin Dosage	DonorNet				NUM		
HEPARIN_END_DT	Heparin End Date	DonorNet				NUM		
HEROINDURATIONOFUSEUNITID	TYPE OF DRUG// HEROIN: // HOW LONG WAS IT USED: // UNIT:	DDR	2023-09-14 00:00:00			NUM	DUR_USE                         	
HEROINDURATIONOFUSEVALUE	TYPE OF DRUG //HEROIN://HOW LONG WAS IT USED:	DDR	2023-09-14 00:00:00			NUM	DRUG_USE                        	
HEROINLASTUSEDDATE	TYPE OF DRUG //HEROIN://LAST USED ON:	DDR	2023-09-14 00:00:00			CHAR(33)		
HEROINUSEROUTEID	TYPE OF DRUG //HEROIN://DRUG USE ROUTE:	DDR	2023-09-14 00:00:00			NUM		
HGT_CM_DON_CALC	DONOR HEIGHT (CM)	DDR	1994-04-01 00:00:00			NUM		
HIST_CAD	History of coronary artery disease (CAD)? (Y=Yes; N=No; U=Unknown) 	DonorNet				CHAR(1)		
HIST_CANCER_DON	HISTORY OF CANCER	DDR	1994-04-01 00:00:00			CHAR(1)	HISTCAN	
HIST_CIG_DON	HISTORY OF CIGARETTE USE	DDR	1994-04-01 00:00:00			CHAR(1)		
HIST_COCAINE_DON	HISTORY OF COCAINE USE	DDR	1999-10-25 00:00:00			CHAR(1)		
HIST_DIABETES_DON	HISTORY OF DIABETES	DDR	1994-04-01 00:00:00			NUM	HISTDIAB	
HIST_HYPERTENS_DON	HISTORY OF HYPERTENSION	DDR	1994-04-01 00:00:00			CHAR(1)		
HIST_IV_DRUGUSE	HISTORY OF I.V. DRUG USE	DDR	2006-05-01 00:00:00			CHAR(1)		
HIST_OTH_DRUG_DON	HISTORY OF OTHER DRUG USE	DDR	1994-04-01 00:00:00			CHAR(1)		
HISTORY_MI_DON	HISTORY OF MI	DDR	1999-10-25 00:00:00			CHAR(1)		
HISTORYDRUGUSEAMPHETAMINES	TYPE OF DRUG //AMPHETAMINES:	DDR	2023-09-14 00:00:00			NUM		
HISTORYDRUGUSECOCAINE	TYPE OF DRUG //COCAINE:	DDR	2023-09-14 00:00:00			NUM		
HISTORYDRUGUSEHEROIN	TYPE OF DRUG //HEROIN:	DDR	2023-09-14 00:00:00			NUM		
HISTORYDRUGUSEMARIJUANA	TYPE OF DRUG //MARIJUANA:	DDR	2023-09-14 00:00:00			NUM		
HISTORYDRUGUSEOPIOIDS	TYPE OF DRUG //OPIOIDS:	DDR	2023-09-14 00:00:00			NUM		
HISTORYDRUGUSESTEROIDS	TYPE OF DRUG //STEROIDS:	DDR	2023-09-14 00:00:00			NUM		
HISTORYOFDRUGUSE	EVER USE OR TAKE DRUGS, SUCH AS STEROIDS, COCAINE, HEROIN, AMPHETAMINES, OPIOIDS, OR MARIJUANA:	DDR	2023-09-14 00:00:00			CHAR(1)		
HIV_ANTIGEN	DDR HIV Ag/Ab Combo Assay	DDR				CHAR(2)	SERSTAT	
HIV_DON	DDR HIV Serology Results	DDR				CHAR(2)	SERSTAT	
HIV_NAT_DON	DDR HIV NAT Results:	DDR	2015-03-31 00:00:00			CHAR(2)	SERSTAT	
HN_DISCARD_CD	DDR VCA - Head and Neck Reason for Discard	DDR	2023-09-14 00:00:00			NUM	DISCARD	
HN_DISPOSITION	DDR VCA - Head and Neck Disposition	DDR	2023-09-14 00:00:00			NUM	DONDISP	
HN_REASON_CD	DDR VCA - Head and Neck Reason Code	DDR	2023-09-14 00:00:00			NUM	DDREASCD	
HOME_STATE_DON	HOME STATE	DDR	1987-10-01 00:00:00			CHAR(2)	STATE	
HR_BACK_TBL_FLUSH	HEART BACK TABLE FLUSH SOLUTION	DDR	1987-10-01 00:00:00			NUM	FLUSHSOL	
HR_DISCARD_CD	HEART REASON FOR DISCARD	DDR	1994-04-01 00:00:00			NUM	DISCARD	
HR_DISPOSITION	HEART DISPOSITION	DDR	1987-10-01 00:00:00			NUM	DONDISP	
HR_FINAL_FLUSH	HEART FINAL FLUSH SOLUTION	DDR	1987-10-01 00:00:00			NUM	FLUSHSOL	
HR_INITIAL_FLUSH	HEART INITIAL FLUSH SOLUTION	DDR	1987-10-01 00:00:00			NUM	FLUSHSOL	
HR_REASON_CD	HEART DISPOSITION REASON 	DDR	1987-10-01 00:00:00			NUM	DDREASCD	
HTLV_DON	ANTIBODY TO HTLV RESULT	DDR	2004-06-30 00:00:00			CHAR(2)	SERSTAT	
HTLV_NAT	HTLV NAT RESULT	DDR	2015-03-31 00:00:00			CHAR(2)	SERSTAT	
HTLV1_OLD_DON	ANTIBODY TO HTLV1 RESULT	DDR	1994-04-01 00:00:00	2004-06-30 00:00:00		CHAR(2)	SERSTAT	
HTLV2_OLD_DON	ANTIBODY TO HTLV2 RESULT	DDR	1994-04-01 00:00:00	2004-06-30 00:00:00		CHAR(2)	SERSTAT	
HYPERTENS_COMPL_TREATMENT	Hypertension - Compliant with Treatment?  (Y=Yes; N=No; U=Unknown) 	DonorNet				CHAR(1)		
HYPERTENS_DUR_DON	DECEASED DONOR-HYPERTENSION DURATION	DDR	1994-04-01 00:00:00			NUM	HISTHYPE	
IN_BACK_TBL_FLUSH	INTESTINE BACK TABLE FLUSH SOLUTION	DDR	1987-10-01 00:00:00			NUM	FLUSHSOL	
IN_DISCARD_CD	INTESTINE REASON FOR DISCARD	DDR	1994-04-01 00:00:00			NUM	DISCARD	
IN_DISPOSITION	INTESTINE DISPOSITION	DDR	1987-10-01 00:00:00			NUM	DONDISP	
IN_FINAL_FLUSH	INTESTINE FINAL FLUSH SOLUTION	DDR	1987-10-01 00:00:00			NUM	FLUSHSOL	
IN_INITIAL_FLUSH	INTESTINE INITIAL FLUSH SOLUTION	DDR	1987-10-01 00:00:00			NUM	FLUSHSOL	
IN_REASON_CD	INTESTINE DISPOSITION REASON 	DDR	1987-10-01 00:00:00			NUM	DDREASCD	
INOTROP_AGENTS_DON	3+ INOTROPIC AGENTS AT TIME OF INCISION	DDR	1999-10-25 00:00:00	2015-03-31 00:00:00		CHAR(1)		
INOTROP_SUPPORT_DON	INOTROPIC AGENT SUPPORT USED FOR HEART	DDR	2003-01-27 00:00:00			CHAR(1)		
