"STAR Table Name: VCA_FOLLOWUP_DATA
Variable Names in red font denote that field has important information in the Comment field

The data files created based on data as of 4/5/2024 will include data for registrations added and/or transplants occurring through 03/31/2024"	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8
COGNITIVE_DEV	Cognitive Development (for recipients younger than 18 years of age at transplant and younger than 26 years of age at followup)	TRF	2015-09-01 00:00:00		FUNCTIONAL STATUS	NUM	COGNITIVE_DEV	
COMPLIC_INFECTIOUS	Infectious Complications	TRF	2015-09-01 00:00:00		CLINICAL INFORMATION	CHAR(1)	YN	
COMPLIC_METABOLIC	Metabolic Complications	TRF	2015-09-01 00:00:00		CLINICAL INFORMATION	CHAR(1)	YN	
COMPLIC_NEW_ONSET_DIAB	New onset diabetes	TRF	2015-09-01 00:00:00		CLINICAL INFORMATION	CHAR(1)	YN	
COMPLIC_OTH	Other Complications	TRF	2015-09-01 00:00:00		CLINICAL INFORMATION	NUM	YN	
CORNEAL_PROTECTION	Corneal protection (able to open/close)	TRF	2015-09-01 00:00:00		FUNCTIONAL STATUS	CHAR(1)	YN	
DASH_SCORE	DASH Score (0-100 Scale)	TRF	2015-09-01 00:00:00		FUNCTIONAL STATUS	NUM		
DECANNULATION	Decannulation (if the patient had a tracheostomy)	TRF	2015-09-01 00:00:00		FUNCTIONAL STATUS	NUM	VCA_YNNA	null, 1,2,3 ? Freq
DIC	DIC (Disseminated intravascular coagulation)	TRF	2015-09-01 00:00:00		Clinical Information: Post Transplant - Major Transplant Complication	CHAR(1)	YNU	
DRUG10_ANTIREJ	Cytoxan(cyclophosphamide) Anti-Rejection	TRF	2015-09-01 00:00:00		Immunosuppressive Medication	NUM	YN	
DRUG11_ANTIREJ	Methotrexate(FolexPFS,MexateAQ,Rheumatrex) Anti-Rejection	TRF	2015-09-01 00:00:00		Immunosuppressive Medication	NUM	YN	
DRUG14_ANTIREJ	Atgam Anti-Rejection	TRF	2015-09-01 00:00:00		Immunosuppressive Medication	NUM	YN	
DRUG14_DAYS	Atgam/Days	TRF	2015-09-01 00:00:00		Non-Topical	NUM		
DRUG14_DAYS_ST	Atgam/ST	TRF	2015-09-01 00:00:00		Non-Topical	CHAR(2)	FIELDST	
DRUG14_IND	Atgam/Ind.	TRF	2015-09-01 00:00:00		Non-Topical	NUM	YN	
DRUG16_ANTIREJ	OKT3(Orthoclone,muromonab) Anti-Rejection	TRF	2015-09-01 00:00:00		Immunosuppressive Medication	NUM	YN	
DRUG16_DAYS	OKT3(Orthoclone,muromonab)/Days	TRF	2015-09-01 00:00:00		Non-Topical	NUM		
DRUG16_DAYS_ST	OKT3(Orthoclone,muromonab)/ST	TRF	2015-09-01 00:00:00		Non-Topical	CHAR(2)	FIELDST	
DRUG16_IND	OKT3(Orthoclone,muromonab)/Ind.	TRF	2015-09-01 00:00:00		Non-Topical	NUM	YN	
DRUG3_CURR_MAINT	Sandimmune Current Maintenance	TRF	2015-09-01 00:00:00		Immunosuppressive Medication	NUM	YN	
DRUG3_MAINT	Sandimmune/Maint	TRF	2015-09-01 00:00:00		Non-Topical	NUM	YN	
DRUG3_PREV_MAINT	Sandimmune Previous Maintenance	TRF	2015-09-01 00:00:00		Immunosuppressive Medication	NUM	YN	
DRUG4_CURR_MAINT	Neoral Current Maintenance	TRF	2015-09-01 00:00:00		Immunosuppressive Medication	NUM	YN	
DRUG4_MAINT	Neoral/Maint	TRF	2015-09-01 00:00:00		Non-Topical	NUM	YN	
DRUG4_PREV_MAINT	Neoral Previous Maintenance	TRF	2015-09-01 00:00:00		Immunosuppressive Medication	NUM	YN	
DRUG41_ANTIREJ	Thymoglobulin Anti-Rejection	TRF	2015-09-01 00:00:00		Immunosuppressive Medication	NUM	YN	
DRUG41_DAYS	Thymoglobulin/Days	TRF	2015-09-01 00:00:00		Non-Topical	NUM		
DRUG41_DAYS_ST	Thymoglobulin/ST	TRF	2015-09-01 00:00:00		Non-Topical	CHAR(2)	FIELDST	
DRUG41_IND	Thymoglobulin/Ind.	TRF	2015-09-01 00:00:00		Non-Topical	NUM	YN	
DRUG43_ANTIREJ	Simulect(basiliximab) Anti-Rejection	TRF	2015-09-01 00:00:00		Immunosuppressive Medication	NUM	YN	
DRUG43_DAYS	Simulect(basiliximab)/Days	TRF	2015-09-01 00:00:00		Non-Topical	NUM		
DRUG43_DAYS_ST	Simulect(basiliximab)/ST	TRF	2015-09-01 00:00:00		Non-Topical	CHAR(2)	FIELDST	
DRUG43_IND	Simulect(basiliximab)/Ind.	TRF	2015-09-01 00:00:00		Non-Topical	NUM	YN	
DRUG44_CURR_MAINT	Gengraf Current Maintenance	TRF	2015-09-01 00:00:00		Immunosuppressive Medication	NUM	YN	
DRUG44_MAINT	Gengraf/Maint	TRF	2015-09-01 00:00:00		Non-Topical	NUM	YN	
DRUG44_PREV_MAINT	Gengraf Previous Maintenance	TRF	2015-09-01 00:00:00		Immunosuppressive Medication	NUM	YN	
DRUG45_CURR_MAINT	Zortress(everolimus) Current Maintenance	TRF	2015-09-01 00:00:00		Immunosuppressive Medication	NUM	YN	
DRUG45_DAYS	Zortress(everolimus)/Days	TRF	2015-09-01 00:00:00		Non-Topical	NUM		
DRUG45_DAYS_ST	Zortress(everolimus)/ST	TRF	2015-09-01 00:00:00		Non-Topical	CHAR(2)	FIELDST	
DRUG45_IND	Zortress(everolimus)/Ind.	TRF	2015-09-01 00:00:00		Non-Topical	NUM	YN	
DRUG45_MAINT	Zortress(everolimus)/Maint	TRF	2015-09-01 00:00:00		Non-Topical	NUM	YN	
DRUG45_PREV_MAINT	Zortress(everolimus) Previous Maintenance	TRF	2015-09-01 00:00:00		Immunosuppressive Medication	NUM	YN	
DRUG46_CURR_MAINT	EON(generic cyclosporine) Current Maintenance	TRF	2015-09-01 00:00:00		Immunosuppressive Medication	NUM	YN	
DRUG46_MAINT	EON(genericcyclosporine)/Maint	TRF	2015-09-01 00:00:00		Non-Topical	NUM	YN	
DRUG46_PREV_MAINT	EON(generic cyclosporine) Previous Maintenance	TRF	2015-09-01 00:00:00		Immunosuppressive Medication	NUM	YN	
DRUG47_CURR_MAINT	Myfortic(mycophenolicacid) Current Maintenance	TRF	2015-09-01 00:00:00		Immunosuppressive Medication	NUM	YN	
DRUG47_MAINT	Myfortic(mycophenolicacid)/Maint	TRF	2015-09-01 00:00:00		Non-Topical	NUM	YN	
DRUG47_PREV_MAINT	Myfortic(mycophenolicacid) Previous Maintenance	TRF	2015-09-01 00:00:00		Immunosuppressive Medication	NUM	YN	
DRUG48_CURR_MAINT	Generic cyclosporine Current Maintenance	TRF	2015-09-01 00:00:00		Immunosuppressive Medication	NUM	YN	
DRUG48_MAINT	Genericcyclosporine/Maint	TRF	2015-09-01 00:00:00		Non-Topical	NUM	YN	
DRUG48_PREV_MAINT	Generic cyclosporine Previous Maintenance	TRF	2015-09-01 00:00:00		Immunosuppressive Medication	NUM	YN	
DRUG49_ANTIREJ	Steroids(prednisone,methylprednisolone,Solumedrol,Medrol) Anti-Rejection	TRF	2015-09-01 00:00:00		Immunosuppressive Medication	NUM	YN	
DRUG49_CURR_MAINT	Steroids(prednisone,methylprednisolone,Solumedrol,Medrol) Current Maintenance	TRF	2015-09-01 00:00:00		Immunosuppressive Medication	NUM	YN	
DRUG49_DAYS	Steroids(prednisone,methylprednisolone,Solumedrol,Medrol)/Days	TRF	2015-09-01 00:00:00		Non-Topical	NUM		
DRUG49_DAYS_ST	Steroids(prednisone,methylprednisolone,Solumedrol,Medrol)/ST	TRF	2015-09-01 00:00:00		Non-Topical	CHAR(2)	FIELDST	
DRUG49_IND	Steroids(prednisone,methylprednisolone,Solumedrol,Medrol)/Ind.	TRF	2015-09-01 00:00:00		Non-Topical	NUM	YN	
DRUG49_MAINT	Steroids(prednisone,methylprednisolone,Solumedrol,Medrol)/Maint	TRF	2015-09-01 00:00:00		Non-Topical	NUM	YN	
DRUG49_PREV_MAINT	Steroids(prednisone,methylprednisolone,Solumedrol,Medrol) Previous Maintenance	TRF	2015-09-01 00:00:00		Immunosuppressive Medication	NUM	YN	
DRUG5_CURR_MAINT	Prograf(tacrolimus) Current Maintenance	TRF	2015-09-01 00:00:00		Immunosuppressive Medication	NUM	YN	
DRUG5_MAINT	Prograf(tacrolimus)/Maint	TRF	2015-09-01 00:00:00		Non-Topical	NUM	YN	
DRUG5_PREV_MAINT	Prograf(tacrolimus) Previous Maintenance	TRF	2015-09-01 00:00:00		Immunosuppressive Medication	NUM	YN	
DRUG50_ANTIREJ	Campath(alemtuzumab) Anti-Rejection	TRF	2015-09-01 00:00:00		Immunosuppressive Medication	NUM	YN	
DRUG50_DAYS	Campath(alemtuzumab)/Days	TRF	2015-09-01 00:00:00		Non-Topical	NUM		
DRUG50_DAYS_ST	Campath(alemtuzumab)/ST	TRF	2015-09-01 00:00:00		Non-Topical	CHAR(2)	FIELDST	
DRUG50_IND	Campath(alemtuzumab)/Ind.	TRF	2015-09-01 00:00:00		Non-Topical	NUM	YN	
DRUG52_ANTIREJ	Rituxan(rituximab) Anti-Rejection	TRF	2015-09-01 00:00:00		Immunosuppressive Medication	NUM	YN	
DRUG52_DAYS	Rituxan(rituximab)/Days	TRF	2015-09-01 00:00:00		Non-Topical	NUM		
DRUG52_DAYS_ST	Rituxan(rituximab)/ST	TRF	2015-09-01 00:00:00		Non-Topical	CHAR(2)	FIELDST	
DRUG52_IND	Rituxan(rituximab)/Ind.	TRF	2015-09-01 00:00:00		Non-Topical	NUM	YN	
DRUG53_CURR_MAINT	AstagrafXL(extendedreleasetacrolimus) Current Maintenance	TRF	2015-09-01 00:00:00		Immunosuppressive Medication	NUM	YN	
DRUG53_MAINT	AstagrafXL(extendedreleasetacrolimus)/Maint	TRF	2015-09-01 00:00:00		Non-Topical	NUM	YN	
DRUG53_PREV_MAINT	AstagrafXL(extendedreleasetacrolimus) Previous Maintenance	TRF	2015-09-01 00:00:00		Immunosuppressive Medication	NUM	YN	
DRUG54_CURR_MAINT	Generic tacrolimus(generic Prograf) Current Maintenance	TRF	2015-09-01 00:00:00		Immunosuppressive Medication	NUM	YN	
DRUG54_MAINT	Generictacrolimus(genericPrograf)/Maint	TRF	2015-09-01 00:00:00		Non-Topical	NUM	YN	
DRUG54_PREV_MAINT	Generic tacrolimus(generic Prograf) Previous Maintenance	TRF	2015-09-01 00:00:00		Immunosuppressive Medication	NUM	YN	
DRUG55_CURR_MAINT	Generic MMF(generic CellCept) Current Maintenance	TRF	2015-09-01 00:00:00		Immunosuppressive Medication	NUM	YN	
DRUG55_MAINT	GenericMMF(genericCellCept)/Maint	TRF	2015-09-01 00:00:00		Non-Topical	NUM	YN	
DRUG55_PREV_MAINT	Generic MMF(generic CellCept) Previous Maintenance	TRF	2015-09-01 00:00:00		Immunosuppressive Medication	NUM	YN	
DRUG56_CURR_MAINT	Rapamune(sirolimus) Current Maintenance	TRF	2015-09-01 00:00:00		Immunosuppressive Medication	NUM	YN	
DRUG56_MAINT	Nulojix(belatacept)/Maint	TRF	2015-09-01 00:00:00		Non-Topical	NUM	YN	
DRUG56_PREV_MAINT	Rapamune(sirolimus) Previous Maintenance	TRF	2015-09-01 00:00:00		Immunosuppressive Medication	NUM	YN	
DRUG6_CURR_MAINT	Rapamune(sirolimus) Current Maintenance	TRF	2015-09-01 00:00:00		Immunosuppressive Medication	NUM	YN	
DRUG6_DAYS	Rapamune(sirolimus)/Days	TRF	2015-09-01 00:00:00		Non-Topical	NUM		
DRUG6_DAYS_ST	Rapamune(sirolimus)/ST	TRF	2015-09-01 00:00:00		Non-Topical	CHAR(2)	FIELDST	
DRUG6_IND	Rapamune(sirolimus)/Ind.	TRF	2015-09-01 00:00:00		Non-Topical	NUM	YN	
DRUG6_MAINT	Rapamune(sirolimus)/Maint	TRF	2015-09-01 00:00:00		Non-Topical	NUM	YN	
DRUG6_PREV_MAINT	Rapamune(sirolimus) Previous Maintenance	TRF	2015-09-01 00:00:00		Immunosuppressive Medication	NUM	YN	
DRUG7_CURR_MAINT	Leflunomide(LFL) Current Maintenance	TRF	2015-09-01 00:00:00		Immunosuppressive Medication	NUM	YN	
DRUG7_MAINT	Leflunomide(LFL)/Maint	TRF	2015-09-01 00:00:00		Non-Topical	NUM	YN	
DRUG7_PREV_MAINT	Leflunomide(LFL) Previous Maintenance	TRF	2015-09-01 00:00:00		Immunosuppressive Medication	NUM	YN	
DRUG8_CURR_MAINT	Imuran(azathioprine,AZA) Current Maintenance	TRF	2015-09-01 00:00:00		Immunosuppressive Medication	NUM	YN	
DRUG8_MAINT	Imuran(azathioprine,AZA)/Maint	TRF	2015-09-01 00:00:00		Non-Topical	NUM	YN	
DRUG8_PREV_MAINT	Imuran(azathioprine,AZA) Previous Maintenance	TRF	2015-09-01 00:00:00		Immunosuppressive Medication	NUM	YN	
DRUG9_CURR_MAINT	CellCept(MMF) Current Maintenance	TRF	2015-09-01 00:00:00		Immunosuppressive Medication	NUM	YN	
DRUG9_MAINT	CellCept(MMF)/Maint	TRF	2015-09-01 00:00:00		Non-Topical	NUM	YN	
DRUG9_PREV_MAINT	CellCept(MMF) Previous Maintenance	TRF	2015-09-01 00:00:00		Immunosuppressive Medication	NUM	YN	
DRUG97_ANTIREJ	Other immunosuppressive medication, specify1: Anti-Rejection	TRF	2015-09-01 00:00:00		Immunosuppressive Medication	NUM	YN	
DRUG97_CURR_MAINT	Other immunosuppressive medication, specify1: Current Maintenance	TRF	2015-09-01 00:00:00		Immunosuppressive Medication	NUM	YN	
DRUG97_DAYS	Other immunosuppressive medication, specify1:/Days	TRF	2015-09-01 00:00:00		Non-Topical	NUM		
DRUG97_DAYS_ST	Other immunosuppressive medication, specify1:/ST	TRF	2015-09-01 00:00:00		Non-Topical	CHAR(2)	FIELDST	
DRUG97_IND	Other immunosuppressive medication, specify1:/Ind.	TRF	2015-09-01 00:00:00		Non-Topical	NUM	YN	
DRUG97_MAINT	Other immunosuppressive medication, specify1:/Maint	TRF	2015-09-01 00:00:00		Non-Topical	NUM	YN	
DRUG97_PREV_MAINT	Other immunosuppressive medication, specify1: Previous Maintenance	TRF	2015-09-01 00:00:00		Immunosuppressive Medication	NUM	YN	
DRUG98_ANTIREJ	Other immunosuppressive medication, specify2: Anti-Rejection	TRF	2015-09-01 00:00:00		Immunosuppressive Medication	NUM	YN	
DRUG98_CURR_MAINT	Other immunosuppressive medication, specify2: Current Maintenance	TRF	2015-09-01 00:00:00		Immunosuppressive Medication	NUM	YN	
DRUG98_DAYS	Other immunosuppressive medication, specify2:/Days	TRF	2015-09-01 00:00:00		Non-Topical	NUM		
DRUG98_DAYS_ST	Other immunosuppressive medication, specify2:/ST	TRF	2015-09-01 00:00:00		Non-Topical	CHAR(2)	FIELDST	
DRUG98_IND	Other immunosuppressive medication, specify2:/Ind.	TRF	2015-09-01 00:00:00		Non-Topical	NUM	YN	
DRUG98_MAINT	Other immunosuppressive medication, specify2:/Maint	TRF	2015-09-01 00:00:00		Non-Topical	NUM	YN	
DRUG98_PREV_MAINT	Other immunosuppressive medication, specify2: Previous Maintenance	TRF	2015-09-01 00:00:00		Immunosuppressive Medication	NUM	YN	
DRUGT1001_ANTIREJ	Topical Steroid (Clobetasol) Anti-Rejection	TRF	2015-09-01 00:00:00		Immunosuppressive Medication	NUM	YN	
DRUGT1001_CURR_MAINT	Topical Steroid (Clobetasol) Current Maintenance	TRF	2015-09-01 00:00:00		Immunosuppressive Medication	NUM	YN	
DRUGT1001_MAINT	Topical Steroid (Clobetasol)/Maint	TRF	2015-09-01 00:00:00		Topical	NUM	YN	
DRUGT1001_PREV_MAINT	Topical Steroid (Clobetasol) Previous Maintenance	TRF	2015-09-01 00:00:00		Immunosuppressive Medication	NUM	YN	
DRUGT1002_ANTIREJ	Topical Tacrolimus (Protopic) Anti-Rejection	TRF	2015-09-01 00:00:00		Immunosuppressive Medication	NUM	YN	
DRUGT1002_CURR_MAINT	Topical Tacrolimus (Protopic) Current Maintenance	TRF	2015-09-01 00:00:00		Immunosuppressive Medication	NUM	YN	
DRUGT1002_MAINT	Topical Tacrolimus (Protopic)/Maint	TRF	2015-09-01 00:00:00		Topical	NUM	YN	
DRUGT1002_PREV_MAINT	Topical Tacrolimus (Protopic) Previous Maintenance	TRF	2015-09-01 00:00:00		Immunosuppressive Medication	NUM	YN	
DRUGT1098_ANTIREJ	Topical Other Specify1 Anti-Rejection	TRF	2015-09-01 00:00:00		Immunosuppressive Medication	NUM	YN	
DRUGT1098_CURR_MAINT	Topical Other Specify1 Current Maintenance	TRF	2015-09-01 00:00:00		Immunosuppressive Medication	NUM	YN	
DRUGT1098_MAINT	Topical Other Specify1/Maint	TRF	2015-09-01 00:00:00		Topical	NUM	YN	
DRUGT1098_PREV_MAINT	Topical Other Specify1 Previous Maintenance	TRF	2015-09-01 00:00:00		Immunosuppressive Medication	NUM	YN	
DRUGT1099_ANTIREJ	Topical Other Specify2 Anti-Rejection	TRF	2015-09-01 00:00:00		Immunosuppressive Medication	NUM	YN	
DRUGT1099_CURR_MAINT	Topical Other Specify2 Current Maintenance	TRF	2015-09-01 00:00:00		Immunosuppressive Medication	NUM	YN	
DRUGT1099_MAINT	Topical Other Specify2/Maint	TRF	2015-09-01 00:00:00		Topical	NUM	YN	
DRUGT1099_PREV_MAINT	Topical Other Specify2 Previous Maintenance	TRF	2015-09-01 00:00:00		Immunosuppressive Medication	NUM	YN	
FAIL_OTH	If Graft Failed, Other Cause	TRF	2015-09-01 00:00:00		CLINICAL INFORMATION	CHAR(1)	YN	
FAIL_OTH_LEFT	If Graft Failed, Other Cause Left Limb	TRF	2015-09-01 00:00:00		CLINICAL INFORMATION	CHAR(1)	YN	
FAIL_OTH_RIGHT	If Graft Failed, Other Cause Right Limb	TRF	2015-09-01 00:00:00		CLINICAL INFORMATION	CHAR(1)	YN	
FEEDING_TUBE_REMOVED	Feeding Tube Removed (if the patient had feeding tube)	TRF	2015-09-01 00:00:00		FUNCTIONAL STATUS	NUM	VCA_YNNA	
FOL_CARE_PROV	Followup Care Provided By	TRF	2015-09-01 00:00:00		PROVIDER INFORMATION	NUM	FOLCAREP	
FORM_STATUS	Form Status	TRF				CHAR(1)	FRMSTAT	
FORM_VALID_DT	Form Validation Date	TRF				NUM		
FUNC_OCCLUSION_RESTORED	Functional occlusion restored	TRF	2015-09-01 00:00:00		FUNCTIONAL STATUS	CHAR(1)	YN	
GENERAL_HEALTH_SCORE	General Health (GH) Score (0-100 Scale)	TRF	2015-09-01 00:00:00		FUNCTIONAL STATUS	NUM		
GRAFT_SYNDROME	Graft/reperfusion syndrome	TRR	2015-09-01 00:00:00		Clinical Information: Post Transplant - Major Transplant Complication	CHAR(1)	YNU	
GRANT_FUNDING	Grant Funding	TRF	2015-09-01 00:00:00		SOCIODEMOGRAPHIC INFORMATION	CHAR(1)	YN	
GRF_FAIL_DT	Graft Failure Date	TRF	2015-09-01 00:00:00		CLINICAL INFORMATION	NUM		
GRF_FAIL_DT_LEFT	Graft Failure Date Left Limb	TRF	2015-09-01 00:00:00		CLINICAL INFORMATION	NUM		
GRF_FAIL_DT_RIGHT	Graft Failure Date Right Limb	TRF	2015-09-01 00:00:00		CLINICAL INFORMATION	NUM		
GRF_STAT	Graft Status at Time of Follow-Up	TRF	2015-09-01 00:00:00		CLINICAL INFORMATION	NUM	VCA_GFTSTAT	
GRF_STAT_LEFT	Graft Status at Time of Follow-Up Left Limb	TRF	2015-09-01 00:00:00		CLINICAL INFORMATION	NUM	VCA_GFTSTAT	
GRF_STAT_RIGHT	Graft Status at Time of Follow-Up Right Limb	TRF	2015-09-01 00:00:00		CLINICAL INFORMATION	NUM	VCA_GFTSTAT	
GT_5_PBRC	More than 5 pRBC (packed red blood cells) units	TRF	2015-09-01 00:00:00		Clinical Information: Post Transplant - Major Transplant Complication	CHAR(1)	YNU	
HGT_CM	Height (cm)	TRF	2015-09-01 00:00:00		CLINICAL INFORMATION	NUM		
HOSP_SINCE_LAST_VISIT	Has patient been hospitalized since the Last Patient Status Date	TRF	2015-09-01 00:00:00		PATIENT STATUS	CHAR(1)	YNU	
IMMUNO	Immunosuppression	TRF	2015-09-01 00:00:00		CLINICAL INFORMATION	CHAR(1)	YN	
INSTITUTIONAL_FUNDING	Institutional funding	TRF	2015-09-01 00:00:00		SOCIODEMOGRAPHIC INFORMATION	CHAR(1)	YNU	
ISCHEMIA	Ischemia	TRF	2015-09-01 00:00:00		CLINICAL INFORMATION	CHAR(1)	YNU	
ISCHEMIA_LEFT	Ischemia Left Limb	TRF	2015-09-01 00:00:00		CLINICAL INFORMATION	CHAR(1)	YNU	
ISCHEMIA_RIGHT	Ischemia Right Limb	TRF	2015-09-01 00:00:00		CLINICAL INFORMATION	CHAR(1)	YNU	
MALIG	Post Transplant Malignancy	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	CHAR(1)	YNU	
MALIG_DENOVO_LYMPH	PostTransplant Lymphoproliferative Disease (PTLD) and Lymphoma	TRF	2015-09-01 00:00:00		PostTransplant Lymphoproliferative Disease (PTLD) and Lymphoma	CHAR(1)	YNU	
MALIG_DENOVO_LYMPH_DT	PostTransplant Lymphoproliferative Disease (PTLD) and Lymphoma Date	TRF	2015-09-01 00:00:00		PostTransplant Lymphoproliferative Disease (PTLD) and Lymphoma	NUM		
MALIG_DENOVO_LYMPH_TY	PostTransplant Lymphoproliferative Disease (PTLD) and Lymphoma Pathology	TRF	2015-09-01 00:00:00		PostTransplant Lymphoproliferative Disease (PTLD) and Lymphoma	NUM	PATHOLOG	
MALIG_DENOVO_TUMOR	De Novo Tumor	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	CHAR(1)	YNU	
MALIG_DENOVO_TUMOR_1_DX	De Novo Tumor: Skin: Squamous Cell	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM	YN	
MALIG_DENOVO_TUMOR_1_DX_DATE	De Novo Tumor: Skin: Squamous Cell Diagnosis Date	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM		
MALIG_DENOVO_TUMOR_10_DX	De Novo Tumor: Ovarian	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM	YN	
MALIG_DENOVO_TUMOR_10_DX_DATE	De Novo Tumor: Ovarian Diagnosis Date	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM		
MALIG_DENOVO_TUMOR_11_DX	De Novo Tumor: Testicular	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM	YN	
MALIG_DENOVO_TUMOR_11_DX_DATE	De Novo Tumor: Testicular Diagnosis Date	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM		
MALIG_DENOVO_TUMOR_12_DX	De Novo Tumor: Esophagus	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM	YN	
MALIG_DENOVO_TUMOR_12_DX_DATE	De Novo Tumor: Esophagus Diagnosis Date	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM		
MALIG_DENOVO_TUMOR_13_DX	De Novo Tumor: Stomach	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM	YN	
MALIG_DENOVO_TUMOR_13_DX_DATE	De Novo Tumor: Stomach Diagnosis Date	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM		
MALIG_DENOVO_TUMOR_14_DX	De Novo Tumor: Small Intestine	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM	YN	
MALIG_DENOVO_TUMOR_14_DX_DATE	De Novo Tumor: Small Intestine Diagnosis Date	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM		
MALIG_DENOVO_TUMOR_15_DX	De Novo Tumor: Pancreas	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM	YN	
MALIG_DENOVO_TUMOR_15_DX_DATE	De Novo Tumor: Pancreas Diagnosis Date	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM		
MALIG_DENOVO_TUMOR_16_DX	De Novo Tumor: Larynx	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM	YN	
MALIG_DENOVO_TUMOR_16_DX_DATE	De Novo Tumor: Larynx Diagnosis Date	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM		
MALIG_DENOVO_TUMOR_17_DX	De Novo Tumor: Tongue, Throat	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM	YN	
MALIG_DENOVO_TUMOR_17_DX_DATE	De Novo Tumor: Tongue, Throat Diagnosis Date	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM		
