"STAR Table Name: LIVER_DATA
Variable Names in red font denote that field has important information in the Comment field

The data files created based on data as of 4/5/2024 will include data for registrations added and/or transplants occurring through 03/31/2024"	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8
ALCOHOL_HEAVY_DON	DDR HEAVY ALCOHOL USE (heavy= 2+ drinks/day) (Y/N/U)	DDR	2004-06-30 00:00:00		CANDIDATE INFORMATION	CHAR(1)	YNU	
AMIS	A Locus MISMATCH LEVEL	CALCULATED				NUM		
ANTIHYPE_DON	DECEASED DONOR-ANTIHYPERTENSIVES W/IN 24 HRS PRE-CROSS CLAMP	DDR	1994-04-01 00:00:00		CLINICAL INFORMATION	CHAR(1)	YNU	
ARGININE_DON	DECEASED DONOR-WAS DONOR GIVEN ARGININE VASOPRESSIN WITHIN 24 HRS PRE CROSS CLAMP?	DDR	2004-06-30 00:00:00		CLINICAL INFORMATION	CHAR(1)	YNU	
ARTIFICIAL_LI_TCR	RECIPIENT ON ARTIFICIAL LIVER AT LISTING	TCR	1987-10-01 00:00:00		CLINICAL INFORMATION	NUM		
ARTIFICIAL_LI_TRR	RECIPIENT ON ARTIFICIAL LIVER AT TRANSPLANT	TRR	1987-10-01 00:00:00		CLINICAL INFORMATION	NUM		
ASCITES_TCR	RECIPIENT ASCITES @ REGISTRATION	TCR	1994-04-01 00:00:00	2004-06-30 00:00:00	CLINICAL INFORMATION - LIVER MEDICAL FACTORS	CHAR(1)	YNU	
ASCITES_TRR_OLD	TRR ASCITES	TRR	1994-04-01 00:00:00	2004-06-30 00:00:00	TRANSPLANT CLINICAL INFORMATION - RISK FACTORS	CHAR(1)	YNU	
ASCITES_TX	RECIPIENT ASCITES @ TRANSPLANT	WAITING LIST DATA	2004-06-30 00:00:00		WAITING LIST DATA	NUM	ASCITES	
BACT_PERIT_TCR	RECIPIENT SPONTANEOUS BACTERIAL PERITONITIS @ REGISTRATION	TCR	1994-04-01 00:00:00		CLINICAL INFORMATION - LIVER MEDICAL FACTORS	CHAR(1)	YNU	
BILIARY	RECIPIENT CONTRIBUTING CAUSE OF GRAFT FAILURE - BILIARY TRACT COMPLICATION	TRF/TRR	1987-10-01 00:00:00	2015-03-31 00:00:00	(POST TRANSPLANT) CLINICAL INFORMATION	CHAR(1)	YNU	"The user is asked to check as many contributing causes of failure as apply, there is no ""primary"" cause of failure"
BLOOD_INF_CONF_DON	DECEASED DONOR-INFECTION SOURE BLOOD-CONFIRMED VIA CULTURE	DDR	1994-04-01 00:00:00	2015-03-31 00:00:00	CLINICAL INFORMATION	CHAR(1)	YNU	
BLOOD_INF_DON	DECEASED DONOR-BLOOD AS INFECTION SOURCE	DDR	1994-04-01 00:00:00		CLINICAL INFORMATION	NUM		
BMI_CALC	Calculated Recipient BMI	CALCULATED				NUM		
BMI_DON_CALC	Donor BMI - Pre/At Donation Calculated	CALCULATED				NUM		
BMI_TCR	BMI AT LISTING	TCR	2004-06-30 00:00:00		CLINICAL INFORMATION AT LISTING	NUM		
BMIS	B Locus MISMATCH LEVEL	CALCULATED				NUM		
BUN_DON	DECEASED DONOR-TERMINAL BLOOD UREA NITROGEN	DDR	1994-04-01 00:00:00		CLINICAL INFORMATION	NUM		
BW4	Candidate Most Recent/at Removal BW4 Antigen From Waiting List	WAITING LIST DATA	1987-10-01 00:00:00		WAITING LIST DATA	NUM	WKGRPHLA	
BW6	Candidate Most Recent/at Removal BW6 Antigen From Waiting List	WAITING LIST DATA	1987-10-01 00:00:00		WAITING LIST DATA	NUM	WKGRPHLA	
C1	Candidate Most Recent/at Removal C1 Antigen From Waiting List	WAITING LIST DATA	1987-10-01 00:00:00		WAITING LIST DATA	NUM	CWHLA	
C2	Candidate Most Recent/at Removal C2 Antigen From Waiting List	WAITING LIST DATA	1987-10-01 00:00:00		WAITING LIST DATA	NUM	CWHLA	
CANCER_FREE_INT_DON	DECEASED DONOR-CANCER FREE INTERVAL (YEARS)	DDR	1994-04-01 00:00:00		DONOR HISTORY	NUM		
CANCER_SITE_DON	DECEASED DONOR-CANCER SITE	DDR	1994-04-01 00:00:00		DONOR HISTORY	NUM	HISTCAN	
CARDARREST_NEURO	DECEASED DONOR-CARDIAC ARREST POST BRAIN DEATH	DDR	1999-10-25 00:00:00		CLINICAL INFORMATION	CHAR(1)	YNU	
CDC_RISK_HIV_DON	DECEASED DONOR - PER PHS, Does the Donor Have Risk Factors for Blood-Borne Disease Transmission?	DDR	2004-06-30 00:00:00		DONOR HISTORY	CHAR(1)	YNU	
CITIZEN_COUNTRY	CANDIDATE COUNTRY OF PERMANENT RESIDENCE @ REGISTRATION	TCR	2015-03-31 00:00:00		CANDIDATE INFORMATION	CHAR(3)	CTRY	
CITIZENSHIP	CANDIDATE CITIZENSHIP @ REGISTRATION	TCR	1987-10-01 00:00:00		CANDIDATE INFORMATION	NUM	CITIZEN	
CITIZENSHIP_DON	DONOR CITIZENSHIP	DDR/LDR	1987-10-01 00:00:00		DONOR INFORMATION	NUM		This field uses separate SAS Analysis Format types for donor type. For deceased donors (don_ty=C) use CITIZDDR. For living donors (don_ty=L) use CITIZEN
CLIN_INFECT_DON	DECEASED DONOR-CLINICAL INFECTION (Y,N)	DDR	1994-04-01 00:00:00		CLINICAL INFORMATION	CHAR(1)	YNU	
CLSTR_OLD	LIVER CLUSTER WITH OTHER ORGAN (PRE 10/25/99 DATA) (Y/N)	TRR(PRE 10/25/99 VERSION)	1994-04-01 00:00:00	1999-10-25 00:00:00	PROCEDURE TYPE	CHAR(1)	YNU	
CLSTRTYP_OLD	LIVER CLUSTER TYPE (PRE 10/25/99 DATA)	TRR(PRE 10/25/99 VERSION)	1994-04-01 00:00:00	1999-10-25 00:00:00	PROCEDURE TYPE	CHAR(3)	CLSTR	
CMV_DON	DONOR SEROLOGY ANTI CMV (FOR LIVING DONOR, PRE UNET DATA ONLY)	DDR/LDR			CLINICAL INFORMATION	CHAR(2)	SERSTAT	START DATE: DECEASED DONORS: 10/1/87-PRESENT; LIVING DONORS 10/1/90-10/25/99
CMV_IGG	RECIPIENT-CMV BY IGG TEST RESULT  @ TRANSPLANT	TRR	1999-10-25 00:00:00	2015-03-31 00:00:00	PRETRANSPLANT CLINICAL INFORMATION	CHAR(2)	SERSTAT	
CMV_IGG_DON	LIVING DONOR-CMV BY IGG TEST RESULT	LDR	1999-10-25 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT	
CMV_IGM	RECIPIENT-CMV BY IGM TEST RESULT  @ TRANSPLANT	TRR	1999-10-25 00:00:00	2015-03-31 00:00:00	PRETRANSPLANT CLINICAL INFORMATION	CHAR(2)	SERSTAT	
CMV_IGM_DON	LIVING DONOR-CMV BY IGM TEST RESULT	LDR	1999-10-25 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT	
CMV_NUCLEIC_DON	DONOR CMV BY NUCLEIC ACID	LDR	1994-04-01 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT	
CMV_OLD_LIV_DON	LIV DONOR CMV -SEROLOGY (PRE 10/25/99 DATA)	LDR	1990-10-01 00:00:00	1999-10-25 00:00:00	CLINICAL INFORMATION	CHAR(2)	SERSTAT	
CMV_STATUS	RECIPIENT CMV Status @ TRANSPLANT	TRR	2015-03-31 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT	
CMV_TEST_DON	LIV DONOR CMV TESTED?	LDR	1990-10-01 00:00:00		CLINICAL INFORMATION	CHAR(1)	YNU	
COD	RECIPIENT PRIMARY CAUSE OF DEATH	TRF/TRR	1987-10-01 00:00:00		PATIENT STATUS	NUM	ALL_COD	
COD_CAD_DON	DECEASED DONOR-CAUSE OF DEATH	DDR	1987-10-01 00:00:00		DONOR INFORMATION	NUM	DON_COD	Collection of this variable was changed 4/1/94, when mechanism and circumstance of death was added
COD_WL	CANDIDATE CAUSE OF DEATH FOR DEATH REMOVAL	WAITING LIST DATA	2003-12-03 00:00:00			NUM	ALL_COD	
COD2	RECIPIENT CONTRIBUTORY CAUSE OF DEATH 1	TRF/TRR	2004-06-30 00:00:00		PATIENT STATUS	NUM	ALL_COD	
COD3	RECIPIENT CONTRIBUTORY CAUSE OF DEATH 2	TRF/TRR	2004-06-30 00:00:00		PATIENT STATUS	NUM	ALL_COD	
COLD_ISCH	TOTAL COLD ISCHEMIC TIME (HOURS)	TRR	1994-04-01 00:00:00		TRANSPLANT CLINICAL INFORMATION - PRESERVATION INFORMATION	NUM		Before 01-apr-94, cold ischemic time was calculated from date of organ removed from cold storage and date recovered.
COMPOSITE_DEATH_DATE	COMPOSITE PATIENT DEATH DATE FROM OPTN OR VERIFIED FROM EXTERNAL SOURCES	CALCULATED				NUM		
CONTIN_ALCOHOL_OLD_DON	DECEASED DONOR-HISTORY OF ALCOHOL DEPENDENCY+ RECENT 6MO USE	DDR	1994-04-01 00:00:00	2004-06-30 00:00:00	DONOR HISTORY	CHAR(1)	YNU	
CONTIN_CIG_DON	DECEASED DONOR-HISTORY OF CIGARETTES IN PAST@ >20PACK YRS+RECENT 6MO USE	DDR	1994-04-01 00:00:00		DONOR HISTORY	CHAR(1)	YNU	
CONTIN_COCAINE_DON	DECEASED DONOR-HISTORY OF COCAINE USE+RECENT 6MO USE	DDR	1999-10-25 00:00:00		DONOR HISTORY	CHAR(1)	YNU	
CONTIN_IV_DRUG_OLD_DON	DECEASED DONOR-HISTORY OF IV DRUG USE+RECENT 6MO USE	DDR	1994-04-01 00:00:00	2004-06-30 00:00:00	DONOR HISTORY	CHAR(1)	YNU	
CONTIN_OTH_DRUG_DON	DECEASED DONOR-HISTORY OF OTHER DRUGS IN PAST+RECENT 6MO USE	DDR	1994-04-01 00:00:00		DONOR HISTORY	CHAR(1)	YNU	
CONTROLLED_DON	DECEASED DONOR CONTROLLED NON-HEART BEATING (Y/N)	DDR	1994-04-01 00:00:00		ORGAN RECOVERY	CHAR(1)	YNU	
CORE_COOL_DON	DECEASED DONOR-CORE COOLING FOR CONTROLLED NON-HRT BEATING	DDR	1994-04-01 00:00:00		ORGAN RECOVERY	CHAR(1)	YNU	
CORONARY_ANGIO_DON	Deceased Donor CORONARY AGIOGRAM DONE (Y/N)	DDR	1999-10-25 00:00:00		ORGAN RECOVERY	CHAR(1)	YNU	
CORONARY_ANGIO_NORM_DON	Deceased Donor CORONARY AGIOGRAM NORMAL (Y/N)	DDR			ORGAN RECOVERY	CHAR(1)	YNU	
CREAT_DON	DECEASED DONOR-TERMINAL LAB CREATININE	DDR	1994-04-01 00:00:00		CLINICAL INFORMATION	NUM		
CREAT_TX	RECIPIENT SERUM CREATININE AT TIME OF TX	WAITING LIST DATA	1987-10-01 00:00:00		PRETRANSPLANT CLINICAL INFORMATION	NUM		
CTR_CODE	ENCRYPTED TRANSPLANT CENTER CODE	CALCULATED				CHAR(7)		
DA1	DONOR A1 ANTIGEN	CALCULATED	1987-10-01 00:00:00		DONOR HLA TYPING	NUM	ALOCUS	
DA2	DONOR A2 ANTIGEN	CALCULATED	1987-10-01 00:00:00		DONOR HLA TYPING	NUM	ALOCUS	
DATA_TRANSPLANT	Recipient TRR Data Reported	CALCULATED				CHAR(1)	YNU	
DATA_WAITLIST	Candidate WL Data Reported	CALCULATED				CHAR(1)	YNU	
DAYSWAIT_CHRON	DAYS ON LIVER WAITING LIST	CALCULATED				NUM		
DB1	DONOR B1 ANTIGEN	CALCULATED	1987-10-01 00:00:00		DONOR HLA TYPING	NUM	BLOCUS	
DB2	DONOR B2 ANTIGEN	CALCULATED	1987-10-01 00:00:00		DONOR HLA TYPING	NUM	BLOCUS	
DDAVP_DON	DECEASED DONOR-SYNTHETIC ANTI DIURETIC HORMONE (DDAVP)	DDR	1999-10-25 00:00:00		CLINICAL INFORMATION	CHAR(1)	YNU	
DDR1	DONOR DR1 ANTIGEN	CALCULATED	1987-10-01 00:00:00		DONOR HLA TYPING	NUM	DRLOCUS	
DDR2	DONOR DR2 ANTIGEN	CALCULATED	1987-10-01 00:00:00		DONOR HLA TYPING	NUM	DRLOCUS	
DEATH_CIRCUM_DON	DECEASED DONOR-CIRCUMSTANCE OF DEATH	DDR	1994-04-01 00:00:00		DONOR INFORMATION	NUM	DTHCIRC	
DEATH_DATE	DATE OF DEATH FOR PATIENT THAT DIED ON THE WAITING LIST (SINCE 10/25/99)	WAITING LIST DATA	1999-10-25 00:00:00		WAITING LIST DATA	NUM		ONLY COLLECTED SINCE 10/25/99
DEATH_MECH_DON	DECEASED DONOR-MECHANISM OF DEATH	DDR	1994-04-01 00:00:00		DONOR INFORMATION	NUM	DTHMECH	
DGN_TCR	PRIMARY DIAGNOSIS AT TIME OF LISTING	TCR	1994-04-01 00:00:00		CLINICAL INFORMATION	NUM	ALL_DGN	
DGN2_TCR	SECONDARY DIAGNOSIS AT TIME OF LISTING	TCR	1994-04-01 00:00:00		CLINICAL INFORMATION	NUM	ALL_DGN	
DIAB	RECIPIENT DIABETES @ REGISTRATION 	TCR	1994-04-01 00:00:00		CLINICAL INFORMATION	NUM	DIABTY	
DIABDUR_DON	DECEASED DONOR-DIABETES DURATION	DDR	1994-04-01 00:00:00		DONOR HISTORY	NUM	HISTDIAB	UNROLLED FROM HIST_DIABETES_DON TO INCLUDE DURATION ONLY
DIABETES_DON	DECEASED DONOR-HISTORY OF DIABETES (Y,N)	DDR	1994-04-01 00:00:00		DONOR HISTORY	CHAR(1)	YNU	UNROLLED Y/N FIELD FROM HIST_DIABETES_DON
DIAG	RECIPIENT PRIMARY DIAGNOSIS	TRR>TCR	1987-10-01 00:00:00		PATIENT STATUS/CLINICAL INFORMATION	NUM	ALL_DGN	"Primary diagnosis was not collected on TCR until 01-apr-94. This field draws from discharge if available, if not from ""at transplant"" and if not there then from TCR."
DIAL_TX	DIALYSIS PRIOR WEEK TO TRANSPLANT?	TRR	1994-04-01 00:00:00		CLINICAL INFORMATION	CHAR(1)	YNU	
DIET_DON	DECEASED DONOR-HYPERTENSION DIET CONTROLLED	DDR	1994-04-01 00:00:00		DONOR HISTORY	CHAR(1)	YNU	
DIFFUSE_CHOLANG	RECIPIENT CONTRIBUTING CAUSE OF GRAFT FAILURE: Diffuse Cholangiopathy	TRR/TRF	2015-03-31 00:00:00		CLINICAL INFORMATION	CHAR(1)	YNU	
DIS_ALKPHOS	RECIPIENT ALKALINE PHOSPHATE AT DISCHARGE	TRR	1994-04-01 00:00:00		POST TRANSPLANT CLINICAL INFORMATION	NUM		
DIS_SGOT	RECIPIENT SGOT/AST AT DISCHARGE	TRR	1987-10-01 00:00:00		POST TRANSPLANT CLINICAL INFORMATION	NUM		
DISCHARGE_DATE	RECIPIENT DISCHARGE DATE FROM TX CENTER	TRR	1994-04-01 00:00:00		PATIENT STATUS	NUM		
DISTANCE	DISTANCE FROM DONOR HOSP TO TX CENTER (Nautical Miles)	CALCULATED				NUM		
DIURETICS_DON	DECEASED DONOR-HYPERTENSION DIURETIC CONTROLLED	DDR	1994-04-01 00:00:00		DONOR HISTORY	CHAR(1)	YNU	
DOBUT_DON_OLD	DECEASED DONOR-DOBUTAMINE W/IN 24 HRS PRE-CROSS CLAMP	DDR	1994-04-01 00:00:00	2003-01-27 00:00:00	CLINICAL INFORMATION	CHAR(1)	YNU	
DON_TY	DONOR TYPE - DECEASED, LIVING	TRR	1987-10-01 00:00:00		DONOR INFORMATION	CHAR(3)	DON_TYP	
DONATION_DON	LIVING DONOR-DONATION AS SECONDARY PAYMENT TYPE	LDR	1999-10-25 00:00:00		DONOR INFORMATION	CHAR(1)	YNU	
DONOR_ID	ENCRYPTED DONOR IDENTIFIER	CALCULATED				NUM		
DOPAMINE_DON_OLD	DECEASED DONOR-DOPAMINE W/IN 24 HRS PRE-CROSS CLAMP	DDR	1994-04-01 00:00:00	2003-01-27 00:00:00	CLINICAL INFORMATION	CHAR(1)	YNU	
DQ1	Candidate Most Recent/at Removal DQB1 Antigen From Waiting List	WAITING LIST DATA	1987-10-01 00:00:00		WAITING LIST DATA	NUM	DQHLA	
DQ2	Candidate Most Recent/at Removal DQB2 Antigen From Waiting List	WAITING LIST DATA	1987-10-01 00:00:00		WAITING LIST DATA	NUM	DQHLA	
DR51	Candidate Most Recent/at Removal DR51 Antigen From Waiting List	WAITING LIST DATA	1987-10-01 00:00:00		WAITING LIST DATA	NUM	WKGRPHLA	
DR51_2	Candidate Most Recent/at Removal DR51 Antigen From Waiting List	WAITING LIST DATA	1987-10-01 00:00:00		WAITING LIST DATA	NUM	WKGRPHLA	
DR52	Candidate Most Recent/at Removal DR52 Antigen From Waiting List	WAITING LIST DATA	1987-10-01 00:00:00		WAITING LIST DATA	NUM	WKGRPHLA	
DR52_2	Candidate Most Recent/at Removal DR52 Antigen From Waiting List	WAITING LIST DATA	1987-10-01 00:00:00		WAITING LIST DATA	NUM	WKGRPHLA	
DR53	Candidate Most Recent/at Removal DR53 Antigen From Waiting List	WAITING LIST DATA	1987-10-01 00:00:00		WAITING LIST DATA	NUM	WKGRPHLA	
DR53_2	Candidate Most Recent/at Removal DR53 Antigen From Waiting List	WAITING LIST DATA	1987-10-01 00:00:00		WAITING LIST DATA	NUM	WKGRPHLA	
DRMIS	DR Locus MISMATCH LEVEL	CALCULATED				NUM		
EBV_IGG_CAD_DON	DECEASED DONOR EPSTEIN BARR VIRUS BY IGG TEST RESULT	DDR	2006-05-03 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT	
EBV_IGM_CAD_DON	DECEASED DONOR EPSTEIN BARR VIRUS BY IGM TEST RESULT	DDR	2006-05-03 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT	
EBV_SEROSTATUS	RECIPIENT EBV STATUS @ TRANSPLANT	CALCULATED				CHAR(2)	SERSTAT	
EBV_TEST_DON	LIVING DONOR EPSTEIN BARR VIRUS TESTED?	LDR	1994-04-01 00:00:00		CLINICAL INFORMATION - SEROLOGY	CHAR(1)	YNU	
ECD_DONOR	EXPANDED DONOR PER KIDNEY ALLOCATION DEFINITION 1=YES	CALCULATED	1994-04-01 00:00:00			NUM		
ECMO	RECIPIENT LIFE SUPPORT TYPE ECMO @ REGISTRATION	TCR	1995-04-01 00:00:00	2004-06-30 00:00:00	CANDIDATE INFORMATION	NUM		
EDUCATION	RECIPIENT HIGHEST EDUCATIONAL LEVEL @ REGISTRATION	TCR	1994-04-01 00:00:00		CANDIDATE INFORMATION	NUM	EDLEVEL	
EDUCATION_DON	LIVING DONOR-HIGHEST LEVEL OF EDUCATION	LDR	1999-10-25 00:00:00		DONOR INFORMATION	NUM	EDLEVEL	
ENCEPH_TCR	RECIPIENT ENCEPHALOPATHY @ REGISTRATION	TCR	1994-04-01 00:00:00	2004-06-30 00:00:00	CLINICAL INFORMATION - LIVER MEDICAL FACTORS	CHAR(1)	YNU	
ENCEPH_TRR_OLD	GRADE III OR IV ENCEPHALOPATHY AT TRANSPLANT	TRR	1994-04-01 00:00:00	2004-06-30 00:00:00	TRANSPLANT CLINICAL INFORMATION - RISK FACTORS	CHAR(1)	YNU	
ENCEPH_TX	ENCEPHALOPATHY AT TRANSPLANT	WAITING LIST DATA	2004-06-30 00:00:00		TRANSPLANT CLINICAL INFORMATION - RISK FACTORS	NUM	ENCEPH	from WL on CUR_WLREG_AUDIT_IT
END_BMI_CALC	CALCULATED CANDIDATE BMI AT REMOVAL/CURRENT TIME	CALCULATED				NUM		
END_DATE	EARLIEST OF DATES OF REMOVAL FROM WAITING LIST, TRANSPLANT, DEATH, OR TIME COPY OF DATA CREATED	WAITING LIST DATA	1987-10-01 00:00:00		WAITING LIST DATA	NUM		IF PATIENT TRANSPLANTED OR DIED, BUT WAS REMOVED AFTER THE EVENT, END_DATE IS BACKDATED TO GIVE THE DATE OF EVENT
END_OPO_CTR_CODE	ENCRYPTED REMOVAL/CURRENT OPO MAPPED FROM LISTING CENTER AND ENDING DATE	CALCULATED				CHAR(7)		
END_STAT	CANDIDATE STATUS AT TRANSPLANT OFFER/REMOVALCURRENT TIME	TRR>TCR	1987-10-01 00:00:00			NUM	STAT	
ETHCAT	RECIPIENT ETHNICITY CATEGORY	TCR-CALCULATED			CANDIDATE INFORMATION	NUM	ETHCAT	
ETHCAT_DON	DONOR ETHNICITY CATEGORY	DDR/LDR-CALCULATED			DONOR INFORMATION	NUM	ETHCAT	
ETHNICITY	RECIPIENT ETHNICITY	TCR	1994-04-01 00:00:00		CANDIDATE INFORMATION	NUM	ETHN	
EVER_APPROVED	WAS AN EXC APP EVER APPROVED?					NUM		
EXC_AT_TX	Active Exception Driving M/P Score at Accepted Transplant Offer? (post 6/28/2022)	WAITING LIST DATA	2022-06-28 00:00:00			CHAR(1)		
EXC_CASE	YES/NO WAS THIS AN ACTIVE EXCEPTION CASE AS OF END_DATE	WAITING LIST DATA	2002-02-27 00:00:00		WAITING LIST DATA	CHAR(3)		ONLY SINCE 2/27/02
EXC_CURRENT	Active Approved Exception at Tx Offer/Tx/Removal/Current Time?	WAITING LIST DATA				CHAR(1)	YNU	
EXC_DIAG_ID	REASON FOR EXCEPTION	WAITING LIST DATA	2002-02-27 00:00:00		WAITING LIST DATA	NUM	MPDIAG	IF THIS IS FILLED IN BUT EXC_CASE=N, THEN APPLIED FOR EXCEPTION BUT EITHER NOT APPROVED OR EXPIRED
EXC_EVER	WAS AN EXCEPTION EVER SUBMITTED FOR PT?					NUM		
EXC_EVER_APPROVED_ANY	Registration Has ever Approved M/P Exception?	WAITING LIST DATA				CHAR(1)	YNU	
EXC_HCC	TYPE OF EXCEPTION RELATIVE TO HCC: HBL, HCC,NON-HCC: HBL=hepatoblastoma	WAITING LIST DATA	2002-02-27 00:00:00		WAITING LIST DATA	CHAR(7)		
EXTRACRANIAL_CANCER_DON	DECEASED DONOR-EXTRACANIAL CANCER AT PROCUREMENT	DDR	1994-04-01 00:00:00		DONOR HISTORY	CHAR(1)	YNU	
FINAL_ALBUMIN	MOST RECENT WAITING LIST ALBUMIN OR AT REMOVAL IF REMOVED	WAITING LIST DATA	2002-02-27 00:00:00			NUM		
FINAL_ASCITES	MOST RECENT WAITING LIST ASCITES OR AT REMOVAL IF REMOVED	WAITING LIST DATA	2002-02-27 00:00:00			NUM	ASCITES	
FINAL_BILIRUBIN	MOST RECENT WAITING LIST BILIRUBIN OR AT REMOVAL IF REMOVED	WAITING LIST DATA	2002-02-27 00:00:00			NUM		
FINAL_CTP_SCORE	MOST RECENT WAITING LIST CTP SCORE OR AT REMOVAL IF REMOVED	WAITING LIST DATA	2002-02-27 00:00:00			NUM		
FINAL_DIALYSIS_PRIOR_WEEK	MOST RECENT WAITING LIST DIALYSIS TWICE IN PRIOR WEEK OR AT REMOVAL IF REMOVED	WAITING LIST DATA	2002-02-27 00:00:00			CHAR(1)		
FINAL_ENCEPH	MOST RECENT WAITING LIST ENCEPHALOPATHY OR AT REMOVAL IF REMOVED	WAITING LIST DATA	2002-02-27 00:00:00			NUM	ENCEPH	
FINAL_INR	MOST RECENT WAITING LIST INR OR AT REMOVAL IF REMOVED	WAITING LIST DATA	2002-02-27 00:00:00			NUM		
FINAL_MELD_OR_PELD	MOST RECENT WAITING LIST USE MELD OR PELD OR AT REMOVAL IF REMOVED	WAITING LIST DATA	2002-02-27 00:00:00			CHAR(4)		
FINAL_MELD_PELD_LAB_SCORE	MOST RECENT WAITING LIST MELD/PELD LAB SCORE OR AT REMOVAL IF REMOVED(MAY BE DIFFERENT THAN ALLOCATION SCORE/ENDSTAT)	WAITING LIST DATA	2002-02-27 00:00:00			NUM		
FINAL_SERUM_CREAT	MOST RECENT WAITING LIST SERUM CREATININE OR AT REMOVAL IF REMOVED	WAITING LIST DATA	2002-02-27 00:00:00			NUM		
FINAL_SERUM_SODIUM	MOST RECENT WAITING LIST SERUM SODIUM OR AT REMOVAL IF REMOVED	WAITING LIST DATA	2004-11-17 00:00:00			NUM		
FREE_DON	LIVING DONOR-FREE CARE AS SECONDARY PAYMENT TYPE	LDR	1999-10-25 00:00:00		DONOR INFORMATION	CHAR(1)	YNU	
FUNC_STAT_TCR	RECIPIENT FUNCTIONAL STATUS @ REGISTRATION	TCR	1994-04-01 00:00:00		CANDIDATE INFORMATION	NUM	FUNCSTAT	
FUNC_STAT_TRF	TRF FUNCTIONAL STATUS @ TRR/FOL	TRR/TRF	1994-04-01 00:00:00		PATIENT STATUS AT TIME OF FOLLOW-UP	NUM	FUNCSTAT	
FUNC_STAT_TRR	RECIPIENT FUNCTIONAL STATUS @TRANSPLANT	TRR	1994-04-01 00:00:00		PATIENT STATUS	NUM	FUNCSTAT	
GENDER	RECIPIENT GENDER	TCR	1987-10-01 00:00:00		CANDIDATE INFORMATION	CHAR(1)	SEX	
GENDER_DON	DONOR GENDER	DDR/LDR	1987-10-01 00:00:00		DONOR INFORMATION	CHAR(1)	SEX	
GRF_FAIL_DATE	RECIPIENT DATE OF GRAFT FAILURE	TRF/TRR	1987-10-01 00:00:00		(POST TRANSPLANT) CLINICAL INFORMATION	NUM		
GRF_STAT	RECIPIENT GRAFT STATUS (IS GRAFT FUNCTIONING? Y/N)	TRF/TRR	1987-10-01 00:00:00		(POST TRANSPLANT) CLINICAL INFORMATION	CHAR(1)	GRFSTAT	
