"STAR Table Name: LIVER_WLHISTORY_DATA
Variable Names in red font denote that field has important information in the Comment field

The data files created based on data as of 4/5/2024 will include data for registrations added and/or transplants occurring through 03/31/2024"	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8
DONCRIT_MIN_AGE	Donor Criteria - Minimum Acceptable Donor Age (months)	WAITING LIST DATA			WAITING LIST DATA	NUM		Prior to 03/02/2023 this field captured donor criteria for local offers only. Since 03/02/2023 these criteria apply to ALL offers.
DONCRIT_MIN_AGE_IMPORT	Donor Criteria - Minimum Acceptable Donor Age (months) - Import	WAITING LIST DATA		2023-03-02 00:00:00	WAITING LIST DATA	NUM		
DONCRIT_MIN_WGT	Donor Criteria - Minimum Acceptable Donor Weight (kg)	WAITING LIST DATA			WAITING LIST DATA	NUM		Prior to 03/02/2023 this field captured donor criteria for local offers only. Since 03/02/2023 these criteria apply to ALL offers.
ENCEPH	PATIENT ENCEPHALOPATHY	WAITING LIST DATA	2002-02-27 00:00:00		WAITING LIST DATA	NUM	ENCEPH	
ENCEPH_DATE	DATE FOR PATIENT ENCEPHALOPATHY	WAITING LIST DATA	2002-02-27 00:00:00		WAITING LIST DATA	NUM		
INACT_REASON_CD	REASON FOR INACTIVE STATUS	WAITING LIST DATA	2006-05-24 00:00:00		WAITING LIST DATA	NUM	INACTREA	
INR	PATIENT INR LAB VALUE	WAITING LIST DATA	2002-02-27 00:00:00		WAITING LIST DATA	NUM		
INR_DATE	DATE FOR PATIENT INR LAB VALUE	WAITING LIST DATA	2002-02-27 00:00:00		WAITING LIST DATA	NUM		
MELD_DIFF_REASON_CD	REASON ALLOCATION MELD AND LAB MELD DIFFER	WAITING LIST DATA			WAITING LIST DATA	NUM	MELDDIFFREAS	
MELD_OR_PELD	USE MELD OR PELD	WAITING LIST DATA	2002-02-27 00:00:00		WAITING LIST DATA	CHAR(4)		
MELD_PELD_LAB_SCORE	MELD/PELD LAB SCORE BASED ON LAB VALUES	WAITING LIST DATA	2002-02-27 00:00:00		WAITING LIST DATA	NUM		
MELDSEXID	Sex used for purposes of adult MELD calculation	Waitlist	2023-06-15 00:00:00				MELDSEXID	
PRELIM_XMATCH_REQ	Preliminary Crossmatch Required	WAITING LIST DATA			WAITING LIST DATA	CHAR(1)		
PRIORLIVINGDONOR	Prior living donor	WAITING LIST DATA	2022-11-08 00:00:00				YN	
SERUM_CREAT	PATIENT SERUM CREATININE	WAITING LIST DATA	2002-02-27 00:00:00		WAITING LIST DATA	NUM		
SERUM_CREAT_DATE	DATE OF SERUM CREATININE VALUE	WAITING LIST DATA	2002-02-27 00:00:00		WAITING LIST DATA	NUM		
SERUM_SODIUM	PATIENT SERUM SODIUM	WAITING LIST DATA	2004-11-17 00:00:00		WAITING LIST DATA	NUM		
SERUM_SODIUM_DATE	DATE OF SERUM SODIUM VALUE	WAITING LIST DATA	2004-11-17 00:00:00		WAITING LIST DATA	NUM		
UNOS_CAND_STAT_CD	MELD/PELD ALLOCATION SCORE OR STATUS CODE, DIFFERENT THAN LAB SCORE IN CASES OF EXCEPTIONS AND STATUS 1	WAITING LIST DATA	1995-04-01 00:00:00		WAITING LIST DATA	NUM	STAT	
WL_ID_CODE	ENCRYPTED WAIT LIST ID	CALCULATED				NUM		
WLREG_AUDIT_ID_CODE	Encrypted WLREG_AUDIT_ID For Linkage to Other Data	CALCULATED	1987-10-01 00:00:00		WAITING LIST DATA	NUM		
