"STAR Table Name: THORACIC_LAS_HISTORY_DATA
Variable Names in red font denote that field has important information in the Comment field

The data files created based on data as of 4/5/2024 will include data for registrations added and/or transplants occurring through 03/31/2024"	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8
FUNC_STAT_DATE	Functional Status Date	WL	2005-05-04 00:00:00			NUM		
FVC_ABS	Actual Forced Vital Capacity (FVC)	WL	2005-05-04 00:00:00			NUM		
FVC_DATE	Pulmonary Function Test Date	WL	2005-05-04 00:00:00			NUM		
FVC_PRE	Predicted FVC Pre Bronchodilator	WL	2005-05-04 00:00:00			NUM		
GROUPING	Diagnosis Group	WL	2005-05-04 00:00:00			CHAR(1)		
HIGH_BILI_DT	Bilirubin Date at Highest Bilirubin	WL	2015-02-19 00:00:00			NUM		
HIGH_BILIRUBIN	Bilirubin at Highest Bilirubin	WL	2015-02-19 00:00:00			NUM		
HIGH_CALC_BILI	Calculated - Bilirubin at Highest Bilirubin	CALCULATED	2015-02-19 00:00:00			NUM		
HIGH_CALC_CREAT	Calculated - Creatinine at Highest Creatinine	CALCULATED	2004-09-15 00:00:00			NUM		
HIGH_CREAT_DT	Creatinine Date at Highest Creatinine	WL	2004-09-15 00:00:00			NUM		
HIGH_CREATININE	Creatinine at Highest Creatinine	WL	2004-09-15 00:00:00			NUM		
HIGH_PCO2_BLOOD_GAS_DATE	Blood Gas Date Associated with Highest PCO2	WL	2005-05-04 00:00:00			NUM		
HIGH_PCO2_BLOOD_GAS_TY	Blood Gas Type at Highest PCO2	WL	2005-05-04 00:00:00			NUM	BLDGAS	
HIGH_PCO2_CALC_PCO2	Calculated - Pulmonary Capillary Oxygen at Highest PCO2	WL	2005-05-04 00:00:00			NUM		
HIGH_PCO2_O2_LI	Oxygen Line at Highest PCO2	WL	2005-05-04 00:00:00			NUM		
HIGH_PCO2_O2_PCT	Oxygen Percent at Highest PCO2	WL	2005-05-04 00:00:00			NUM		
HIGH_PCO2_O2_TEST	Supplemental Oxygen at time of Test at Highest PCO2	WL	2005-05-04 00:00:00			NUM		
HIGH_PCO2_PCO2	Pulmonary Capillary Oxygen at Highest PCO2	WL	2005-05-04 00:00:00			NUM		
HIGH_PCO2_PCO2_MOD_DATE	PCO2 Modification Date assoc with High PCO2	WL	2005-05-04 00:00:00			NUM		
HIGH_PCO2_PH	PH at Highest PCO2	WL	2005-05-04 00:00:00			NUM		
HIGH_PCO2_PO2	PO2 at Highest PCO2	WL	2005-05-04 00:00:00			NUM		
LOW_BILI_DT	Bilirubin Date at Lowest Bilirubin	WL	2015-02-19 00:00:00			NUM		
LOW_BILIRUBIN	Bilirubin at Lowest Bilirubin	WL	2015-02-19 00:00:00			NUM		
LOW_CALC_BILI	Calculated - Bilirubin at Lowest Bilirubin	CALCULATED	2015-02-19 00:00:00			NUM		
LOW_CALC_CREAT	Calculated - Creatinine at Lowest Creatinine	CALCULATED	2004-09-15 00:00:00			NUM		
LOW_CREAT_DT	Creatinine Date at Lowest Creatinine	WL	2004-09-15 00:00:00			NUM		
LOW_CREATININE	Creatinine at Lowest Creatinine	WL	2004-09-15 00:00:00			NUM		
LOW_PCO2_BLOOD_GAS_DATE	Blood Gas Date Associated with Lowest PCO2	WL	2005-05-04 00:00:00			NUM		
LOW_PCO2_BLOOD_GAS_TY	Blood Gas Type at Lowest PCO2	WL	2005-05-04 00:00:00			NUM	BLDGAS	
LOW_PCO2_CALC_PCO2	Calculated - Pulmonary Capillary Oxygen at Lowest PCO2	WL	2005-05-04 00:00:00			NUM		
LOW_PCO2_O2_LI	Oxygen Line at Lowest PCO2	WL	2005-05-04 00:00:00			NUM		
LOW_PCO2_O2_PCT	Oxygen Percent at Lowest PCO2	WL	2005-05-04 00:00:00			NUM		
LOW_PCO2_O2_TEST	Supplemental Oxygen at time of Test at Lowest PCO2	WL	2005-05-04 00:00:00			NUM		
LOW_PCO2_PCO2	Pulmonary Capillary Oxygen at Lowest PCO2	WL	2005-05-04 00:00:00			NUM		
LOW_PCO2_PCO2_MOD_DATE	PCO2 Modification Date assoc with Low PCO2	WL	2005-05-04 00:00:00			NUM		
LOW_PCO2_PH	PH at Lowest PCO2	WL	2005-05-04 00:00:00			NUM		
LOW_PCO2_PO2	PO2 at Lowest PCO2	WL	2005-05-04 00:00:00			NUM		
MOST_RECENT_CATH_DATE	Date of Most Recent Catheterization	WL	2005-05-04 00:00:00			NUM		
NYHA	New York Heart Assoc Class	WL	2005-05-04 00:00:00	2008-11-01 00:00:00		NUM		
NYHA_DATE	New York Heart Assoc Class Date	WL	2005-05-04 00:00:00	2008-11-01 00:00:00		NUM		
O2	Supplemental Oxygen Amount	WL	2005-05-04 00:00:00			NUM		
O2_CALC_METHOD	Oxygen calculated method	WL	2005-05-04 00:00:00			NUM	OXYCALC	
O2_DATE	Supplemental Oxygen Date	WL	2005-05-04 00:00:00			NUM		
O2_LI	Oxygen Line at Current PCO2	WL	2005-05-04 00:00:00			NUM		
O2_PCT	Oxygen Percent at Current PCO2	WL	2005-05-04 00:00:00			NUM		
O2_TEST	Supplemental Oxygen at time of Test at Current PCO2	WL	2005-05-04 00:00:00			NUM		
O2PERCENT	Percent Oxygen	WL	2005-05-04 00:00:00			NUM		
PA	Pulmonary Artery Systolic Pressure	WL	2005-05-04 00:00:00			NUM		
PA_DATE	Pulmonary Artery Systolic Pressure Date	WL	2005-05-04 00:00:00			NUM		
PADIAST_INIT	Pulmonary Artery Diastolic Pressure	WL	2005-05-04 00:00:00			NUM		
PAP_MEAN	Pulmonary artery Pressure Mean	WL	2005-05-04 00:00:00			NUM		
PCO2	Pulmonary Capillary Oxygen at Current	WL	2005-05-04 00:00:00			NUM		
PCO2_MOD_DATE	PCO2 Modification Date at Current PCO2	WL	2005-05-04 00:00:00			NUM		
PCW	Pulmonary Capillary Wedge Mean	WL	2005-05-04 00:00:00			NUM		
PCW_DATE	Pulmonary Capillary Wedge Mean Date	WL	2005-05-04 00:00:00			NUM		
PH	PH at Current PCO2	WL	2005-05-04 00:00:00			NUM		
PO2	Pulmonary Oxygen at Current PCO2	WL	2005-05-04 00:00:00			NUM		
SERUM	Serum Creatinine	WL	2005-05-04 00:00:00			NUM		
SERUM_DATE	Serum Creatinine Date	WL	2005-05-04 00:00:00			NUM		
SIX_MIN_WALK	Six Minute Walk Distance	WL	2005-05-04 00:00:00			NUM		
SIX_MIN_WALK_DATE	Six Minute Walk Date	WL	2005-05-04 00:00:00			NUM		
THORACIC_DGN	Thoracic Diagnosis Code	WL	1987-10-01 00:00:00			NUM	ALL_DGN	
VENT_USE_DATE	Assisted Ventilator Use Date	WL	2005-05-04 00:00:00			NUM		
VENT_USE_NEW	Assisted Ventilator Use (NEW)	WL	2005-05-04 00:00:00			NUM	LUVENT	
WL_ID_CODE	ENCRYPTED WL_ID	CALCULATED	1987-10-01 00:00:00			NUM		
WLREG_AUDIT_ID_CODE	Encrypted WLREG_AUDIT_ID For Linkage to Other Data	CALCULATED	1987-10-01 00:00:00			NUM		
