"STAR Table Name: THORACIC_IMMUNO_DISCHARGE_DATA
Variable Names in red font denote that field has important information in the Comment field

The data files created based on data as of 4/5/2024 will include data for registrations added and/or transplants occurring through 03/31/2024"	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8
EON_IND	EON INDUCTION AT TIME OF TX (T-CELL ACTIVATION INHIBITOR)	TRR	2001-11-09 00:00:00	2003-05-28 00:00:00		NUM		
EON_MAINT	EON MAINTENANCE AT TIME OF TX (T-CELL ACTIVATION INHIBITOR)	TRR	2001-11-09 00:00:00			NUM		
FTY720_ANTIREJ	FTY720 ANTIREJECTION 	TRR	2003-05-28 00:00:00	2004-06-30 00:00:00		NUM		
FTY720_DAYS	FTY720 # OF DAYS INDUCTION 	TRR	2003-05-28 00:00:00	2004-06-30 00:00:00		NUM		
FTY720_IND	FTY720 INDUCTION AT TIME OF TX 	TRR	2003-05-28 00:00:00	2004-06-30 00:00:00		NUM		
FTY720_MAINT	FTY720 MAINTENANCE AT TIME OF TX 	TRR	2003-05-28 00:00:00			NUM		
GENERICCYCLOSPORIN_ANTIREJ	GENERICCYCLOSPORIN ANTIREJECTION 	TRR	2003-04-12 00:00:00	2003-04-12 00:00:00		NUM		
GENERICCYCLOSPORIN_DAYS	GENERICCYCLOSPORIN # OF DAYS INDUCTION	TRR	2003-04-12 00:00:00	2003-04-12 00:00:00		NUM		
GENERICCYCLOSPORIN_IND	GENERICCYCLOSPORIN INDUCTION AT TIME OF TX 	TRR	2003-04-12 00:00:00	2003-04-12 00:00:00		NUM		
GENERICCYCLOSPORIN_MAINT	GENERICCYCLOSPORIN MAINTENANCE AT TIME OF TX 	TRR	2003-04-12 00:00:00			NUM		
GENERICMMF_MAINT	GENERICMMF MAINTENANCE AT TIME OF TX 	TRR	2009-12-02 00:00:00			NUM		
GENERICMYFORTIC_ANTIREJ	GENERIC MYFORTIC ANTIREJECTION (MYCOPHENOLIC ACID)	TRR	2018-05-23 00:00:00			NUM		
GENERICMYFORTIC_DAYS	GENERIC MYFORTIC # OF DAYS INDUCTION (MYCOPHENOLIC ACID)	TRR	2018-05-23 00:00:00			NUM		
GENERICMYFORTIC_IND	GENERIC MYFORTIC INDUCTION AT TIME OF TX (MYCOPHENOLIC ACID)	TRR	2018-05-23 00:00:00			NUM		
GENERICMYFORTIC_MAINT	GENERIC MYFORTIC MAINTENANCE AT TIME OF TX (MYCOPHENOLIC ACID)	TRR	2018-05-23 00:00:00			NUM		
GENERICSIROLIMUS_ANTIREJ	GENERIC SIROLIMUS ANTIREJECTION (MTOR INHIBITORS)	TRR	2018-05-23 00:00:00			NUM		
GENERICSIROLIMUS_DAYS	GENERIC SIROLIMUS # OF DAYS INDUCTION (MTOR INHIBITORS)	TRR	2018-05-23 00:00:00			NUM		
GENERICSIROLIMUS_IND	GENERIC SIROLIMUS INDUCTION AT TIME OF TX (MTOR INHIBITORS)	TRR	2018-05-23 00:00:00			NUM		
GENERICSIROLIMUS_MAINT	GENERIC SIROLIMUS MAINTENANCE AT TIME OF TX (MTOR INHIBITORS)	TRR	2018-05-23 00:00:00			NUM		
GENERICTACROLIMUS_MAINT	GENERICTACROLIMUS MAINTENANCE AT TIME OF TX 	TRR	2009-12-02 00:00:00			NUM		
GENGRAF_ANTIREJ	GENGRAF ANTIREJECTION (T-CELL ACTIVATION INHIBITOR)	TRR	2001-01-10 00:00:00	2003-05-28 00:00:00		NUM		
GENGRAF_DAYS	GENGRAF # OF DAYS INDUCTION (T-CELL ACTIVATION INHIBITOR)	TRR	2001-01-10 00:00:00	2003-05-28 00:00:00		NUM		
GENGRAF_IND	GENGRAF INDUCTION AT TIME OF TX (T-CELL ACTIVATION INHIBITOR)	TRR	2001-01-10 00:00:00	2003-05-28 00:00:00		NUM		
GENGRAF_MAINT	GENGRAF MAINTENANCE AT TIME OF TX (T-CELL ACTIVATION INHIBITOR)	TRR	2001-01-10 00:00:00			NUM		
IL1RECEPTORANTAGONIST_ANTIREJ	IL1RECEPTORANTAGONIST ANTIREJECTION (CYTOKINE INHIBITOR)	TRR	1996-04-01 00:00:00	2003-05-28 00:00:00		NUM		
IL1RECEPTORANTAGONIST_DAYS	IL1RECEPTORANTAGONIST # OF DAYS INDUCTION (CYTOKINE INHIBITOR)	TRR	1996-04-01 00:00:00	2003-05-28 00:00:00		NUM		
IL1RECEPTORANTAGONIST_IND	IL1RECEPTORANTAGONIST INDUCTION AT TIME OF TX (CYTOKINE INHIBITOR)	TRR	1996-04-01 00:00:00	2003-05-28 00:00:00		NUM		
IL1RECEPTORANTAGONIST_MAINT	IL1RECEPTORANTAGONIST MAINTENANCE AT TIME OF TX (CYTOKINE INHIBITOR)	TRR	1996-04-01 00:00:00	2003-05-28 00:00:00		NUM		
IMURAN_ANTIREJ	IMURAN ANTIREJECTION (ANTIMETABOLITE)	TRR	1987-10-01 00:00:00	2003-05-28 00:00:00		NUM		collected as AZATHIOPRINE till 3/31/2015
IMURAN_DAYS	IMURAN # OF DAYS INDUCTION (ANTIMETABOLITE)	TRR	1996-04-01 00:00:00	2003-05-28 00:00:00		NUM		collected as AZATHIOPRINE till 3/31/2015
IMURAN_IND	IMURAN INDUCTION AT TIME OF TX (ANTIMETABOLITE)	TRR	1994-04-01 00:00:00	2003-05-28 00:00:00		NUM		collected as AZATHIOPRINE till 3/31/2015
IMURAN_MAINT	IMURAN MAINTENANCE AT TIME OF TX (ANTIMETABOLITE)	TRR	1987-10-01 00:00:00			NUM		collected as AZATHIOPRINE till 3/31/2015
LEFLUNOMIDE_ANTIREJ	LEFLUNOMIDE ANTIREJECTION (T-CELL ACTIVATION INHIBITOR)	TRR	1996-04-01 00:00:00	2003-05-28 00:00:00		NUM		
LEFLUNOMIDE_DAYS	LEFLUNOMIDE # OF DAYS INDUCTION (T-CELL ACTIVATION INHIBITOR)	TRR	1996-04-01 00:00:00	2003-05-28 00:00:00		NUM		
LEFLUNOMIDE_IND	LEFLUNOMIDE INDUCTION AT TIME OF TX (T-CELL ACTIVATION INHIBITOR)	TRR	1996-04-01 00:00:00	2003-05-28 00:00:00		NUM		
LEFLUNOMIDE_MAINT	LEFLUNOMIDE MAINTENANCE AT TIME OF TX (T-CELL ACTIVATION INHIBITOR)	TRR	1996-04-01 00:00:00			NUM		
METHOTREXATE_ANTIREJ	METHOTREXATE ANTIREJECTION (ANTIMETABOLITE)	TRR	1996-04-01 00:00:00			NUM		
METHOTREXATE_DAYS	METHOTREXATE # OF DAYS INDUCTION (ANTIMETABOLITE)	TRR	1996-04-01 00:00:00	2003-05-28 00:00:00		NUM		
METHOTREXATE_IND	METHOTREXATE INDUCTION AT TIME OF TX (ANTIMETABOLITE)	TRR	1996-04-01 00:00:00	2003-05-28 00:00:00		NUM		
METHOTREXATE_MAINT	METHOTREXATE MAINTENANCE AT TIME OF TX (ANTIMETABOLITE)	TRR	1996-04-01 00:00:00	2003-05-28 00:00:00		NUM		
MIZORIBINE_ANTIREJ	MIZORIBINE ANTIREJECTION (ANTIMETABOLITE)	TRR	1996-04-01 00:00:00	2003-05-28 00:00:00		NUM		
MIZORIBINE_DAYS	MIZORIBINE # OF DAYS INDUCTION (ANTIMETABOLITE)	TRR	1996-04-01 00:00:00	2003-05-28 00:00:00		NUM		
MIZORIBINE_IND	MIZORIBINE INDUCTION AT TIME OF TX (ANTIMETABOLITE)	TRR	1996-04-01 00:00:00	2003-05-28 00:00:00		NUM		
MIZORIBINE_MAINT	MIZORIBINE MAINTENANCE AT TIME OF TX (ANTIMETABOLITE)	TRR	1996-04-01 00:00:00	2003-05-28 00:00:00		NUM		
MYFORTIC_ANTIREJ	MYFORTIC ANTIREJECTION	TRR	2002-07-31 00:00:00	2003-05-28 00:00:00		NUM		
MYFORTIC_DAYS	MYFORTIC # OF DAYS INDUCTION	TRR	2002-07-31 00:00:00	2003-05-28 00:00:00		NUM		
MYFORTIC_IND	MYFORTIC  INDUCTION	TRR	2002-07-31 00:00:00	2003-05-28 00:00:00		NUM		
MYFORTIC_MAINT	MYFORTIC  MAINTENANCE AT TIME OF TX	TRR	2002-07-31 00:00:00			NUM		
NEORAL_ANTIREJ	NEORAL ANTIREJECTION (T-CELL ACTIVATION INHIBITOR)	TRR	1996-04-01 00:00:00	2003-05-28 00:00:00		NUM		
NEORAL_DAYS	NEORAL # OF DAYS INDUCTION (T-CELL ACTIVATION INHIBITOR)	TRR	1996-04-01 00:00:00	2003-05-28 00:00:00		NUM		
NEORAL_IND	NEORAL INDUCTION AT TIME OF TX (T-CELL ACTIVATION INHIBITOR)	TRR	1996-04-01 00:00:00	2003-05-28 00:00:00		NUM		
NEORAL_MAINT	NEORAL MAINTENANCE AT TIME OF TX (T-CELL ACTIVATION INHIBITOR)	TRR	1996-04-01 00:00:00			NUM		
NRATGNRATS_ANTIREJ	NRATGNRATS ANTIREJECTION (ANTI-LYMPHOCYTE RECEPTOR ANTIBODY)	TRR	1996-04-01 00:00:00	2001-01-10 00:00:00		NUM		
NRATGNRATS_DAYS	NRATGNRATS # OF DAYS INDUCTION (ANTI-LYMPHOCYTE RECEPTOR ANTIBODY)	TRR	1996-04-01 00:00:00	2001-01-10 00:00:00		NUM		
NRATGNRATS_IND	NRATGNRATS INDUCTION AT TIME OF TX (ANTI-LYMPHOCYTE RECEPTOR ANTIBODY)	TRR	1996-04-01 00:00:00	2001-01-10 00:00:00		NUM		
NRATGNRATS_MAINT	NRATGNRATS MAINTENANCE AT TIME OF TX (ANTI-LYMPHOCYTE RECEPTOR ANTIBODY)	TRR	1996-04-01 00:00:00	2001-01-10 00:00:00		NUM		
NULOJIX_MAINT	NULOJIX  MAINTENANCE AT TIME OF TX	TRF	2011-08-10 00:00:00			NUM		
OKT3_ANTIREJ	OKT3 ANTIREJECTION (ANTI-LYMPHOCYTE RECEPTOR ANTIBODY)	TRR	1987-10-01 00:00:00			NUM		Collected as OKT3/Monoclonal until 04/01/1996. OKT3 alone after 04/01/1996.
OKT3_DAYS	OKT3 # OF DAYS INDUCTION (ANTI-LYMPHOCYTE RECEPTOR ANTIBODY)	TRR	1995-04-01 00:00:00			NUM		Collected as OKT3/Monoclonal until 04/01/1996. OKT3 alone after 04/01/1996.
OKT3_IND	OKT3 INDUCTION AT TIME OF TX (ANTI-LYMPHOCYTE RECEPTOR ANTIBODY)	TRR	1994-04-01 00:00:00			NUM		Collected as OKT3/Monoclonal until 04/01/1996. OKT3 alone after 04/01/1996.
OKT3_MAINT	OKT3 MAINTENANCE AT TIME OF TX (ANTI-LYMPHOCYTE RECEPTOR ANTIBODY)	TRR	1987-10-01 00:00:00	2003-05-28 00:00:00		NUM		Collected as OKT3/Monoclonal until 04/01/1996. OKT3 alone after 04/01/1996.
OKT4_ANTIREJ	OKT4 ANTIREJECTION (ANTI-LYMPHOCYTE RECEPTOR ANTIBODY)	TRR	1996-04-01 00:00:00	1999-10-25 00:00:00		NUM		
OKT4_DAYS	OKT4 # OF DAYS INDUCTION (ANTI-LYMPHOCYTE RECEPTOR ANTIBODY)	TRR	1996-04-01 00:00:00	1999-10-25 00:00:00		NUM		
OKT4_IND	OKT4 INDUCTION AT TIME OF TX (ANTI-LYMPHOCYTE RECEPTOR ANTIBODY)	TRR	1996-04-01 00:00:00	1999-10-25 00:00:00		NUM		
OKT4_MAINT	OKT4 MAINTENANCE AT TIME OF TX (ANTI-LYMPHOCYTE RECEPTOR ANTIBODY)	TRR	1996-04-01 00:00:00	1999-10-25 00:00:00		NUM		
OTH_DRUG_ANTIREJ1	 OTHER ANTI REJECTION MEDICATION1 (OTHER IMMUNOSUPPRESSIVE MEDICATION)	TRR	1987-10-01 00:00:00			NUM		
OTH_DRUG_ANTIREJ2	 OTHER ANTI REJECTION MEDICATION2 (OTHER IMMUNOSUPPRESSIVE MEDICATION)	TRR	1987-10-01 00:00:00			NUM		
OTH_DRUG_DAYS1	 OTHER DRUG1 # OF DAYS (OTHER IMMUNOSUPPRESSIVE MEDICATION)	TRR	1995-04-01 00:00:00			NUM		
OTH_DRUG_DAYS2	 OTHER DRUG2 # OF DAYS (OTHER IMMUNOSUPPRESSIVE MEDICATION)	TRR	1996-04-01 00:00:00			NUM		
OTH_DRUG_IND1	 OTHER DRUG1 INDUCTION (OTHER IMMUNOSUPPRESSIVE MEDICATION)	TRR	1994-04-01 00:00:00			NUM		
OTH_DRUG_IND2	 OTHER DRUG2 INDUCTION (OTHER IMMUNOSUPPRESSIVE MEDICATION)	TRR	1994-04-01 00:00:00			NUM		
OTH_DRUG_MAINT1	 OTHER DRUG1 MAINTENANCE AT TIME OF TX (OTHER IMMUNOSUPPRESSIVE MEDICATION)	TRR	1987-10-01 00:00:00			NUM		
OTH_DRUG_MAINT2	 OTHER DRUG2 MAINTENANCE AT TIME OF TX (OTHER IMMUNOSUPPRESSIVE MEDICATION)	TRR	1994-04-01 00:00:00			NUM		
PROGRAF_ANTIREJ	PROGRAF ANTIREJECTION (ANTIMETABOLITE)	TRR	1996-04-01 00:00:00	2003-05-28 00:00:00		NUM		
PROGRAF_DAYS	PROGRAF # OF DAYS INDUCTION (ANTIMETABOLITE)	TRR	1996-04-01 00:00:00	2003-05-28 00:00:00		NUM		
PROGRAF_IND	PROGRAF INDUCTION AT TIME OF TX (ANTIMETABOLITE)	TRR	1996-04-01 00:00:00	2003-05-28 00:00:00		NUM		
PROGRAF_MAINT	PROGRAF MAINTENANCE AT TIME OF TX (ANTIMETABOLITE)	TRR	1996-04-01 00:00:00			NUM		
RAPAMUNE_ANTIREJ	RAPAMUNE ANTIREJECTION (T-CELL ACTIVATION INHIBITOR)	TRR	1996-04-01 00:00:00	2003-05-28 00:00:00		NUM		collected as RAPAMYCIN till 3/31/2015
RAPAMUNE_DAYS	RAPAMUNE # OF DAYS INDUCTION (T-CELL ACTIVATION INHIBITOR)	TRR	1996-04-01 00:00:00			NUM		collected as RAPAMYCIN till 3/31/2015
RAPAMUNE_IND	RAPAMUNE INDUCTION AT TIME OF TX (T-CELL ACTIVATION INHIBITOR)	TRR	1996-04-01 00:00:00			NUM		collected as RAPAMYCIN till 3/31/2015
RAPAMUNE_MAINT	RAPAMUNE MAINTENANCE AT TIME OF TX (T-CELL ACTIVATION INHIBITOR)	TRR	1996-04-01 00:00:00			NUM		collected as RAPAMYCIN till 3/31/2015
RITUXAN_ANTIREJ	RITUXAN ANTIREJECTION	TRR	2005-12-07 00:00:00			NUM		collected as RITUXIMAB till 3/31/2015
RITUXAN_DAYS	RITUXAN # OF DAYS INDUCTION	TRR	2005-12-07 00:00:00			NUM		collected as RITUXIMAB till 3/31/2015
RITUXAN_IND	RITUXAN  INDUCTION	TRR	2005-12-07 00:00:00			NUM		collected as RITUXIMAB till 3/31/2015
SANDIMMUNE_ANTIREJ	SANDIMMUNE ANTIREJECTION (T-CELL ACTIVATION INHIBITOR)	TRR	1999-10-25 00:00:00	2003-05-28 00:00:00		NUM		Also known and collected as Cyclosporin A.
