"STAR Table Name: THORACIC_STAT3
Variable Names in red font denote that field has important information in the Comment field

The data files created based on data as of 4/5/2024 will include data for registrations added and/or transplants occurring through 03/31/2024"	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8
PRIM_IMPLANTDT	Primary Device - Date of Implant/Initiation	Adult Heart Status 3 Justification Form				NUM		
PRIM_IMPLANTTIME	Primary Device - Time of Implant/Initiation	Adult Heart Status 3 Justification Form				CHAR(5)		
PRIM_PERCUBRANDID	Primary Device - Device Brand - Percutaneous Brand	Adult Heart Status 3 Justification Form				NUM	VADBRAND	
PRIM_TAHBRANDID	Primary Device - Device Brand - TAH Brand	Adult Heart Status 3 Justification Form				NUM	VADBRAND	
PRIM_VADBRANDID	Primary Device - Device Brand - VAD Brand	Adult Heart Status 3 Justification Form				NUM	VADBRAND	
PRIM_VENTRICULARSUPPORTID	Primary Device - Ventricle Support	Adult Heart Status 3 Justification Form				NUM	VENTRIC	
SEC_DEVICETYPEID	Secondary Device	Adult Heart Status 3 Justification Form				NUM	VADDEVTY	
SEC_IMPLANTDT	Secondary Device - Date of Implant/Initiation	Adult Heart Status 3 Justification Form				NUM		
SEC_PERCUBRANDID	Secondary Device - Device Brand - Percutaneous Brand	Adult Heart Status 3 Justification Form				NUM	VADBRAND	
SEC_TAHBRANDID	Secondary Device - Device Brand - TAH Brand	Adult Heart Status 3 Justification Form				NUM	VADBRAND	
SEC_VADBRANDID	Secondary Device - Device Brand - VAD Brand	Adult Heart Status 3 Justification Form				NUM	VADBRAND	
SEC_VENTRICULARSUPPORTID	Secondary Device - Ventricle Support	Adult Heart Status 3 Justification Form				NUM	VENTRIC	
UNOS_CAND_STAT_CD	MELD/PELD Allocation Score or Status Code, Different than Lab Score in Cases of Exceptions and Status 1					NUM	STAT	
UNOS_CAND_STAT_DT	MELD/PELD Allocation Score or Status Code, Different than Lab Score in Cases of Exceptions and Status 1 Date					NUM		
WL_ID_CODE	Encrypted Registration Identifier					NUM		
WLREG_AUDIT_ID_CODE	Encrypted WLREG_AUDIT_ID for Linkage to Other Data					NUM		
