"STAR Table Name: THORACIC_FOLLOWUP_DATA
Variable Names in red font denote that field has important information in the Comment field

The data files created based on data as of 4/5/2024 will include data for registrations added and/or transplants occurring through 03/31/2024"	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9
IMMUNO_MAINT_MED	Any Medications Given during follow-up for Maintenance or Anti-Rejection?	THF	1999-10-25 00:00:00		Treatment	NUM	IMMUNOMAINTMED		
MEASUREMENT_DATE	Date of Weight and Height Measurment (PEDS only)	THF	2008-03-08 00:00:00		CLINICAL INFORMATION	NUM			YES (FOR PEDS)
MEASUREMENT_DT_HT	Date of Height Measurment (PEDS ONLY)	THF	2022-08-30 00:00:00		CLINICAL INFORMATION				YES (FOR PEDS)
MEASUREMENT_DT_WT	Date of Weight Measurment (PEDS ONLY)	THF	2022-08-30 00:00:00		CLINICAL INFORMATION				YES (FOR PEDS)
MOTOR_DEV	Motor Development (PEDS only)	THF	2008-03-08 00:00:00		Patient Status	NUM	MOTOR_DEV		YES (FOR PEDS)
O2_REQ	Lung Graft Status --- Oxygen Requirement (L/min) at rest at the time of Follow-up	THF	1994-04-01 00:00:00		CLINICAL INFORMATION	NUM			
PACE	Heart Graft Status --- Permanent Pacemaker Inserted since Last Follow-up	THF	1994-04-01 00:00:00		CLINICAL INFORMATION	CHAR(1)			
PERM_STATE	Recipient Permanent Residential State	THF	2003-01-27 00:00:00		Recipient Information	CHAR(2)	STATE		YES
PRI_PAYMENT	RECIPIENT PRIMARY SOURCE OF PAYMENT	THF	2004-06-30 00:00:00		Patient Status at Time of Follow-Up	NUM	PRIMPAY		
PRI_PAYMENT_CTRY	RECIPIENT FOREIGN GOV'T AS SECONDARY PAYMENT SOURCE	THF	2004-06-30 00:00:00		Patient Status at Time of Follow-Up	CHAR(3)			
PT_CODE	ENCRYPTED RECIPIENT IDENTIFIER	CALCULATED				NUM			
PX_STAT	Recipient Status at Time of Follow-Up(Died, ReTX, Lost, Not Seen, Alive)	THF	1990-10-01 00:00:00		Patient Status at Time of Follow-Up	CHAR(1)	PXSTAT		YES
PX_STAT_DATE	Recipient Status Date at Time of Follow-Up	THF	1990-10-01 00:00:00		Patient Status at Time of Follow-Up	NUM			YES
RENAL_TX	Post Transplant Events since Last Follow-up --- If Renal Dysfunction, Renal Transplant since Thoracic Transplant?	THF	1994-04-01 00:00:00		CLINICAL INFORMATION	CHAR(1)			
RETXDATE	DATE OF RE-TRANSPLANT	CALCULATED	1987-10-01 00:00:00			NUM			
SHFRAC	Shortening Fraction	THF	2004-06-30 00:00:00		CLINICAL INFORMATION	NUM			
STATUS_TRF	TRF Form Status	THF				CHAR(1)	FRMSTAT		
STENT	Lung Graft Status --- If Bronchial Stricture since Last Follow-up, Stent inserted?	THF	1994-04-01 00:00:00		CLINICAL INFORMATION	CHAR(1)			
TITERA	TRR/TRF PEDIATRIC POST-TRANSPLANT MOST RECENT ANTI-A TITER	TRR/TRF	2008-03-01 00:00:00		CLINICAL INFORMATION	NUM			
TITERA_DATE	TRR/TRF SAMPLE DATE OF PEDIATRIC POST-TRANSPLANT MOST RECENT ANTI-A TITER	TRR/TRF	2008-03-01 00:00:00		CLINICAL INFORMATION	NUM			
TITERB	TRR/TRF PEDIATRIC POST-TRANSPLANT MOST RECENT ANTI-B TITER	TRR/TRF	2008-03-01 00:00:00		CLINICAL INFORMATION	NUM			
TITERB_DATE	TRR/TRF SAMPLE DATE OF PEDIATRIC POST-TRANSPLANT MOST RECENT ANTI-B TITER	TRR/TRF	2008-03-01 00:00:00		CLINICAL INFORMATION	NUM			
TRR_FOL_ID_CODE	ENCRYPTED FOLLOW-UP IDENTIFIER	CALCULATED				CHAR(15)			
TRR_ID_CODE	ENCRYPTED TRANSPLANT IDENTIFIER	CALCULATED				CHAR(15)			
TRT_REJ	Patient Treated for Rejection (Y/N/U) during Follow-Up Period	THF	2003-01-27 00:00:00	2004-06-30 00:00:00	CLINICAL INFORMATION	CHAR(1)			
TRT_REJ_NUM	Number of Rejection Events during Follow-Up Period	THF	2003-01-27 00:00:00	2004-06-30 00:00:00	CLINICAL INFORMATION	NUM			
VAL_DT_TRF	TRF Validation Date	THF				NUM			
WGT_KG	Recipient Weight in Kilograms at Follow-Up (COLLECTED FOR PEDS ONLY SINCE 1/1/2007)	THF	1990-10-01 00:00:00	2007-01-01 00:00:00	CLINICAL INFORMATION	NUM			YES (FOR PEDS)
WORK_INCOME	RECIPIENT WORK FOR INCOME?	THF	2004-06-30 00:00:00		Patient Status at Time of Follow-Up	CHAR(1)			
