"STAR Table Name: THORACIC_IMMUNO_FOLLOWUP_DATA
Variable Names in red font denote that field has important information in the Comment field

The data files created based on data as of 4/5/2024 will include data for registrations added and/or transplants occurring through 03/31/2024"	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8
DEOXYSPERGUALIN_MAINT_CUR	DEOXYSPERGUALIN CURRENT MAINTENANCE AT TIME OF FOLLOWUP (T-CELL ACTIVATION INHIBITOR)	TRF	1999-10-25 00:00:00	2003-05-28 00:00:00		NUM		All maint data collected prior to 10/25/99 was converted into maint_prev.
DEOXYSPERGUALIN_MAINT_PREV	DEOXYSPERGUALIN MAINTENANCE BETWEEN LAST FOLLOWUP AND THIS FOLLOWUP (T-CELL ACTIVATION INHIBITOR)	TRF	1996-04-01 00:00:00	2003-05-28 00:00:00		NUM		All maint data collected prior to 10/25/99 was converted into maint_prev.
ENVARSUSXR_ANTIREJ	ENVARSUS XR ANTIREJECTION (TACROLIMUS)	TRR	2018-05-23 00:00:00			NUM		
ENVARSUSXR_MAINT_CUR	ENVARSUS XR CURRENT MAINTENANCE AT TIME OF FOLLOWUP (TACROLIMUS)	TRR	2018-05-23 00:00:00			NUM		
ENVARSUSXR_MAINT_PREV	ENVARSUS XR MAINTENANCE BETWEEN LAST FOLLOWUP AND THIS FOLLOWUP (TACROLIMUS)	TRR	2018-05-23 00:00:00			NUM		
EON_ANTIREJ	EON ANTIREJECTION (T-CELL ACTIVATION INHIBITOR)	TRF	2001-11-09 00:00:00	2003-05-28 00:00:00		NUM		
EON_MAINT_CUR	EON CURRENT MAINTENANCE AT TIME OF FOLLOWUP (T-CELL ACTIVATION INHIBITOR)	TRF	2001-11-09 00:00:00			NUM		All maint data collected prior to 10/25/99 was converted into maint_prev.
EON_MAINT_PREV	EON MAINTENANCE BETWEEN LAST FOLLOWUP AND THIS FOLLOWUP (T-CELL ACTIVATION INHIBITOR)	TRF	2001-11-09 00:00:00			NUM		All maint data collected prior to 10/25/99 was converted into maint_prev.
FTY720_ANTIREJ	FTY720 ANTIREJECTION 	TRF	2003-05-28 00:00:00	2004-06-30 00:00:00		NUM		
FTY720_MAINT_CUR	FTY720 CURRENT MAINTENANCE AT TIME OF FOLLOWUP 	TRF	1999-10-25 00:00:00			NUM		All maint data collected prior to 10/25/99 was converted into maint_prev.
FTY720_MAINT_PREV	FTY720 MAINTENANCE BETWEEN LAST FOLLOWUP AND THIS FOLLOWUP 	TRF	2003-05-28 00:00:00			NUM		All maint data collected prior to 10/25/99 was converted into maint_prev.
GENERICCYCLOSPORIN_ANTIREJ	GENERICCYCLOSPORIN ANTIREJECTION 	TRF	2003-04-12 00:00:00	2003-05-28 00:00:00		NUM		
GENERICCYCLOSPORIN_MAINT_CUR	GENERICCYCLOSPORIN CURRENT MAINTENANCE AT TIME OF FOLLOWUP 	TRF	1999-10-25 00:00:00			NUM		All maint data collected prior to 10/25/99 was converted into maint_prev.
GENERICCYCLOSPORIN_MAINT_PREV	GENERICCYCLOSPORIN MAINTENANCE BETWEEN LAST FOLLOWUP AND THIS FOLLOWUP 	TRF	2003-04-12 00:00:00			NUM		All maint data collected prior to 10/25/99 was converted into maint_prev.
GENERICMMF_MAINT_CUR	GENERICMMF CURRENT MAINTENANCE AT TIME OF FOLLOWUP 	TRF	2009-12-02 00:00:00			NUM		
GENERICMMF_MAINT_PREV	GENERICMMF MAINTENANCE BETWEEN LAST FOLLOWUP AND THIS FOLLOWUP 	TRF	2009-12-02 00:00:00			NUM		
GENERICMYFORTIC_ANTIREJ	GENERIC MYFORTIC ANTIREJECTION (MYCOPHENOLIC ACID)	TRR	2018-05-23 00:00:00			NUM		
GENERICMYFORTIC_MAINT_CUR	GENERIC MYFORTIC CURRENT MAINTENANCE AT TIME OF FOLLOWUP (MYCOPHENOLIC ACID)	TRR	2018-05-23 00:00:00			NUM		
GENERICMYFORTIC_MAINT_PREV	GENERIC MYFORTIC MAINTENANCE BETWEEN LAST FOLLOWUP AND THIS FOLLOWUP (MYCOPHENOLIC ACID)	TRR	2018-05-23 00:00:00			NUM		
GENERICSIROLIMUS_ANTIREJ	GENERIC SIROLIMUS ANTIREJECTION (MTOR INHIBITORS)	TRR	2018-05-23 00:00:00			NUM		
GENERICSIROLIMUS_MAINT_CUR	GENERIC SIROLIMUS CURRENT MAINTENANCE AT TIME OF FOLLOWUP (MTOR INHIBITORS)	TRR	2018-05-23 00:00:00			NUM		
GENERICSIROLIMUS_MAINT_PREV	GENERIC SIROLIMUS MAINTENANCE BETWEEN LAST FOLLOWUP AND THIS FOLLOWUP (MTOR INHIBITORS)	TRR	2018-05-23 00:00:00			NUM		
GENERICTACROLIMUS_MAINT_CUR	GENERICTACROLIMUS CURRENT MAINTENANCE AT TIME OF FOLLOWUP 	TRF	2009-12-02 00:00:00			NUM		
GENERICTACROLIMUS_MAINT_PREV	GENERICTACROLIMUS MAINTENANCE BETWEEN LAST FOLLOWUP AND THIS FOLLOWUP 	TRF	2009-12-02 00:00:00			NUM		
GENGRAF_ANTIREJ	GENGRAF ANTIREJECTION (T-CELL ACTIVATION INHIBITOR)	TRF	2001-01-10 00:00:00	2003-05-28 00:00:00		NUM		
GENGRAF_MAINT_CUR	GENGRAF CURRENT MAINTENANCE AT TIME OF FOLLOWUP (T-CELL ACTIVATION INHIBITOR)	TRF	2001-01-10 00:00:00			NUM		All maint data collected prior to 10/25/99 was converted into maint_prev.
GENGRAF_MAINT_PREV	GENGRAF MAINTENANCE BETWEEN LAST FOLLOWUP AND THIS FOLLOWUP (T-CELL ACTIVATION INHIBITOR)	TRF	2001-01-10 00:00:00			NUM		All maint data collected prior to 10/25/99 was converted into maint_prev.
IL1RECEPTORANTAGONIST_ANTIREJ	IL1RECEPTORANTAGONIST ANTIREJECTION (CYTOKINE INHIBITOR)	TRF	1996-04-01 00:00:00	2003-05-28 00:00:00		NUM		
IL1RECEPTORANTAGONIST_MAINT_CUR	IL1RECEPTORANTAGONIST CURRENT MAINTENANCE AT TIME OF FOLLOWUP (CYTOKINE INHIBITOR)	TRF	1999-10-25 00:00:00	2003-05-28 00:00:00		NUM		All maint data collected prior to 10/25/99 was converted into maint_prev.
IL1RECEPTORANTAGONIST_MAINT_PREV	IL1RECEPTORANTAGONIST MAINTENANCE BETWEEN LAST FOLLOWUP AND THIS FOLLOWUP (CYTOKINE INHIBITOR)	TRF	1996-04-01 00:00:00	2003-05-28 00:00:00		NUM		All maint data collected prior to 10/25/99 was converted into maint_prev.
IMURAN_ANTIREJ	IMURAN ANTIREJECTION (ANTIMETABOLITE)	TRF	1987-10-01 00:00:00	2003-05-28 00:00:00		NUM		collected as AZATHIOPRINE till 3/31/2015
IMURAN_MAINT_CUR	IMURAN CURRENT MAINTENANCE AT TIME OF FOLLOWUP (ANTIMETABOLITE)	TRF	1999-10-25 00:00:00			NUM		All maint data collected prior to 10/25/99 was converted into maint_prev. collected as AZATHIOPRINE till 3/31/2015
IMURAN_MAINT_PREV	IMURAN MAINTENANCE BETWEEN LAST FOLLOWUP AND THIS FOLLOWUP (ANTIMETABOLITE)	TRF	1987-10-01 00:00:00			NUM		All maint data collected prior to 10/25/99 was converted into maint_prev. collected as AZATHIOPRINE till 3/31/2015
LEFLUNOMIDE_ANTIREJ	LEFLUNOMIDE ANTIREJECTION (T-CELL ACTIVATION INHIBITOR)	TRF	1996-04-01 00:00:00	2003-05-28 00:00:00		NUM		
LEFLUNOMIDE_MAINT_CUR	LEFLUNOMIDE CURRENT MAINTENANCE AT TIME OF FOLLOWUP (T-CELL ACTIVATION INHIBITOR)	TRF	1999-10-25 00:00:00			NUM		All maint data collected prior to 10/25/99 was converted into maint_prev.
LEFLUNOMIDE_MAINT_PREV	LEFLUNOMIDE MAINTENANCE BETWEEN LAST FOLLOWUP AND THIS FOLLOWUP (T-CELL ACTIVATION INHIBITOR)	TRF	1996-04-01 00:00:00			NUM		All maint data collected prior to 10/25/99 was converted into maint_prev.
METHOTREXATE_ANTIREJ	METHOTREXATE ANTIREJECTION (ANTIMETABOLITE)	TRF	1996-04-01 00:00:00			NUM		
METHOTREXATE_MAINT_CUR	METHOTREXATE CURRENT MAINTENANCE AT TIME OF FOLLOWUP (ANTIMETABOLITE)	TRF	1999-10-25 00:00:00	2003-05-28 00:00:00		NUM		All maint data collected prior to 10/25/99 was converted into maint_prev.
METHOTREXATE_MAINT_PREV	METHOTREXATE MAINTENANCE BETWEEN LAST FOLLOWUP AND THIS FOLLOWUP (ANTIMETABOLITE)	TRF	1996-04-01 00:00:00	2003-05-28 00:00:00		NUM		All maint data collected prior to 10/25/99 was converted into maint_prev.
MIZORIBINE_ANTIREJ	MIZORIBINE ANTIREJECTION (ANTIMETABOLITE)	TRF	1996-04-01 00:00:00	2003-05-28 00:00:00		NUM		
MIZORIBINE_MAINT_CUR	MIZORIBINE CURRENT MAINTENANCE AT TIME OF FOLLOWUP (ANTIMETABOLITE)	TRF	1999-10-25 00:00:00	2003-05-28 00:00:00		NUM		All maint data collected prior to 10/25/99 was converted into maint_prev.
MIZORIBINE_MAINT_PREV	MIZORIBINE MAINTENANCE BETWEEN LAST FOLLOWUP AND THIS FOLLOWUP (ANTIMETABOLITE)	TRF	1996-04-01 00:00:00	2003-05-28 00:00:00		NUM		All maint data collected prior to 10/25/99 was converted into maint_prev.
MYFORTIC_ANTIREJ	MYFORTIC ANTIREJECTION (T-CELL ACTIVATION INHIBITOR)	TRF	2002-07-31 00:00:00	2003-05-28 00:00:00		NUM		
MYFORTIC_MAINT_CUR	MYFORTIC CURRENT MAINTENANCE AT TIME OF FOLLOWUP (T-CELL ACTIVATION INHIBITOR)	TRF	2002-07-31 00:00:00			NUM		All maint data collected prior to 10/25/99 was converted into maint_prev.
MYFORTIC_MAINT_PREV	MYFORTIC MAINTENANCE BETWEEN LAST FOLLOWUP AND THIS FOLLOWUP (T-CELL ACTIVATION INHIBITOR)	TRF	2002-07-31 00:00:00			NUM		All maint data collected prior to 10/25/99 was converted into maint_prev.
NEORAL_ANTIREJ	NEORAL ANTIREJECTION (T-CELL ACTIVATION INHIBITOR)	TRF	1996-04-01 00:00:00	2003-05-28 00:00:00		NUM		
NEORAL_MAINT_CUR	NEORAL CURRENT MAINTENANCE AT TIME OF FOLLOWUP (T-CELL ACTIVATION INHIBITOR)	TRF	1999-10-25 00:00:00			NUM		All maint data collected prior to 10/25/99 was converted into maint_prev.
NEORAL_MAINT_PREV	NEORAL MAINTENANCE BETWEEN LAST FOLLOWUP AND THIS FOLLOWUP (T-CELL ACTIVATION INHIBITOR)	TRF	1996-04-01 00:00:00			NUM		All maint data collected prior to 10/25/99 was converted into maint_prev.
NRATGNRATS_ANTIREJ	NRATGNRATS ANTIREJECTION (ANTI-LYMPHOCYTE RECEPTOR ANTIBODY)	TRF	1996-04-01 00:00:00	2001-01-10 00:00:00		NUM		
NRATGNRATS_MAINT_CUR	NRATGNRATS CURRENT MAINTENANCE AT TIME OF FOLLOWUP (ANTI-LYMPHOCYTE RECEPTOR ANTIBODY)	TRF	1999-10-25 00:00:00	2001-01-10 00:00:00		NUM		All maint data collected prior to 10/25/99 was converted into maint_prev.
NRATGNRATS_MAINT_PREV	NRATGNRATS MAINTENANCE BETWEEN LAST FOLLOWUP AND THIS FOLLOWUP (ANTI-LYMPHOCYTE RECEPTOR ANTIBODY)	TRF	1996-04-01 00:00:00	2001-01-10 00:00:00		NUM		All maint data collected prior to 10/25/99 was converted into maint_prev.
NULOJIX_MAINT_CUR	NULOJIX CURRENT MAINTENANCE AT TIME OF FOLLOWUP 	TRF	2011-08-10 00:00:00			NUM		
NULOJIX_MAINT_PREV	NULOJIX MAINTENANCE BETWEEN LAST FOLLOWUP AND THIS FOLLOWUP 	TRF	2011-08-10 00:00:00			NUM		
OKT3_ANTIREJ	OKT3 ANTIREJECTION (ANTI-LYMPHOCYTE RECEPTOR ANTIBODY)	TRF	1987-10-01 00:00:00			NUM		Collected as OKT3/Monoclonal until 04/01/1996. OKT3 alone after 04/01/1996.
OKT3_MAINT_CUR	OKT3 CURRENT MAINTENANCE AT TIME OF FOLLOWUP (ANTI-LYMPHOCYTE RECEPTOR ANTIBODY)	TRF	1999-10-25 00:00:00	2003-05-28 00:00:00		NUM		All maint data collected prior to 10/25/99 was converted into maint_prev.
OKT3_MAINT_PREV	OKT3 MAINTENANCE BETWEEN LAST FOLLOWUP AND THIS FOLLOWUP (ANTI-LYMPHOCYTE RECEPTOR ANTIBODY)	TRF	1987-10-01 00:00:00	2003-05-28 00:00:00		NUM		All maint data collected prior to 10/25/99 was converted into maint_prev. Collected as OKT3/Monoclonal until 04/01/1996. OKT3 alone after 04/01/1996.
OKT4_ANTIREJ	OKT4 ANTIREJECTION (ANTI-LYMPHOCYTE RECEPTOR ANTIBODY)	TRF	1996-04-01 00:00:00	1999-10-25 00:00:00		NUM		
OKT4_MAINT_CUR	OKT4 CURRENT MAINTENANCE AT TIME OF FOLLOWUP (ANTI-LYMPHOCYTE RECEPTOR ANTIBODY)	TRF	1999-10-25 00:00:00	1999-10-25 00:00:00		NUM		All maint data collected prior to 10/25/99 was converted into maint_prev.
OKT4_MAINT_PREV	OKT4 MAINTENANCE BETWEEN LAST FOLLOWUP AND THIS FOLLOWUP (ANTI-LYMPHOCYTE RECEPTOR ANTIBODY)	TRF	1996-04-01 00:00:00	1999-10-25 00:00:00		NUM		All maint data collected prior to 10/25/99 was converted into maint_prev.
OTH_DRUG_ANTIREJ1	OTHER ANTI REJECTION MEDICATION1 (OTHER IMMUNOSUPPRESSIVE MEDICATION)	TRF	1987-10-01 00:00:00			NUM		
OTH_DRUG_ANTIREJ2	OTHER ANTI REJECTION MEDICATION2 (OTHER IMMUNOSUPPRESSIVE MEDICATION)	TRF	1987-10-01 00:00:00			NUM		
OTH_DRUG_MAINTCUR1	OTHER DRUG1 CURRENT MAINTENANCE AT TIME OF FOLLOWUP (OTHER IMMUNOSUPPRESSIVE MEDICATION)	TRF	1999-10-25 00:00:00			NUM		
OTH_DRUG_MAINTCUR2	OTHER DRUG2 CURRENT MAINTENANCE AT TIME OF FOLLOWUP (OTHER IMMUNOSUPPRESSIVE MEDICATION)	TRF	1999-10-25 00:00:00			NUM		
OTH_DRUG_MAINTPREV1	OTHER DRUG1 MAINTENANCE BETWEEN LAST FOLLOWUP AND THIS FOLLOWUP (OTHER IMMUNOSUPPRESSIVE MEDICATION)	TRF	1987-10-01 00:00:00			NUM		
OTH_DRUG_MAINTPREV2	OTHER DRUG2 MAINTENANCE BETWEEN LAST FOLLOWUP AND THIS FOLLOWUP (OTHER IMMUNOSUPPRESSIVE MEDICATION)	TRF	1987-10-01 00:00:00			NUM		
PROGRAF_ANTIREJ	PROGRAF ANTIREJECTION (ANTIMETABOLITE)	TRF	1996-04-01 00:00:00	2003-05-28 00:00:00		NUM		
PROGRAF_MAINT_CUR	PROGRAF CURRENT MAINTENANCE AT TIME OF FOLLOWUP (ANTIMETABOLITE)	TRF	1999-10-25 00:00:00			NUM		All maint data collected prior to 10/25/99 was converted into maint_prev.
PROGRAF_MAINT_PREV	PROGRAF MAINTENANCE BETWEEN LAST FOLLOWUP AND THIS FOLLOWUP (ANTIMETABOLITE)	TRF	1996-04-01 00:00:00			NUM		All maint data collected prior to 10/25/99 was converted into maint_prev.
PX_STAT_DATE_FOL	Recipient Status Date at Time of Follow-Up	TRF	1987-10-01 00:00:00			NUM		TRF PATIENT STATUS DATE
RAPAMUNE_ANTIREJ	RAPAMUNE ANTIREJECTION (T-CELL ACTIVATION INHIBITOR)	TRF	1996-04-01 00:00:00	2003-05-28 00:00:00		NUM		collected as RAPAMYCIN till 3/31/2015
RAPAMUNE_MAINT_CUR	RAPAMUNE CURRENT MAINTENANCE AT TIME OF FOLLOWUP (T-CELL ACTIVATION INHIBITOR)	TRF	1999-10-25 00:00:00			NUM		All maint data collected prior to 10/25/99 was converted into maint_prev. collected as RAPAMYCIN till 3/31/2015
RAPAMUNE_MAINT_PREV	RAPAMUNE MAINTENANCE BETWEEN LAST FOLLOWUP AND THIS FOLLOWUP (T-CELL ACTIVATION INHIBITOR)	TRF	1996-04-01 00:00:00			NUM		All maint data collected prior to 10/25/99 was converted into maint_prev. collected as RAPAMYCIN till 3/31/2015
RITUXAN_ANTIREJ	RITUXAN ANTIREJECTION 	TRF	2005-12-07 00:00:00			NUM		collected as RITUXIMAB till 3/31/2015
