"STAR Table Name: KIDPAN_FOLLOWUP_DATA
Variable Names in red font denote that field has important information in the Comment field

The data files created based on data as of 4/5/2024 will include data for registrations added and/or transplants occurring through 03/31/2024"	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9
COD3	Recipient Contributory Cause of Death	KPF	2004-06-30 00:00:00		Patient Status at Time of Follow-Up	NUM	ALL_COD		
COGNITIVE_DEV	COGNITIVE DEVELOPMENT (PEDS ONLY)	KPF	2008-03-01 00:00:00		Patient Status at Time of Follow-Up	NUM	COGNITIVE_DEV		YES (FOR PEDS)
COMPL_ABSC	Pancreas Transplant Complications Occurred during Follow-Up Period - Abcess or Local Infection	KPF	2003-01-27 00:00:00		CLINICAL INFORMATION	CHAR(1)			
COMPL_ANASLK	Pancreas Transplant Complications Occurred during Follow-Up Period - Anastomotic Leak	KPF	2003-01-27 00:00:00		CLINICAL INFORMATION	CHAR(1)			
COMPL_PANCREA	Pancreas Transplant Complications Occurred during Follow-Up Period - Pancreatitis	KPF	2003-01-27 00:00:00		CLINICAL INFORMATION	CHAR(1)			
CORART	Coronary Artery Disease at the time of Follow-up	KPF	2008-03-01 00:00:00		CLINICAL INFORMATION	CHAR(1)			YES (FOR PEDS)
CREAT	If Graft Functioning/Most Recent Serum Creatinine(mg/dl)	KPF	2003-01-27 00:00:00		CLINICAL INFORMATION	NUM			YES
DIABETES_DURING	Recipient Diabetes During Followup Period?	KIF	2004-06-30 00:00:00		CLINICAL INFORMATION	CHAR(1)			
DIAL_TY	Any Dialysis Since Last Follow-Up	KPF	2003-01-27 00:00:00		CLINICAL INFORMATION	NUM	MNTDIAL		
ENTERIC_DRAIN	Conversion From Bladder to Enteric Drainage Performed	KPF	2003-01-27 00:00:00		CLINICAL INFORMATION	CHAR(1)			
ENTERIC_DRAIN_DATE	Date of Conversion From Bladder to Enteric Drainage Performed	KPF	2003-01-27 00:00:00		CLINICAL INFORMATION	NUM			
FOL_CD	Follow-up Code	KPF				NUM	FOLCD		
FOL_CTR_CODE	Follow-up Center - Encrypted	KPF				CHAR(7)			
FRAC_EXTREM	Specify Location and Number of Fractures (PEDS ONLY)	KPF	2008-03-01 00:00:00		CLINICAL INFORMATION	NUM			
FRAC_EXTREM_NUM	Extremity Number of Fractures  (PEDS ONLY)	KPF	2008-03-01 00:00:00		CLINICAL INFORMATION	NUM			
FRAC_OTHER	Specify Location and Number of Fractures Other  (PEDS ONLY)	KPF	2008-03-01 00:00:00		CLINICAL INFORMATION	NUM			
FRAC_OTHER_NUM	Other Number of Fractures  (PEDS ONLY)	KPF	2008-03-01 00:00:00		CLINICAL INFORMATION	NUM			
FRAC_PASTYR	Fracture in past year or since last followup  (PEDS ONLY)	KPF	2008-03-01 00:00:00		CLINICAL INFORMATION	CHAR(1)			
FRAC_SPINE	Specify Location and Number of Fractures Spine-compression (PEDS ONLY)	KPF	2008-03-01 00:00:00		CLINICAL INFORMATION	NUM			
FRAC_SPINE_NUM	Spine Compression Number of Fractures (PEDS ONLY)	KPF	2008-03-01 00:00:00		CLINICAL INFORMATION	NUM			
FUNC_STAT	Functional Status at Follow-Up	KPF	2003-01-27 00:00:00		Patient Status at Time of Follow-Up	NUM	FUNCSTAT		YES (FOR PEDS)
GRF_FAIL_CAUSE_TY_KI	Primary Cause of Kidney Graft Failure	KPF	2003-01-27 00:00:00		CLINICAL INFORMATION	NUM	GRFAILKI		YES
GRF_FAIL_CAUSE_TY_PA	Primary Cause of Pancreas Graft Failure	KPF	2003-01-27 00:00:00		CLINICAL INFORMATION	NUM	GRFAILPA		YES
GRF_FAIL_DATE_KI	Date of Kidney Graft Failure	KPF	2003-01-27 00:00:00		CLINICAL INFORMATION	NUM			YES
GRF_FAIL_DATE_PA	Date of Pancreas Graft Failure	KPF	2003-01-27 00:00:00		CLINICAL INFORMATION	NUM			YES
GRF_STAT_KI	Kidney Graft Status at Time of Follow-Up (Y=Functioning; N=Failed)	KPF	2003-01-27 00:00:00		CLINICAL INFORMATION	CHAR(1)	GRFSTAT		YES
GRF_STAT_PA	Pancreas Graft Status at Time of Follow-Up (Y=Functioning; P=Partial Function; N=Failed)	KPF	2003-01-27 00:00:00		CLINICAL INFORMATION	CHAR(1)	GRFSTAT		YES
GRF_VASC_THROMB_PA	Contributory Cause of Pancreas Graft Failure --- Graft/Vascular Thrombosis	KPF	2003-01-27 00:00:00		CLINICAL INFORMATION	CHAR(1)			YES
GROWTH_HORMONE	Is Growth hormone therapy used during this followup period (PEDS ONLY)	KPF	2008-03-01 00:00:00		CLINICAL INFORMATION	CHAR(1)			
HBA1C	HBA1C	TRR/TRF	2018-02-28 00:00:00		CLINICAL INFORMATION	NUM			
HBA1C_I	HBA1C ST=	TRR/TRF	2018-02-28 00:00:00		CLINICAL INFORMATION	CHAR(1)			
HBSAG	Recipient Serology Result at the Follow-Up --- HbsAg	KPF	2015-03-31 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT		
HBV_CORE	Recipient Serology Result at the Follow-Up --- HBV CORE ANTIBODY	KPF	2015-03-31 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT		
HBV_DNA	Recipient Serology Result at the Follow-Up --- HBV DNA	KPF	2015-03-31 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT		
HCV_NAT	Recipient Serology Result at the Follow-Up --- HCV NAT	KPF	2015-03-31 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT		
HCV_SEROLOGY	Recipient Serology Result at the Follow-Up --- HCV SEROLOGY	KPF	2015-03-31 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT		
HGT_CM	Recipient Height in Centimeters at Follow-Up (COLLECTED ON PEDS ONLY SINCE 1/1/2007)	KPF	2003-01-27 00:00:00	2007-01-01 00:00:00	CLINICAL INFORMATION	NUM			YES (FOR PEDS)
HIV_NAT	HIV_NAT	KPF	2015-03-31 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT		
HIV_SEROLOGY	HIV_SEROLOGY	KPF	2015-03-31 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT		
HOSP	Hospitalizations during Follow-Up Period	KPF	2003-01-27 00:00:00		Patient Status at Time of Follow-Up	CHAR(1)			
IMMUNO_MAINT_MED	Any Medications Given during follow-up for Maintenance or Anti-Rejection?	KPF	2003-01-27 00:00:00		Treatment	NUM	IMMUNOMAINTMED		
INFECT_PA	Contributory Cause of Pancreas Graft Failure --- Infection	KPF	2003-01-27 00:00:00		CLINICAL INFORMATION	CHAR(1)			YES
INSULIN_DEPENDENT	Diabetes-Insulin Dependent	KPF	1994-04-01 00:00:00	2004-06-29 00:00:00	CLINICAL INFORMATION	CHAR(1)			
INSULIN_DOSAGE_PA	PANCREAS TOTAL INSULIN DOSAGE UNITS	TRR/TRF	2018-02-28 00:00:00		CLINICAL INFORMATION	NUM			
INSULIN_DOSAGE_PA_I	PANCREAS TOTAL INSULIN DOSAGE UNITS ST=	TRR/TRF	2018-02-28 00:00:00		CLINICAL INFORMATION	CHAR(1)			
INSULIN_DURATION_PA	PANCREAS INSULIN DURATION OF USE	TRR/TRF	2018-02-28 00:00:00		CLINICAL INFORMATION	NUM			
INSULIN_DURATION_PA_I	PANCREAS INSULIN DURATION OF USE ST=	TRR/TRF	2018-02-28 00:00:00		CLINICAL INFORMATION	CHAR(1)			
INSULIN_PA	PANCREAS PATIENT ON INSULIN	TRR/TRF	2004-06-30 00:00:00		CLINICAL INFORMATION	CHAR(1)			
INSULIN_RESUMED_DATE_PA	PANCREAS DATE INSULIN RESUMED	TRR/TRF	2004-06-30 00:00:00		CLINICAL INFORMATION	NUM			
INSULIN_RESUMED_DATE_PA_I	PANCREAS DATE INSULIN RESUMED ST=	TRR/TRF	2018-02-28 00:00:00		CLINICAL INFORMATION	CHAR(1)			
MEASUREMENT_DATE	Date of Weight and Height Measurment (PEDS ONLY)	KPF	2008-03-08 00:00:00		CLINICAL INFORMATION	NUM			YES (FOR PEDS)
MEASUREMENT_DT_HT	Date of Height Measurment (PEDS ONLY)	KPF	2022-08-30 00:00:00		CLINICAL INFORMATION				YES (FOR PEDS)
MEASUREMENT_DT_WT	Date of Weight Measurment (PEDS ONLY)	KPF	2022-08-30 00:00:00		CLINICAL INFORMATION				YES (FOR PEDS)
MEDICATION_RES_DATE_PA	DATE MEDICATION RESUMED 	TRR/TRF	2004-06-30 00:00:00		CLINICAL INFORMATION	NUM			
METHOD_BLOOD_SUGAR_CONTROL_PA	PANCREAS PATIENT USING ANY METHOD OF BLOOD SUGAR CONTROL	TRR/TRF	1994-04-01 00:00:00		CLINICAL INFORMATION	CHAR(1)			
MOTOR_DEV	Motor Development (PEDS only)	KPF	2008-03-08 00:00:00		Patient Status	NUM	MOTOR_DEV		YES (FOR PEDS)
PANCREATIT	Contributory Cause of Pancreas Graft Failure --- Pancreatitis	KPF	2003-01-27 00:00:00		CLINICAL INFORMATION	CHAR(1)			YES
PERM_STATE	Recipient Permanent Residential State	KPF	2003-01-27 00:00:00		Recipient Information	CHAR(2)	STATE		YES
PRI_PAYMENT	RECIPIENT PRIMARY SOURCE OF PAYMENT	KPF	2004-06-30 00:00:00		Patient Status at Time of Follow-Up	NUM	PRIMPAY		
PRI_PAYMENT_CTRY	RECIPIENT FOREIGN GOV'T AS SECONDARY PAYMENT SOURCE	KPF	2004-06-30 00:00:00		Patient Status at Time of Follow-Up	CHAR(3)			
PT_CODE	ENCRYPTED RECIPIENT IDENTIFIER	CALCULATED				NUM			
PX_NON_COMPL_PA	Recipient Noncompliant as Contributory Cause of Pancreas Failure	KPF	2004-06-30 00:00:00		CLINICAL INFORMATION	CHAR(1)			YES
PX_STAT	Recipient Status at Time of Follow-Up(Died; ReTX; Lost; Not Seen; Alive)	KPF	2003-01-27 00:00:00		Patient Status at Time of Follow-Up	CHAR(1)	PXSTAT		YES
PX_STAT_DATE	Recipient Status Date at Time of Follow-Up	KPF	2003-01-27 00:00:00		Patient Status at Time of Follow-Up	NUM			YES
REJ_ACUTE_PA	Contributory Cause of Pancreas Graft Failure --- Acute Rejection	KPF	2003-01-27 00:00:00		CLINICAL INFORMATION	CHAR(1)			YES
REJ_CHRONIC_PA	Contributory Cause of Pancreas Graft Failure --- Chronic Rejection	KPF	2003-01-27 00:00:00		CLINICAL INFORMATION	CHAR(1)			YES
RESUM_MAINT_DIAL_DATE	Date Maintenance Dialysis Resumed	KPF	2003-01-27 00:00:00		CLINICAL INFORMATION	NUM			
RETX_ORG	Retransplanted Organ Type Since Last Follow-Up	KPF	2003-01-27 00:00:00		Patient Status at Time of Follow-Up	CHAR(2)			
RETXDATE_KI	Date of Kidney Retransplant	CALCULATED				NUM			
RETXDATE_PA	Date of Pancreas Retransplant	CALCULATED				NUM			
STATUS_TRF	TRF Form Status	KPF				CHAR(1)	FRMSTAT		
TRR_FOL_ID_CODE	ENCRYPTED FOLLOW-UP IDENTIFIER	CALCULATED				CHAR(15)			
TRR_ID_CODE	ENCRYPTED TRANSPLANT IDENTIFIER	CALCULATED				CHAR(15)			
TRT_REJ	Patient Treated for Rejection (Y/N/U) during Follow-Up Period	KPF	2003-01-27 00:00:00	2004-06-30 00:00:00	CLINICAL INFORMATION	CHAR(1)			
TRT_REJ_NUM	Number of Kidney Rejection Events during Follow-Up Period	KPF	2003-01-27 00:00:00	2004-06-30 00:00:00	CLINICAL INFORMATION	NUM			
TRT_REJ_NUM_PA	Number of Pancreas Rejection Events during Follow-Up Period	KPF	2003-01-27 00:00:00	2004-06-30 00:00:00	CLINICAL INFORMATION	NUM			
VAL_DT_TRF	TRF Validation Date	KPF				NUM			
WGT_KG	Recipient Weight in Kilograms at Follow-Up (COLLECTED FOR PEDS ONLY SINCE 1/1/2007)	KPF	2003-01-27 00:00:00	2007-01-01 00:00:00	CLINICAL INFORMATION	NUM			YES (FOR PEDS)
WORK_INCOME	RECIPIENT WORK FOR INCOME?	KPF	2004-06-30 00:00:00		Patient Status at Time of Follow-Up	CHAR(1)			
