"STAR Table Name: INTESTINE_DATA
Variable Names in red font denote that field has important information in the Comment field

The data files created based on data as of 4/5/2024 will include data for registrations added and/or transplants occurring through 03/31/2024"	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8
ANTIHYPE_DON	DECEASED DONOR-ANTIHYPERTENSIVES W/IN 24 HRS PRE-CROSS CLAMP	DDR	1994-04-01 00:00:00		CLINICAL INFORMATION	CHAR(1)	YNU	
ARGININE_DON	DECEASED DONOR-WAS DONOR GIVEN ARGININE VASOPRESSIN WITHIN 24 HRS PRE CROSS CLAMP?	DDR	2004-06-30 00:00:00		CLINICAL INFORMATION	CHAR(1)	YNU	
ARTIFICIAL_LI	RECIPIENT ON ARTIFICIAL LIVER AT TRANSPLANT	TRR	1987-10-01 00:00:00			NUM		
BLOOD_INF_CONF_DON	DECEASED DONOR-INFECTION SOURE BLOOD-CONFIRMED VIA CULTURE	DDR	1994-04-01 00:00:00	2015-03-31 00:00:00	CLINICAL INFORMATION	CHAR(1)	YNU	
BLOOD_INF_DON	DECEASED DONOR-BLOOD AS INFECTION SOURCE	DDR	1994-04-01 00:00:00		CLINICAL INFORMATION	NUM		
BMI_CALC	Calculated Recipient BMI	CALCULATED				NUM		
BMI_DON_CALC	Donor BMI - Pre/At Donation Calculated	CALCULATED				NUM		
BMI_TCR	CANDIDATE BMI AT LISTING	TCR	2004-06-30 00:00:00		CLINICAL INFORMATION AT LISTING	NUM		
BMIS	B Locus MISMATCH LEVEL	CALCULATED				NUM		
BUN_DON	DECEASED DONOR-TERMINAL BLOOD UREA NITROGEN	DDR	1994-04-01 00:00:00		CLINICAL INFORMATION	NUM		
BW4	Candidate Most Recent/at Removal BW4 Antigen From Waiting List	WAITING LIST DATA	1987-10-01 00:00:00		WAITING LIST DATA	NUM	WKGRPHLA	
BW6	Candidate Most Recent/at Removal BW6 Antigen From Waiting List	WAITING LIST DATA	1987-10-01 00:00:00		WAITING LIST DATA	NUM	WKGRPHLA	
C1	Candidate Most Recent/at Removal C1 Antigen From Waiting List	WAITING LIST DATA	1987-10-01 00:00:00		WAITING LIST DATA	NUM	CWHLA	
C2	Candidate Most Recent/at Removal C2 Antigen From Waiting List	WAITING LIST DATA	1987-10-01 00:00:00		WAITING LIST DATA	NUM	CWHLA	
CANCER_FREE_INT_DON	DECEASED DONOR-CANCER FREE INTERVAL (YEARS)	DDR	1994-04-01 00:00:00		DONOR HISTORY	NUM		
CANCER_SITE_DON	DECEASED DONOR-CANCER SITE	DDR	1994-04-01 00:00:00		DONOR HISTORY	NUM	HISTCAN	
CARDARREST_NEURO	DECEASED DONOR-CARDIAC ARREST POST BRAIN DEATH	DDR	1999-10-25 00:00:00		CLINICAL INFORMATION	CHAR(1)		
CDC_RISK_HIV_DON	DECEASED DONOR - PER PHS, Does the Donor Have Risk Factors for Blood-Borne Disease Transmission?	DDR	2004-06-30 00:00:00		DONOR HISTORY	CHAR(1)		
CITIZEN_COUNTRY	CANDIDATE COUNTRY OF PERMANENT RESIDENCE @ REGISTRATION	TCR	2015-03-31 00:00:00		CANDIDATE INFORMATION	CHAR(3)	CTRY	
CITIZENSHIP	RECIPIENT CITIZENSHIP @ REGISTRATION	TCR	1987-10-01 00:00:00		CANDIDATE INFORMATION	NUM	CITIZEN	
CITIZENSHIP_DON	DONOR CITIZENSHIP	DDR/LDR	1987-10-01 00:00:00		DONOR INFORMATION	NUM		This field uses separate SAS Analysis Format types for donor type. For deceased donors (don_ty=C) use CITIZDDR. For living donors (don_ty=L) use CITIZEN
CMV_DON	DONOR SEROLOGY ANTI CMV (FOR LIVING DONOR, PRE UNET DATA ONLY)	DDR/LDR			CLINICAL INFORMATION	CHAR(2)	SERSTAT	START DATE: DECEASED DONORS: 10/1/87-PRESENT; LIVING DONORS 10/1/90-10/25/99
CMV_IGG	RECIPIENT-CMV BY IGG TEST RESULT  @ TRANSPLANT	TRR	1999-10-25 00:00:00	2015-03-31 00:00:00	PRETRANSPLANT CLINICAL INFORMATION	CHAR(2)	SERSTAT	
CMV_IGG_DON	LIVING DONOR-CMV BY IGG TEST RESULT	LDR	1999-10-25 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT	
CMV_IGM	RECIPIENT-CMV BY IGM TEST RESULT  @ TRANSPLANT	TRR	1999-10-25 00:00:00	2015-03-31 00:00:00	PRETRANSPLANT CLINICAL INFORMATION	CHAR(2)	SERSTAT	
CMV_IGM_DON	LIVING DONOR-CMV BY IGM TEST RESULT	LDR	1999-10-25 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT	
CMV_NUCLEIC_DON	DONOR CMV BY NUCLEIC ACID	LDR	1994-04-01 00:00:00			CHAR(2)	SERSTAT	
CMV_OLD_LIV_DON	LIV DONOR CMV -SEROLOGY (PRE 10/25/99 DATA)	LDR	1990-10-01 00:00:00	1999-10-25 00:00:00		CHAR(2)	SERSTAT	
CMV_STATUS	RECIPIENT CMV Status @ TRANSPLANT	TRR	2015-03-31 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT	
CMV_TEST_DON	LIV DONOR CMV TESTED?	LDR	1990-10-01 00:00:00			CHAR(1)		
COD	RECIPIENT PRIMARY CAUSE OF DEATH	TRF/TRR	1987-10-01 00:00:00		PATIENT STATUS	NUM	ALL_COD	
COD_CAD_DON	DECEASED DONOR-CAUSE OF DEATH	DDR	1987-10-01 00:00:00		DONOR INFORMATION	NUM	DON_COD	Collection of this variable was changed 4/1/94, when mechanism and circumstance of death was added
COD_WL	CANDIDATE CAUSE OF DEATH FOR DEATH REMOVAL	TCR	2003-12-03 00:00:00			NUM	ALL_COD	
COD2	RECIPIENT CONTRIBUTORY CAUSE OF DEATH 1	TRF/TRR	2004-06-30 00:00:00		PATIENT STATUS	NUM	ALL_COD	
COD3	RECIPIENT CONTRIBUTORY CAUSE OF DEATH 2	TRF/TRR	2004-06-30 00:00:00		PATIENT STATUS	NUM	ALL_COD	
COMPOSITE_DEATH_DATE	Composite Patient Death Date from OPTN or Verified from External Sources	TRR/TRF-CALCULATED				NUM		
CONTIN_ALCOHOL_OLD_DON	DECEASED DONOR-HISTORY OF ALCOHOL DEPENDENCY+ RECENT 6MO USE	DDR	1994-04-01 00:00:00	2004-06-30 00:00:00	DONOR HISTORY	CHAR(1)		
CONTIN_CIG_DON	DECEASED DONOR-HISTORY OF CIGARETTES IN PAST@ >20PACK YRS+RECENT 6MO USE	DDR	1994-04-01 00:00:00		DONOR HISTORY	CHAR(1)		
CONTIN_COCAINE_DON	DECEASED DONOR-HISTORY OF COCAINE USE+RECENT 6MO USE	DDR	1999-10-25 00:00:00		DONOR HISTORY	CHAR(1)		
CONTIN_IV_DRUG_OLD_DON	DECEASED DONOR-HISTORY OF IV DRUG USE+RECENT 6MO USE	DDR	1994-04-01 00:00:00	2004-06-30 00:00:00	DONOR HISTORY	CHAR(1)		
CONTIN_OTH_DRUG_DON	DECEASED DONOR-HISTORY OF OTHER DRUGS IN PAST+RECENT 6MO USE	DDR	1994-04-01 00:00:00		DONOR HISTORY	CHAR(1)		
CONTROLLED_DON	DECEASED DONOR CONTROLLED NON-HEART BEATING (Y/N)	DDR	1994-04-01 00:00:00		ORGAN RECOVERY	CHAR(1)		
CORE_COOL_DON	DECEASED DONOR-CORE COOLING FOR CONTROLLED NON-HRT BEATING	DDR	1994-04-01 00:00:00		ORGAN RECOVERY	CHAR(1)		
CREAT_DON	DECEASED DONOR-TERMINAL LAB CREATININE	DDR	1994-04-01 00:00:00		CLINICAL INFORMATION	NUM		
CREAT_TRR	RECIPIENT SERUM CREATININE AT TIME OF TX	TRR	1987-10-01 00:00:00		PRETRANSPLANT CLINICAL INFORMATION	NUM		
CTR_CODE	ENCRYPTED TRANSPLANT CENTER CODE	CALCULATED				CHAR(7)		
DA1	DONOR A1 ANTIGEN	CALCULATED	1987-10-01 00:00:00		DONOR HLA TYPING	NUM	ALOCUS	
DA2	DONOR A2 ANTIGEN	CALCULATED	1987-10-01 00:00:00		DONOR HLA TYPING	NUM	ALOCUS	
DATA_TRANSPLANT	Recipient TRR Data Reported	CALCULATED				CHAR(1)		
DATA_WAITLIST	Candidate WL Data Reported	CALCULATED				CHAR(1)		
DAYSWAIT_CHRON	NUMBER OF  DAYS ON INTESTINE WAITING LIST	CALCULATED				NUM		
DB1	DONOR B1 ANTIGEN	CALCULATED	1987-10-01 00:00:00		DONOR HLA TYPING	NUM	BLOCUS	
DB2	DONOR B2 ANTIGEN	CALCULATED	1987-10-01 00:00:00		DONOR HLA TYPING	NUM	BLOCUS	
DDAVP_DON	DECEASED DONOR-SYNTHETIC ANTI DIURETIC HORMONE (DDAVP)	DDR	1999-10-25 00:00:00		CLINICAL INFORMATION	CHAR(1)		
DDR1	DONOR DR1 ANTIGEN	CALCULATED	1987-10-01 00:00:00		DONOR HLA TYPING	NUM	DRLOCUS	
DDR2	DONOR DR2 ANTIGEN	CALCULATED	1987-10-01 00:00:00		DONOR HLA TYPING	NUM	DRLOCUS	
DEATH_CIRCUM_DON	DECEASED DONOR-CIRCUMSTANCE OF DEATH	DDR	1994-04-01 00:00:00		DONOR INFORMATION	NUM	DTHCIRC	
DEATH_DATE	DATE OF DEATH FOR PATIENT THAT DIED ON THE WAITING LIST (SINCE 10/25/99)	WAITING LIST DATA	1999-10-25 00:00:00		WAITING LIST DATA	NUM		ONLY COLLECTED SINCE 10/25/99
DEATH_MECH_DON	DECEASED DONOR-MECHANISM OF DEATH	DDR	1994-04-01 00:00:00		DONOR INFORMATION	NUM	DTHMECH	
DGN_TCR	PRIMARY DIAGNOSIS AT TIME OF LISTING	TCR	1994-04-01 00:00:00		CLINICAL INFORMATION	NUM	ALL_DGN	
DGN2_TCR	SECONDARY DIAGNOSIS AT TIME OF LISTING	TCR	1994-04-01 00:00:00	2007-01-01 00:00:00	CLINICAL INFORMATION	NUM	ALL_DGN	
DIAB	RECIPIENT DIABETES @ REGISTRATION 	TCR	1994-04-01 00:00:00		CLINICAL INFORMATION	NUM	DIABTY	
DIABETES_DON	DECEASED DONOR-HISTORY OF DIABETES (Y,N)	DDR	1994-04-01 00:00:00		DONOR HISTORY	CHAR(1)		UNROLLED Y/N FIELD FROM HIST_DIABETES_DON
DIAG	RECIPIENT PRIMARY DIAGNOSIS	TRR>TCR	1987-10-01 00:00:00		PATIENT STATUS/CLINICAL INFORMATION	NUM	ALL_DGN	"Primary diagnosis was not collected on TCR until 01-apr-94. This field draws from discharge if available, if not from ""at transplant"" and if not there then from TCR."
DIET_DON	DECEASED DONOR-HYPERTENSION DIET CONTROLLED	DDR	1994-04-01 00:00:00		DONOR HISTORY	CHAR(1)		
DIL_BOWEL_SEG	RECIPIENT DILATED/NON-FUNCT'L BOWEL SEGS	TRR	1994-04-01 00:00:00		CLINICAL INFORMATION	CHAR(1)		
DISCHARGE_DATE	RECIPIENT DISCHARGE DATE FROM TX CENTER	TRR	1994-04-01 00:00:00		PATIENT STATUS	NUM		
DISTANCE	DISTANCE FROM DONOR HOSP TO TX CENTER (Nautical Miles)	CALCULATED				NUM		
DIURETICS_DON	DECEASED DONOR-HYPERTENSION DIURETIC CONTROLLED	DDR	1994-04-01 00:00:00		DONOR HISTORY	CHAR(1)		
DOBUT_DON_OLD	DECEASED DONOR-DOBUTAMINE W/IN 24 HRS PRE-CROSS CLAMP	DDR	1994-04-01 00:00:00	2003-01-27 00:00:00	CLINICAL INFORMATION	CHAR(1)		
DON_TY	DONOR TYPE - DECEASED, LIVING	TRR	1987-10-01 00:00:00		DONOR INFORMATION	CHAR(3)	DON_TYP	
DONOR_ID	ENCRYPTED DONOR IDENTIFIER	CALCULATED				NUM		
DOPAMINE_DON_OLD	DECEASED DONOR-DOPAMINE W/IN 24 HRS PRE-CROSS CLAMP	DDR	1994-04-01 00:00:00	2003-01-27 00:00:00	CLINICAL INFORMATION	CHAR(1)		
DQ1	Candidate Most Recent/at Removal DQB1 Antigen From Waiting List	WAITING LIST DATA	1987-10-01 00:00:00		WAITING LIST DATA	NUM	DQHLA	
DQ2	Candidate Most Recent/at Removal DQB2 Antigen From Waiting List	WAITING LIST DATA	1987-10-01 00:00:00		WAITING LIST DATA	NUM	DQHLA	
DR51	Candidate Most Recent/at Removal DR51 Antigen From Waiting List	WAITING LIST DATA	1987-10-01 00:00:00		WAITING LIST DATA	NUM	WKGRPHLA	
DR51_2	Candidate Most Recent/at Removal DR51 Antigen From Waiting List	WAITING LIST DATA	1987-10-01 00:00:00		WAITING LIST DATA	NUM	WKGRPHLA	
DR52	Candidate Most Recent/at Removal DR52 Antigen From Waiting List	WAITING LIST DATA	1987-10-01 00:00:00		WAITING LIST DATA	NUM	WKGRPHLA	
DR52_2	Candidate Most Recent/at Removal DR52 Antigen From Waiting List	WAITING LIST DATA	1987-10-01 00:00:00		WAITING LIST DATA	NUM	WKGRPHLA	
DR53	Candidate Most Recent/at Removal DR53 Antigen From Waiting List	WAITING LIST DATA	1987-10-01 00:00:00		WAITING LIST DATA	NUM	WKGRPHLA	
DR53_2	Candidate Most Recent/at Removal DR53 Antigen From Waiting List	WAITING LIST DATA	1987-10-01 00:00:00		WAITING LIST DATA	NUM	WKGRPHLA	
DRMIS	DR Locus MISMATCH LEVEL	CALCULATED				NUM		
EBV_IGG_CAD_DON	DECEASED DONOR EPSTEIN BARR VIRUS BY IGG TEST RESULT	DDR	2006-05-03 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT	
EBV_IGM_CAD_DON	DECEASED DONOR EPSTEIN BARR VIRUS BY IGM TEST RESULT	DDR	2006-05-03 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT	
EBV_SEROSTATUS	RECIPIENT EBV STATUS @ TRANSPLANT	CALCULATED				CHAR(2)	SERSTAT	
EBV_TEST_DON	LIVING DONOR EPSTEIN BARR VIRUS TESTED?	LDR	1994-04-01 00:00:00		CLINICAL INFORMATION - SEROLOGY	CHAR(1)		
ECD_DONOR	EXPANDED DONOR PER KIDNEY ALLOCATION DEFINITION 1=YES	CALCULATED	1994-04-01 00:00:00			NUM		
ECMO	RECIPIENT LIFE SUPPORT TYPE ECMO @ REGISTRATION	TCR	1995-04-01 00:00:00		CANDIDATE INFORMATION	NUM		
EDUCATION	RECIPIENT HIGHEST EDUCATIONAL LEVEL @ REGISTRATION	TCR	1994-04-01 00:00:00		CANDIDATE INFORMATION	NUM	EDLEVEL	
EDUCATION_DON	LIVING DONOR-HIGHEST LEVEL OF EDUCATION	LDR	1999-10-25 00:00:00		DONOR INFORMATION	NUM	EDLEVEL	
END_BMI_CALC	CALCULATED CANDIDATE BMI AT REMOVAL/CURRENT TIME	CALCULATED				NUM		
END_DATE	EARLIEST OF DATES OF REMOVAL FROM WAITING LIST, TRANSPLANT, DEATH, OR TIME COPY OF DATA CREATED	WAITING LIST DATA	1987-10-01 00:00:00		WAITING LIST DATA	NUM		IF PATIENT TRANSPLANTED OR DIED, BUT WAS REMOVED AFTER THE EVENT, END_DATE IS BACKDATED TO GIVE THE DATE OF EVENT
END_OPO_CTR_CODE	ENCRYPTED REMOVAL/CURRENT OPO MAPPED FROM LISTING CENTER AND ENDING DATE	CALCULATED				CHAR(7)		
END_STAT	CANDIDATE STATUS AT TRANSPLANT OFFER/REMOVALCURRENT TIME	TRR>TCR	1990-01-01 00:00:00		WAITING LIST DATA	NUM	STAT	
ETHCAT	RECIPIENT ETHNICITY CATEGORY	TCR-CALCULATED			CANDIDATE INFORMATION	NUM	ETHCAT	
ETHCAT_DON	DONOR ETHNICITY CATEGORY	DDR/LDR-CALCULATED			DONOR INFORMATION	NUM	ETHCAT	
ETHNICITY	RECIPIENT ETHNICITY	TCR	1994-04-01 00:00:00		CANDIDATE INFORMATION	NUM	ETHN	
EXH_VASC	Recipient Exhausted Vascular Access	TRR	1994-04-02 00:00:00		CLINICAL INFORMATION	CHAR(1)		
EXTRACRANIAL_CANCER_DON	DECEASED DONOR-EXTRACANIAL CANCER AT PROCUREMENT	DDR	1994-04-01 00:00:00		DONOR HISTORY	CHAR(1)		
FUNC_STAT_TCR	RECIPIENT FUNCTIONAL STATUS @ REGISTRATION	TCR	1994-04-01 00:00:00		CANDIDATE INFORMATION	NUM	FUNCSTAT	
FUNC_STAT_TRF	TRF FUNCTIONAL STATUS @ TRR/FOL	TRR/TRF	1994-04-01 00:00:00		PATIENT STATUS AT TIME OF FOLLOW-UP	NUM	FUNCSTAT	
FUNC_STAT_TRR	RECIPIENT FUNCTIONAL STATUS @TRANSPLANT	TRR	1994-04-01 00:00:00		PATIENT STATUS	NUM	FUNCSTAT	
GENDER	RECIPIENT GENDER	TCR	1987-10-01 00:00:00		CANDIDATE INFORMATION	CHAR(1)	SEX	
GENDER_DON	DONOR GENDER	DDR/LDR	1987-10-01 00:00:00		DONOR INFORMATION	CHAR(1)	SEX	
GRF_FAIL_CAUSE_TY	CAUSE OF GRAFT FAILURE	TRF/TRR	1987-10-01 00:00:00		(POST TRANSPLANT) CLINICAL INFORMATION	NUM	INGRFL	
GRF_FAIL_DATE	RECIPIENT DATE OF GRAFT FAILURE	TRF/TRR	1987-10-01 00:00:00		(POST TRANSPLANT) CLINICAL INFORMATION	NUM		
GRF_STAT	RECIPIENT GRAFT STATUS (IS GRAFT FUNCTIONING? Y/N)	TRF/TRR	1987-10-01 00:00:00		(POST TRANSPLANT) CLINICAL INFORMATION	CHAR(1)	GRFSTAT	
GSTATUS	GRAFT FAILED (1=YES)	CALCULATED				NUM		
GTIME	GRAFT LIFESPAN-Days From Transplant to Failure/Death/Last Follow-Up	CALCULATED				NUM		
HASHBVVACCINATION	Did Recipient Receive Hepatitis B Vaccines Prior to Transplant?	TRR	2022-08-30 00:00:00			CHAR(1)	YNU	
HBSAB_DON	DECEASED DONOR HBSAB TEST RESULT	DDR	2006-05-03 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT	
HBV_CORE	RECIPIENT HEPATITIS B-CORE ANTIBODY	TRR	1987-10-01 00:00:00			CHAR(2)	SERSTAT	
HBV_CORE_DON	DONOR HBV CORE ANTIBODY	DDR/LDR	1994-04-01 00:00:00			CHAR(2)	SERSTAT	
HBV_DNA_DON	LIVING DONOR HBV DNA	LDR	1994-04-01 00:00:00			CHAR(2)	SERSTAT	
HBV_NAT	TRR HBV NAT RESULT	TRR	2018-02-28 00:00:00		PRETRANSPLANT CLINICAL INFORMATION	CHAR(2)		
HBV_NAT_DON	DDR HBV NAT Results:	DDR	2015-03-31 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT	
HBV_SUR_ANTIGEN	RECIPIENT HEP B SURFACE ANTIGEN	TRR	1987-10-01 00:00:00			CHAR(2)	SERSTAT	
HBV_SUR_ANTIGEN_DON	DONOR HEP B SURFACE ANTIGEN	DDR/LDR	1987-10-01 00:00:00			CHAR(2)	SERSTAT	
HBV_SURF_TOTAL	RECIPIENT HBV Surface Antibody Total @ TRANSPLANT	TRR	2015-03-31 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT	
HBV_TEST_DON	LIVING DONOR HBV TEST DONE	LDR	1994-04-01 00:00:00			CHAR(1)		
HCV_ANTIBODY_DON	LIVING DONOR HEP C ANTIBODY	LDR	1994-04-01 00:00:00			CHAR(2)	SERSTAT	
HCV_NAT	TRR HCV NAT RESULT	TRR	2018-02-28 00:00:00		PRETRANSPLANT CLINICAL INFORMATION	CHAR(2)		
HCV_NAT_DON	DDR HCV NAT Results:	DDR	2015-03-31 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT	
HCV_RIBA_DON	LIVING DONOR HEP C-RIBA TEST	LDR	1994-04-01 00:00:00			CHAR(2)	SERSTAT	
HCV_RNA_DON	LIVING DONOR HEP C RNA	LDR	1994-04-01 00:00:00			CHAR(2)	SERSTAT	
HCV_SEROSTATUS	RECIPIENT HEP C STATUS	TRR	1994-04-01 00:00:00			CHAR(2)	SERSTAT	
HCV_TEST_DON	LIVING DONOR HEP C TEST DONE?	LDR	1994-04-01 00:00:00			CHAR(1)		
HEP_C_ANTI_DON	DECEASED DONOR-ANTIBODY TO HEP C VIRUS RESULT	DDR	1994-04-01 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT	
HEPARIN_DON	DECEASED DONOR MANAGEMENT - HEPARIN (NO COLLECTION BETWEEN 10/25/99 - 1/27/03)	DDR 	1994-04-01 00:00:00		CLINICAL INFORMATION	CHAR(1)		
HGT_CM_CALC	CALCULATED RECIPIENT HEIGHT(cm)	CALCULATED				NUM		
HGT_CM_DON_CALC	DONOR HEIGHT (CM)	DDR/LDR	1994-04-01 00:00:00		CLINICAL INFORMATION	NUM		
HGT_CM_TCR	RECIPIENT HEIGHT @ REGISTRATION	TCR	1987-10-01 00:00:00		CLINICAL INFORMATION	NUM		
HIST_ALCOHOL_OLD_DON	DECEASED DONOR-HISTORY OF ALCOHOL DEPENDENCY	DDR	1994-04-01 00:00:00	2004-06-29 00:00:00	DONOR HISTORY	CHAR(1)		
HIST_CANCER_DON	DECEASED DONOR-HISTORY OF CANCER (Y/N)	DDR	1994-04-01 00:00:00		DONOR HISTORY	CHAR(1)		
HIST_CIG_DON	DECEASED DONOR-HISTORY OF CIGARETTES IN PAST @ >20PACK YRS	DDR	1994-04-01 00:00:00		DONOR HISTORY	CHAR(1)		
HIST_COCAINE_DON	DECEASED DONOR-HISTORY OF COCAINE USE IN PAST	DDR	1999-10-25 00:00:00		DONOR HISTORY	CHAR(1)		
HIST_DIABETES_DON	DECEASED DONOR-HISTORY OF DIABETES, INCL. DURATION OF DISEASE	DDR	1994-04-01 00:00:00		DONOR HISTORY	NUM	HISTDIAB	
HIST_HYPERTENS_DON	DECEASED DONOR-HISTORY OF HYPERTENSION	DDR	1994-04-01 00:00:00		DONOR HISTORY	CHAR(1)		
HIST_IV_DRUG_OLD_DON	DECEASED DONOR-HISTORY OF IV DRUG USE IN PAST	DDR	1994-04-01 00:00:00	2004-06-29 00:00:00	DONOR HISTORY	CHAR(1)		
HIST_OTH_DRUG_DON	DECEASED DONOR-HISTORY OF OTHER DRUG USE IN PAST	DDR	1994-04-01 00:00:00		DONOR HISTORY	CHAR(1)		
HIV_NAT	TRR HIV NAT RESULT	TRR	2018-02-28 00:00:00		PRETRANSPLANT CLINICAL INFORMATION	CHAR(2)		
HIV_NAT_DON	DDR HIV NAT Results:	DDR	2015-03-31 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT	
HIV_SEROSTATUS	RECIPIENT HIV SEROSTATUS AT TRANSPLANT	TRR	1987-10-01 00:00:00		CLINICAL INFORMATION	CHAR(2)		
HLAMIS	HLA MISMATCH LEVEL	CALCULATED				NUM		
HOME_STATE_DON	DR HOME STATE	DDR/LDR	1987-10-01 00:00:00		DONOR INFORMATION	CHAR(2)	STATE	
HTLV1_OLD_DON	DECEASED DONOR-ANTIBODY TO HTLV I RESULT	DDR	1994-04-01 00:00:00	2004-06-29 00:00:00	CLINICAL INFORMATION	CHAR(2)	SERSTAT	
HTLV2_OLD_DON	DECEASED DONOR-ANTIBODY TO HTLV II RESULT	DDR	1994-04-01 00:00:00	2004-06-29 00:00:00	CLINICAL INFORMATION	CHAR(2)	SERSTAT	
HYPERTENS_DUR_DON	DECEASED DONOR-HYPERTENSION DURATION	DDR	1994-04-01 00:00:00		DONOR HISTORY	NUM	HISTHYPE	
IABP	RECIPIENT LIFE SUPPORT TYPE IABP @ REGISTRATION	TCR	1994-04-01 00:00:00		CANDIDATE INFORMATION	NUM		
IN_ONLY_VENDRAIN	INTESTINE ONLY VENOUS DRAINAGE	TRR	1994-04-01 00:00:00		CLINICAL INFORMATION	NUM	VENDRAIN	
INACT_REASON_CD	REASON FOR INACTIVE STATUS	WAITING LIST DATA	2006-05-24 00:00:00		WAITING LIST DATA	NUM	INACTREA	
INIT_AGE	AGE IN YEARS AT TIME OF LISTING	CALCULATED	1987-10-01 00:00:00			NUM		
INIT_BMI_CALC	CALCULATED CANDIDATE BMI AT LISTING	CALCULATED				NUM		
INIT_DATE	RECIPIENT DATE PLACED ON WAITING LIST	WAITING LIST DATA	1987-10-01 00:00:00		WAITING LIST DATA	NUM		
INIT_HGT_CM	CANDIDATE HEIGHT IN CM AT LISTING	TCR	1987-10-01 00:00:00			NUM		
INIT_OPO_CTR_CODE	ENCRYPTED INITIAL OPO MAPPED FROM LISTING CENTER AND BEGINNING DATE	CALCULATED				CHAR(7)		
INIT_STAT	INITIAL WAITING LIST STATUS CODE	WAITING LIST DATA	1990-01-01 00:00:00		WAITING LIST DATA	NUM	STAT	
INIT_WGT_KG	CANDIDATE WEIGHT IN KG AT LISTING	TCR	1987-10-01 00:00:00			NUM		
INO_PROCURE_AGENT_1	DECEASED DONOR-INOTROPIC MEDICATION AGENT 1	DDR	2003-01-27 00:00:00		CLINICAL INFORMATION	NUM	INOMED	
INO_PROCURE_AGENT_2	DECEASED DONOR-INOTROPIC MEDICATION AGENT 2	DDR	2003-01-27 00:00:00		CLINICAL INFORMATION	NUM	INOMED	
