"STAR Table Name: THORACIC_WLHISTORY_DATA
Variable Names in red font denote that field has important information in the Comment field

The data files created based on data as of 4/5/2024 will include data for registrations added and/or transplants occurring through 03/31/2024"	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8
CPTESTVEVCO2ST	Most Recent Cardiac Pulmonary Stress Test - Respiratory VE/VCO2/Not Performed	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
CRITERIADATE	28-Day Reporting Criteria Date for Assisted Ventilation and Supplemental Oxygen Data	Adult Heart Justification Form	2022-11-08 00:00:00					
CURRTHERANTIARRHYTHMICS	Current Therapies - Is the Candidate on Anti-Arrhythmics?	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	CHAR(1)		
CURRTHERBUMETANIDE	Current Therapies - Bumetanide Cumulative 24 Hour Dosage Value (in mg)	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
CURRTHERBUMETANIDEDOSETYPE	Current Therapies - Bumetanide Cumulative 24 Hour Dosage Type	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	CHAR(4)		
CURRTHERCHLOROTHIAZIDE	Current Therapies - Chlorothiazide Cumulative 24 Hour Dosage Value (in mg)	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
CURRTHERCHLOROTHIAZIDEDOSETYPE	Current Therapies - Chlorothiazide Cumulative 24 Hour Dosage Type	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	CHAR(4)		
CURRTHERDOBUTAMINE	Current Therapies - Dobutamine Cumulative 24 Hour Dosage Value (in mcg/kg/min)	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
CURRTHERDOPAMINE	Current Therapies - Dopamine Cumulative 24 Hour Dosage Value (in mcg/kg/min)	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
CURRTHEREPINEPHRINE	Current Therapies - Ephinephrine Cumulative 24 Hour Dosage Value (in mcg/kg/min)	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
CURRTHERFUROSEMIDE	Current Therapies - Furosemide Cumulative 24 Hour Dosage Value (in mg)	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
CURRTHERFUROSEMIDEDOSETYPE	Current Therapies - Furosemide Cumulative 24 Hour Dosage Type	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	CHAR(4)		
CURRTHERMECHVENT	Current Therapies - Is the Candidate on Continuous Invasive Mechanical Ventilation?	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	CHAR(1)		
CURRTHERMETOLAZONE	Current Therapies - Metolazone Cumulative 24 Hour Dosage Value (in mg)	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
CURRTHERMETOLAZONEDOSETYPE	Current Therapies - Metolazone Cumulative 24 Hour Dosage Type	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	CHAR(4)		
CURRTHERMILRINONE	Current Therapies - Milrinone Cumulative 24 Hour Dosage Value (in mcg/kg/min)	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
CURRTHERNOREPHINEPHRINE	Current Therapies - Epinephrine Cumulative 24 Hour Dosage Type (in mcg/kg/min)	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
CURRTHERONDIALYSIS	Current Therapies - Is the Candidate on Dialysis?	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	CHAR(1)		
CURRTHERONLOOPDIURETIC	Current Therapies - Is the Candidate on a Diuretic?	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	CHAR(1)		
CURRTHEROTHERDIURETICDOSE	Current Therapies - Other Diuretic Cumulative 24 Hour Dosage Value (in mg)	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
CURRTHEROTHERDIURETICDOSETYPE	Current Therapies - Other Diuertic Cumulative 24 Hour Dosage Type	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	CHAR(4)		
CURRTHERPULVAS	Current Therapies - Is the Candidate on Pulmonary Vasodilators?	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	CHAR(1)		
CURRTHERPULVASTYPE	Current Therapies - Type of Pulmonary Vasodilators	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	CHAR(20)		
CURRTHERTORSEMIDE	Current Therapies - Torsemide Cumulative 24 Hour Dosage Value (in mg)	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
CURRTHERTORSEMIDEDOSETYPE	Current Therapies - Torsemide Cumulative 24 Hour Dosage Type	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	CHAR(4)		
CURRTHERVASOACTIVESUPPORT	Current Therapies - Is the Candidate on Vasoactive Support?	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	CHAR(1)		
CURRTHERVASOPRESSIN	Current Therapies - Vasopressin Cumulative 24 Hour Dosage Value (in units/min)	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
DONCRIT_ACPT_ABO_INCOMP	Donor Criteria - Accept ABO Incompatible Donor	WAITING LIST DATA			WAITING LIST DATA	CHAR(1)		
DONCRIT_ACPT_DCD	Donor Criteria - Accept DCD donor	WAITING LIST DATA			WAITING LIST DATA	CHAR(1)		Prior to 03/02/2023 this field captured donor criteria for local offers only. Since 03/02/2023 these criteria apply to ALL offers.
DONCRIT_ACPT_DCD_IMPORT	Donor Criteria - Accept DCD donor - Import	WAITING LIST DATA		2023-03-02 00:00:00	WAITING LIST DATA	CHAR(1)		
DONCRIT_ACPT_HBCOREPOS	Donor Criteria - Accept Hep B Core Positive Donor	WAITING LIST DATA			WAITING LIST DATA	CHAR(1)		
DONCRIT_ACPT_HBV_NAT_POS	Donor Criteria - Accept an HBV NAT positive donor	WAITING LIST DATA			WAITING LIST DATA	CHAR(1)		
DONCRIT_ACPT_HCV_NAT_POS	Donor Criteria - Accept an HCV NAT positive donor	WAITING LIST DATA			WAITING LIST DATA	CHAR(1)		
DONCRIT_ACPT_HCVPOS	Donor Criteria - Accept HCV Positive Donor	WAITING LIST DATA			WAITING LIST DATA	CHAR(1)		
DONCRIT_ACPT_HIST_CAD	Donor Criteria - Accept Donor with History of Coronary Artery Disease	WAITING LIST DATA			WAITING LIST DATA	CHAR(1)		
DONCRIT_ACPT_HIST_CIG	Donor Criteria - Accept Donor with Cigarette Use > 20 Pack Years Ever	WAITING LIST DATA			WAITING LIST DATA	CHAR(1)		
DONCRIT_ACPT_HTLV_POS	Donor Criteria - Accept HTLV I/II Positive Donor	WAITING LIST DATA			WAITING LIST DATA	CHAR(1)		
DONCRIT_GENDER_REQ	Donor Criteria - Gender Requirements	WAITING LIST DATA			WAITING LIST DATA	CHAR(1)		
DONCRIT_MAX_AGE	Donor Criteria - Maximum Acceptable Donor Age (months)	WAITING LIST DATA			WAITING LIST DATA	NUM		Prior to 03/02/2023 this field captured donor criteria for local offers only. Since 03/02/2023 these criteria apply to ALL offers.
DONCRIT_MAX_AGE_IMPORT	Donor Criteria - Maximum Acceptable Donor Age (months) - Import	WAITING LIST DATA		2023-03-02 00:00:00	WAITING LIST DATA	NUM		
DONCRIT_MAX_HGT	Donor Criteria - Maximum Acceptable Donor Height (cm)	WAITING LIST DATA			WAITING LIST DATA	NUM		Prior to 03/02/2023 this field captured donor criteria for local offers only. Since 03/02/2023 these criteria apply to ALL offers.
DONCRIT_MAX_HGT_IMPORT	Donor Criteria - Maximum Acceptable Donor Height (cm) - Import	WAITING LIST DATA		2023-03-02 00:00:00	WAITING LIST DATA	NUM		
DONCRIT_MAX_MILE	Donor Criteria - Maximum Miles Team will Travel	WAITING LIST DATA			WAITING LIST DATA	NUM		
DONCRIT_MAX_WGT	Donor Criteria - Maximum Acceptable Donor Weight (kg)	WAITING LIST DATA			WAITING LIST DATA	NUM		Prior to 03/02/2023 this field captured donor criteria for local offers only. Since 03/02/2023 these criteria apply to ALL offers.
DONCRIT_MAX_WGT_IMPORT	Donor Criteria - Maximum Acceptable Donor Weight (kg) - Import	WAITING LIST DATA		2023-03-02 00:00:00	WAITING LIST DATA	NUM		
DONCRIT_MIN_AGE	Donor Criteria - Minimum Acceptable Donor Age (months)	WAITING LIST DATA			WAITING LIST DATA	NUM		Prior to 03/02/2023 this field captured donor criteria for local offers only. Since 03/02/2023 these criteria apply to ALL offers.
DONCRIT_MIN_AGE_IMPORT	Donor Criteria - Minimum Acceptable Donor Age (months) - Import	WAITING LIST DATA		2023-03-02 00:00:00	WAITING LIST DATA	NUM		
DONCRIT_MIN_HGT	Donor Criteria - Minimum Acceptable Donor Height (cm)	WAITING LIST DATA			WAITING LIST DATA	NUM		Prior to 03/02/2023 this field captured donor criteria for local offers only. Since 03/02/2023 these criteria apply to ALL offers.
DONCRIT_MIN_HGT_IMPORT	Donor Criteria - Minimum Acceptable Donor Height (cm) - Import	WAITING LIST DATA		2023-03-02 00:00:00	WAITING LIST DATA	NUM		
DONCRIT_MIN_WGT	Donor Criteria - Minimum Acceptable Donor Weight (kg)	WAITING LIST DATA			WAITING LIST DATA	NUM		Prior to 03/02/2023 this field captured donor criteria for local offers only. Since 03/02/2023 these criteria apply to ALL offers.
DONCRIT_MIN_WGT_IMPORT	Donor Criteria - Minimum Acceptable Donor Weight (kg) - Import	WAITING LIST DATA		2023-03-02 00:00:00	WAITING LIST DATA	NUM		
HEMOCARDIACINDEX	Most Recent Hemodynamic Data - Cardiac Index (in L/min/m2)	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
HEMOCARDIACINDEXST	Most Recent Hemodynamic Data - Cardiac Index/Not Performed	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
HEMOCARDIACOUTPUT	Most Recent Hemodynamic Data - Cardiac Output (in L/min)	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
HEMOCARDIACOUTPUTST	Most Recent Hemodynamic Data - Cardiac Output/Not Performed	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
HEMOCVP	Most Recent Hemodynamic Data - Central Venous Pressure (in mmHg)	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
HEMOCVPST	Most Recent Hemodynamic Data - Central Venous Pressure/Not Performed	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
HEMODATAOBTAINED	Most Recent Hemodynamic Data - Hemo Data Obtained Using	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	CHAR(76)		
HEMODBP	Most Recent Hemodynamic Data - Diastolic Blood Pressure (in mmHg)	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
HEMODBPST	Most Recent Hemodynamic Data - Diastolic Blood Pressure/Not Performed	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
HEMODT	Most Recent Hemodynamic Data - Assessment Date	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
HEMODTST	Most Recent Hemodynamic Data - Not Performed	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
HEMOHEMOGLOBIN	Most Recent Hemodynamic Data - Hemoglobin at Time of SvO2 (in g/dL)	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
HEMOHEMOGLOBINST	Most Recent Hemodynamic Data - Hemoglobin at Time of SvO2/Not Performed	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
HEMOLVEDP	Most Recent Hemodynamic Data - LVEDP (in mmHg)	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
HEMOMEANPRESSURE	Most Recent Hemodynamic Data - Mean Pulmonary Artery Pressure (in mmHg)	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
HEMOMEANPRESSUREST	Most Recent Hemodynamic Data - Mean Pulmonary Artery Pressure/Not Performed	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
HEMOOBTAINEDONSUPPORT	Most Recent Hemodynamic Data - Hemodynamic Values were Obtained While Candidate was on	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	CHAR(32)		
HEMOOBTAINEDONSUPPORTST	Most Recent Hemodynamic Data - Hemodynamic Values were Obtained While Candidate was on/Not Available	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
HEMOPADP	Most Recent Hemodynamic Data - Pulmonary Artery Diastolic Pressure (in mmHg)	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
HEMOPADPST	Most Recent Hemodynamic Data - Pulmonary Artery Diastolic Pressure/Not Performed	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
HEMOPASP	Most Recent Hemodynamic Data - Pulmonary Artery Systolic Pressure (in mmHg)	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
HEMOPASPST	Most Recent Hemodynamic Data - Pulmonary Atery Systolic Pressure/Not Performed	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
HEMOPCWP	Most Recent Hemodynamic Data - PCWP (in mmHg)	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
HEMOPCWPLVEDPPERF	Most Recent Hemodynamic Data - Value Obtained for PCWP or LVEDP?	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	CHAR(1)		
HEMOPCWPORLVEDP	Most Recent Hemodynamic Data - PCWP or LVEDP?	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	CHAR(5)		
HEMORESTINGHEARTRATE	Most Recent Hemodynamic Data - Resting Heart Rate (on Same Date as Hemodynamic Tests) (in bpm)	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
HEMORESTINGHEARTRATEST	Most Recent Hemodynamic Data - Resting Heart Rate (on Same Date as Hemodynamic Tests)/Not Performed	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
HEMOSBP	Most Recent Hemodynamic Data - Systolic Blood Pressure (in mmHg)	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
HEMOSBPST	Most Recent Hemodynamic Data - Systolic Blood Pressure/Not Performed	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
HEMOSVO2	Most Recent Hemodynamic Data - Mixed Venous Oxygen Saturation (SvO2) (in %)	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
HEMOSVO2ST	Most Recent Hemodynamic Data - Mixed Venous Oxygen Saturation (SVO2)/Not Performed	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
HIGHFLOWNASALCANNULA	On high flow nasal cannula	WAITING LIST DATA	2022-11-08 00:00:00				YN	
HRSEVFAILALBUMIN	Most Recent Heart Failure Severity Data - Serum Albumin (g/dL)	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
HRSEVFAILALBUMINDT	Most Recent Heart Failure Severity Data - Serum Albumin Test Date	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
HRSEVFAILALBUMINST	Most Recent Heart Failure Severity Data - Serum Albumin/Not Performed	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
HRSEVFAILARTERIALLACT	Most Recent Heart Failure Severity Data - Arterial Lactate (mmol/L)	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
HRSEVFAILARTERIALLACTDT	Most Recent Heart Failure Severity Data - Arterial Lactate Test Date	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
HRSEVFAILARTERIALLACTST	Most Recent Heart Failure Severity Data - Arterial Lactate/Not Performed	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
HRSEVFAILASPARTRANS	Most Recent Heart Failure Severity Data - AST (U/L)	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
HRSEVFAILASPARTRANSDT	Most Recent Heart Failure Severity Data - AST Test Date	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
HRSEVFAILASPARTRANSST	Most Recent Heart Failure Severity Data - AST/Not Performed	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
HRSEVFAILBILIRUBIN	Most Recent Heart Failure Severity Data - Serum Bilirubin (mg/dL)	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
HRSEVFAILBILIRUBINDT	Most Recent Heart Failure Severity Data - Serum Bilirubin/Test Date	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
HRSEVFAILBILIRUBINST	Most Recent Heart Failure Severity Data - Serum Bilirubin/Not Performed	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
HRSEVFAILBNP	Most Recent Heart Failure Severity Data - BNP (pg/mL)	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
HRSEVFAILBNPDT	Most Recent Heart Failure Severity Data - BNP Test Date	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
HRSEVFAILBNPPERF	Most Recent Heart Failure Severity Data - Brain Natriuretic Peptide Test Performed?	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	CHAR(1)		
HRSEVFAILBUN	Most Recent Heart Failure Severity Data - BUN (mg/dL)	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
HRSEVFAILBUNDT	Most Recent Heart Failure Severity Data - BUN Test Date	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
HRSEVFAILBUNST	Most Recent Heart Failure Severity Data - BUN/Not Performed	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
HRSEVFAILCREATININE	Most Recent Heart Failure Severity Data - Serum Creatinine (mg/dL)	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
HRSEVFAILCREATININEDT	Most Recent Heart Failure Severity Data - Serum Creatinine Test Date	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
HRSEVFAILCREATININEST	Most Recent Heart Failure Severity Data - Serum Creatinine/Not Performed	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
HRSEVFAILINR	Most Recent Heart Failure Severity Data - INR	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
HRSEVFAILINRANTICOAG	Most Recent Heart Failure Severity Data - Was the Candidate on Oral Anticoagulant when INR was Obtained?	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	CHAR(1)		
HRSEVFAILINRDT	Most Recent Heart Failure Severity Data - INR Test Date	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
HRSEVFAILINRST	Most Recent Heart Failure Severity Data - INR/Not Performed	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
HRSEVFAILNTBNPTYPE	Most Recent Heart Failure Severity Data - BNP Test Type	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	CHAR(10)		
HRSEVFAILSODIUM	Most Recent Heart Failure Severity Data - Serum Sodium (mEq/L)	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
HRSEVFAILSODIUMDT	Most Recent Heart Failure Severity Data - Serum Sodium Date	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
HRSEVFAILSODIUMST	Most Recent Heart Failure Severity Data - Serum Sodium/Not Performed	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
HRSEVFAILST	Most Recent Heart Failure Severity Data - Not Performed	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
INACT_REASON_CD	REASON FOR INACTIVE STATUS	WAITING LIST DATA	2006-05-24 00:00:00		WAITING LIST DATA	NUM	INACTREA	
MULTIORGANTRANSPLANTELIGIBLEFLAG	Saftey net flag indicating if thoracic patient is eligible for a kidney transplant	Waitlist	2023-06-29 00:00:00				YN	
PRELIM_XMATCH_REQ	Preliminary Crossmatch Required	WAITING LIST DATA			WAITING LIST DATA	CHAR(1)		
PRIORLIVINGDONOR	Prior living donor	WAITING LIST DATA	2022-11-08 00:00:00				YN	
SENDATACPRA	Most Recent Sensitization Data - CPRA (%)	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
SENDATACPRAST	Most Recent Sensitization Data - CPRA/Not Performed	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
SENDATADT	Most Recent Sensitization Data - Assessment Date	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
SENDATADTST	Most Recent Sensitization Data - Not Performed	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
SENDATAMFITHRESHOLD	Most Recent Sensitization Data - MFI Threshold (MFI)	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
SENDATAMFITHRESHOLDST	Most Recent Sensitization Data - MFI Threshold/Not Performed	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
SENDATAPRAMETHOD	Most Recent Sensitization Data - PRA Typing Method	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
SENDATAPRAMETHODST	Most Recent Sensitization Data - PRA Typing Method/Not Performed	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
UNOS_CAND_STAT_CD	MELD/PELD ALLOCATION SCORE OR STATUS CODE, DIFFERENT THAN LAB SCORE IN CASES OF EXCEPTIONS AND STATUS 1	WAITING LIST DATA	1995-04-01 00:00:00		WAITING LIST DATA	NUM	STAT	
VADHEMOGLOBINURIA	Most Recent Data for VAD Patients - Has the Candidate Experienced Hemoglobinuria?	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	CHAR(1)		
VADLDHLEVELS	Most Recent Data for VAD Patients - LDH (U/L)	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
VADLDHLEVELSDT	Most Recent Data for VAD Patients - LDH Test Date	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
VADLDHLEVELSST	Most Recent Data for VAD Patients - LDH/Not Performed	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
VADPLASMAFREEHEMO	Most Recent Data for VAD Patients - Plasma Free Hemoglobin (mg/dL)	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
VADPLASMAFREEHEMODT	Most Recent Data for VAD Patients - Plasma Free Hemoglobin Date	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
VADPLASMAFREEHEMOST	Most Recent Data for VAD Patients - Plasma Free Hemoglobin/Not Performed	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
VADST	Most Recent Data for VAD Patients - Not Performed	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
