"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max","Identifier?","Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
"anxiety_disorder_symptoms_children_self_report_past_three_months_record_id","px121802_phenx_anxiety_disorders_symptoms_children_self_report",,"text","Record ID",,"PX121802",,,,,,,,,,"",""
"anxiety_disorder_symptoms_children_self_report_past_three_months_afraid_alone_house","px121802_phenx_anxiety_disorders_symptoms_children_self_report",,"radio","I am afraid to be alone in the house.","0, Not true or hardly ever true | 1, Somewhat true or sometimes true | 2, Very true or often true","PX121802",,,,,,,,,"mat","",""
"anxiety_disorder_symptoms_children_self_report_past_three_months_difficulty_talking_strangers","px121802_phenx_anxiety_disorders_symptoms_children_self_report",,"radio","It is hard for me to talk with people I don't know well.","0, Not true or hardly ever true | 1, Somewhat true or sometimes true | 2, Very true or often true","PX121802",,,,,,,,,"mat","",""
"anxiety_disorder_symptoms_children_self_report_past_three_months_frightened_choking","px121802_phenx_anxiety_disorders_symptoms_children_self_report",,"radio","When I get frightened, I feel like I am choking.","0, Not true or hardly ever true | 1, Somewhat true or sometimes true | 2, Very true or often true","PX121802",,,,,,,,,"mat","",""
"anxiety_disorder_symptoms_children_self_report_past_three_months_others_worry","px121802_phenx_anxiety_disorders_symptoms_children_self_report",,"radio","People tell me that I worry too much.","0, Not true or hardly ever true | 1, Somewhat true or sometimes true | 2, Very true or often true","PX121802",,,,,,,,,"mat","",""
"anxiety_disorder_symptoms_children_self_report_past_three_months_away_from_family","px121802_phenx_anxiety_disorders_symptoms_children_self_report",,"radio","I don't like to be away from my family.","0, Not true or hardly ever true | 1, Somewhat true or sometimes true | 2, Very true or often true","PX121802",,,,,,,,,"mat","",""
"anxiety_disorder_symptoms_children_self_report_past_three_months_afraid_anxiety_attacks","px121802_phenx_anxiety_disorders_symptoms_children_self_report",,"radio","I am afraid of having anxiety (or panic) attacks.","0, Not true or hardly ever true | 1, Somewhat true or sometimes true | 2, Very true or often true","PX121802",,,,,,,,,"mat","",""
"anxiety_disorder_symptoms_children_self_report_past_three_months_worry_parents","px121802_phenx_anxiety_disorders_symptoms_children_self_report",,"radio","I worry that something bad might happen to my parents.","0, Not true or hardly ever true | 1, Somewhat true or sometimes true | 2, Very true or often true","PX121802",,,,,,,,,"mat","",""
"anxiety_disorder_symptoms_children_self_report_past_three_months_feel_shy","px121802_phenx_anxiety_disorders_symptoms_children_self_report",,"radio","I feel shy with people I don't know well.","0, Not true or hardly ever true | 1, Somewhat true or sometimes true | 2, Very true or often true","PX121802",,,,,,,,,"mat","",""
"anxiety_disorder_symptoms_children_self_report_past_three_months_worry_future","px121802_phenx_anxiety_disorders_symptoms_children_self_report",,"radio","I worry about what is going to happen in the future.","0, Not true or hardly ever true | 1, Somewhat true or sometimes true | 2, Very true or often true","PX121802",,,,,,,,,"mat","",""
"anxiety_disorder_symptoms_children_self_report_past_three_months_frightened_vomit","px121802_phenx_anxiety_disorders_symptoms_children_self_report",,"radio","When I get frightened, I feel like throwing up.","0, Not true or hardly ever true | 1, Somewhat true or sometimes true | 2, Very true or often true","PX121802",,,,,,,,,"mat","",""
"anxiety_disorder_symptoms_children_self_report_past_three_months_worry_performance","px121802_phenx_anxiety_disorders_symptoms_children_self_report",,"radio","I worry about how well I do things.","0, Not true or hardly ever true | 1, Somewhat true or sometimes true | 2, Very true or often true","PX121802",,,,,,,,,"mat","",""
"anxiety_disorder_symptoms_children_self_report_past_three_months_scared_school","px121802_phenx_anxiety_disorders_symptoms_children_self_report",,"radio","I am scared to go to school.","0, Not true or hardly ever true | 1, Somewhat true or sometimes true | 2, Very true or often true","PX121802",,,,,,,,,"mat","",""
"anxiety_disorder_symptoms_children_self_report_past_three_months_worry","px121802_phenx_anxiety_disorders_symptoms_children_self_report",,"radio","I worry about things that have already happened.","0, Not true or hardly ever true | 1, Somewhat true or sometimes true | 2, Very true or often true","PX121802",,,,,,,,,"mat","",""
"anxiety_disorder_symptoms_children_self_report_past_three_months_frightened_dizzy","px121802_phenx_anxiety_disorders_symptoms_children_self_report",,"radio","When I get frightened, I feel dizzy.","0, Not true or hardly ever true | 1, Somewhat true or sometimes true | 2, Very true or often true","PX121802",,,,,,,,,"mat","",""
"anxiety_disorder_symptoms_children_self_report_past_three_months_nervous_public","px121802_phenx_anxiety_disorders_symptoms_children_self_report",,"radio","I feel nervous when I am with other children or adults and I have to do something while they watch me (for example: read aloud, speak, play a game, play a sport).","0, Not true or hardly ever true | 1, Somewhat true or sometimes true | 2, Very true or often true","PX121802",,,,,,,,,"mat","",""
"anxiety_disorder_symptoms_children_self_report_past_three_months_nervous_social_event","px121802_phenx_anxiety_disorders_symptoms_children_self_report",,"radio","I feel nervous when I am going to parties, dances, or any place where there will be people that I don't know well.","0, Not true or hardly ever true | 1, Somewhat true or sometimes true | 2, Very true or often true","PX121802",,,,,,,,,"mat","",""
"anxiety_disorder_symptoms_children_self_report_past_three_months_shy","px121802_phenx_anxiety_disorders_symptoms_children_self_report",,"radio","I am shy.","0, Not true or hardly ever true | 1, Somewhat true or sometimes true | 2, Very true or often true","PX121802",,,,,,,,,"mat","",""
