"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max","Identifier?","Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
"phenx_lack_of_prosocial_emotions_children_teacherreport_record_id","px121605_phenx_lack_of_prosocial_emotions_children_teacherreport",,"text","Record ID",,"PX121605",,,,,,,,,,"",
"pxt121605_lack_prosocial_emotions_children_self_report_admit_wrong","px121605_phenx_lack_of_prosocial_emotions_children_teacherreport",,"radio","Easily admits to being wrong.","0,Not at all true|1,Somewhat true|2,Very true|3,Definitely true","PX121605",,,,,,,,,,"",""
"pxt121605_lack_prosocial_emotions_children_self_report_easy_others_feelings","px121605_phenx_lack_of_prosocial_emotions_children_teacherreport",,"radio","It is easy to tell how he/she is feeling.","0,Not at all true|1,Somewhat true|2,Very true|3,Definitely true","PX121605",,,,,,,,,,"",""
"pxt121605_lack_prosocial_emotions_children_self_report_try_best","px121605_phenx_lack_of_prosocial_emotions_children_teacherreport",,"radio","Always tries his/her best","0,Not at all true|1,Somewhat true|2,Very true|3,Definitely true","PX121605",,,,,,,,,,"",""
"pxt121605_lack_prosocial_emotions_children_self_report_apologize","px121605_phenx_lack_of_prosocial_emotions_children_teacherreport",,"radio","Apologizes (""says he/she is sorry"") to persons he/she has hurt.","0, Not at all true | 1, Somewhat true | 2, Very true | 3, Definitely true","PX121605",,,,,,,,,,"",""
"pxt121605_lack_prosocial_emotions_children_self_report_others_feelings_important","px121605_phenx_lack_of_prosocial_emotions_children_teacherreport",,"radio","Tries not to hurt others' feelings.","0, Not at all true | 1, Somewhat true | 2, Very true | 3, Definitely true","PX121605",,,,,,,,,,"",""
"pxt121605_lack_prosocial_emotions_children_self_report_remorseful","px121605_phenx_lack_of_prosocial_emotions_children_teacherreport",,"radio","Shows no remorse when he/she has done something wrong.","0,Not at all true|1,Somewhat true|2,Very true|3,Definitely true","PX121605",,,,,,,,,,"",""
"pxt121605_lack_prosocial_emotions_children_self_report_expressive_emotional","px121605_phenx_lack_of_prosocial_emotions_children_teacherreport",,"radio","Is very expressive and emotional.","0,Not at all true|1,Somewhat true|2,Very true|3,Definitely true","PX121605",,,,,,,,,,"",""
"pxt121605_lack_prosocial_emotions_children_self_report_time_perform_well","px121605_phenx_lack_of_prosocial_emotions_children_teacherreport",,"radio","Does not like to put the time into doing things well.","0,Not at all true|1,Somewhat true|2,Very true|3,Definitely true","PX121605",,,,,,,,,,"",""
"pxt121605_lack_prosocial_emotions_children_self_report_others_feelings_unimportant","px121605_phenx_lack_of_prosocial_emotions_children_teacherreport",,"radio","The feelings of others are unimportant to him/her.","0,Not at all true|1,Somewhat true|2,Very true|3,Definitely true","PX121605",,,,,,,,,,"",""
"pxt121605_lack_prosocial_emotions_children_self_report_hide_feelings","px121605_phenx_lack_of_prosocial_emotions_children_teacherreport",,"radio","Hides his/her feelings from others.","0,Not at all true|1,Somewhat true|2,Very true|3,Definitely true","PX121605",,,,,,,,,,"",""
"pxt121605_lack_prosocial_emotions_children_self_report_work_hard","px121605_phenx_lack_of_prosocial_emotions_children_teacherreport",,"radio","Works hard on everything.","0,Not at all true|1,Somewhat true|2,Very true|3,Definitely true","PX121605",,,,,,,,,,"",""
"pxt121605_lack_prosocial_emotions_children_self_report_motivation_others_feelings","px121605_phenx_lack_of_prosocial_emotions_children_teacherreport",,"radio","Does things to make others feel good.","0,Not at all true|1,Somewhat true|2,Very true|3,Definitely true","PX121605",,,,,,,,,,"",""
