"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max","Identifier?","Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
"factor_nine_individual_chromogenic_standard_record_id","px910903_factor_nine_individual_chromogenic_standard",,"text","Record ID",,"PX910903",,,,,,,,,,"",
"factor_nine_individual_chromogenic_standard_sample_processing_whole_blood_centrifuged","px910903_factor_nine_individual_chromogenic_standard",,"radio","Were samples transported and stored as whole blood samples centrifuged and maintained in sodium citrate tubes?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX910903",,,,,,,,,,"",""
"factor_nine_individual_chromogenic_standard_sample_processing_plasma_processed_centrifugation","px910903_factor_nine_individual_chromogenic_standard",,"radio","Were samples transported and stored as plasma processed by centrifugation and aliquoting into a second tube?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX910903",,,,,,,,,,"",""
"factor_nine_individual_chromogenic_standard_whole_blood_ppp","px910903_factor_nine_individual_chromogenic_standard",,"radio","Were whole blood samples processed to platelet poor plasma (PPP) within 1 hour of collection?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX910903",,,,,"[factor_nine_individual_chromogenic_standard_sample_processing_whole_blood_centrifuged] = 'UNDEFINED_CODE' or [factor_nine_individual_chromogenic_standard_sample_processing_plasma_processed_centrifugation] = 'UNDEFINED_CODE'",,,,,"",""
"factor_nine_individual_chromogenic_standard_whole_blood_assayed","px910903_factor_nine_individual_chromogenic_standard",,"radio","Were samples assayed within 4 hours of collection?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX910903",,,,,"[factor_nine_individual_chromogenic_standard_sample_processing_whole_blood_centrifuged] = 'UNDEFINED_CODE' or [factor_nine_individual_chromogenic_standard_sample_processing_plasma_processed_centrifugation] = 'UNDEFINED_CODE'",,,,,"",""
"factor_nine_individual_chromogenic_standard_centrifuge_validated","px910903_factor_nine_individual_chromogenic_standard",,"radio","Was the centrifuge validated so that process results in less than 10,000 platelets/microliter?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX910903",,,,,"[factor_nine_individual_chromogenic_standard_sample_processing_whole_blood_centrifuged] = 'UNDEFINED_CODE' or [factor_nine_individual_chromogenic_standard_sample_processing_plasma_processed_centrifugation] = 'UNDEFINED_CODE'",,,,,"",""
"factor_nine_individual_chromogenic_standard_frozen_immediately","px910903_factor_nine_individual_chromogenic_standard",,"radio","Were centrifuged samples frozen immedietely and stored at -20C for 2 weeks?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX910903",,,,,"[factor_nine_individual_chromogenic_standard_sample_processing_whole_blood_centrifuged] = 'UNDEFINED_CODE' or [factor_nine_individual_chromogenic_standard_sample_processing_plasma_processed_centrifugation] = 'UNDEFINED_CODE'",,,,,"",""
"factor_nine_individual_chromogenic_standard_transferred_storage","px910903_factor_nine_individual_chromogenic_standard",,"radio","Were samples transferred to < -70C for longer storage, including shipment?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX910903",,,,,"[factor_nine_individual_chromogenic_standard_sample_processing_whole_blood_centrifuged] = 'UNDEFINED_CODE' or [factor_nine_individual_chromogenic_standard_sample_processing_plasma_processed_centrifugation] = 'UNDEFINED_CODE'",,,,,"",""
"factor_nine_individual_chromogenic_standard_chromogenic_substrate_assay_","px910903_factor_nine_individual_chromogenic_standard",,"radio","Were assays and instruments appropriate to perform the chromogenic substrate assay chosen?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX910903",,,,,,,,,,"",""
"factor_nine_individual_chromogenic_standard_individual_pharmacokinetic_study_","px910903_factor_nine_individual_chromogenic_standard",,"radio","Were pharmacokinetic evaluations using the chromogenic substrate assay be performed according to the parameters outlined by Subcommittee on Factor VIII and Factor IX of the Scientific and Standardization Committee of the International Society on Thrombosis and Haemostasis (Lee et al., 2001)?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX910903",,,,,,,,,,"",""
"factor_nine_individual_chromogenic_standard_individual_pharmacokinetic_before_infusion_baseline","px910903_factor_nine_individual_chromogenic_standard",,"radio","Was Factor IX activity tested before infusion (baseline)?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX910903",,,,,,,,,,"",""
"factor_nine_individual_chromogenic_standard_individual_pharmacokinetic_after_infusion_minutes_10","px910903_factor_nine_individual_chromogenic_standard",,"radio","Was Factor IX activity tested 10-15 minutes after infusion?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX910903",,,,,,,,,,"",""
"factor_nine_individual_chromogenic_standard_individual_pharmacokinetic_after_infusion_minutes_30","px910903_factor_nine_individual_chromogenic_standard",,"radio","Was Factor IX activity tested 30 minutes after infusion?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX910903",,,,,,,,,,"",""
"factor_nine_individual_chromogenic_standard_individual_pharmacokinetic_after_infusion_hours_1","px910903_factor_nine_individual_chromogenic_standard",,"radio","Was Factor IX activity tested 1 hour after infusion?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX910903",,,,,,,,,,"",""
"factor_nine_individual_chromogenic_standard_individual_pharmacokinetic_after_infusion_hours_3","px910903_factor_nine_individual_chromogenic_standard",,"radio","Was Factor IX activity tested 3 hours after infusion?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX910903",,,,,,,,,,"",""
"factor_nine_individual_chromogenic_standard_individual_pharmacokinetic_after_infusion_hours_6","px910903_factor_nine_individual_chromogenic_standard",,"radio","Was Factor IX activity tested 6 hours after infusion?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX910903",,,,,,,,,,"",""
"factor_nine_individual_chromogenic_standard_individual_pharmacokinetic_after_infusion_hours_9","px910903_factor_nine_individual_chromogenic_standard",,"radio","Was Factor IX activity tested 9 hours after infusion?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX910903",,,,,,,,,,"",""
"factor_nine_individual_chromogenic_standard_individual_pharmacokinetic_after_infusion_hours_24","px910903_factor_nine_individual_chromogenic_standard",,"radio","Was Factor IX activity tested 24 hours after infusion?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX910903",,,,,,,,,,"",""
"factor_nine_individual_chromogenic_standard_individual_pharmacokinetic_after_infusion_hours_48","px910903_factor_nine_individual_chromogenic_standard",,"radio","Was Factor IX activity tested 48 hours after infusion?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX910903",,,,,,,,,,"",""
"factor_nine_individual_chromogenic_standard_individual_pharmacokinetic_after_infusion_hours_50","px910903_factor_nine_individual_chromogenic_standard",,"radio","Was Factor IX activity tested 50 hours after infusion?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX910903",,,,,,,,,,"",""
"factor_nine_individual_chromogenic_standard_interpretation_individual_pharmacokinetic_results","px910903_factor_nine_individual_chromogenic_standard",,"radio","Were results interpreted according to? The half-life of Factor IX therapies is highly variable (see [Iorio, 2017]) and the level at which an inhibitor is suggested has not been established.","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX910903",,,,,,,,,,"",""
