"Media/File ID",Title,Description,"Core or Supplemental","File Language","Research Topic",Copyright,"Link to File","CDE Language"
8661,peg-crf-swedish.docx,"The Pain, Enjoyment of Life and General Activity (PEG) scale is used for quickly assessing and monitoring chronic pain.","All Core, Adult Chronic",Swedish,"Pain Intensity, Pain Interference",No,https://heal.nih.gov/files/CDEs/2023-10/peg-crf-swedish.docx,Swedish
5111,peg-cdes.xlsx,"The Pain, Enjoyment of Life and General Activity (PEG) scale is used for quickly assessing and monitoring chronic pain.","All Core, Adult Chronic",English,"Pain Intensity, Pain Interference",No,https://heal.nih.gov/files/CDEs/2023-05/peg-cdes.xlsx,Swedish
8716,taps-1-crf-swedish.docx,"The Tobacco, Alcohol, Prescription medications, and other Substance (TAPS) Tool measures the participants tobacco use, alcohol use, prescription medication misuse, and illicit substance use in the past year.","All Core, Adult Chronic, Adult Acute",Swedish,"Substance Use",No,https://heal.nih.gov/files/CDEs/2023-11/taps-1-crf-swedish.docx,Swedish
5071,taps-cdes.xlsx,"The Tobacco, Alcohol, Prescription medications, and other Substance (TAPS) Tool measures the participants tobacco use, alcohol use, prescription medication misuse, and illicit substance use in the past year.","All Core, Adult Chronic, Adult Acute",English,"Substance Use",No,https://heal.nih.gov/files/CDEs/2023-05/taps-cdes.xlsx,Swedish
8751,gad-2-crf-swedish.docx,"The Generalized Anxiety Disorder 2 (GAD-2) is an initial screening tool for generalized anxiety disorder.","All Core, Adult Chronic, Adult Acute, Pediatrics",Swedish,Anxiety,No,https://heal.nih.gov/files/CDEs/2023-11/gad-2-crf-swedish.docx,Swedish
5096,gad2-cdes.xlsx,"The Generalized Anxiety Disorder 2 (GAD-2) is an initial screening tool for generalized anxiety disorder.","All Core, Adult Chronic, Adult Acute, Pediatrics",English,Anxiety,No,https://heal.nih.gov/files/CDEs/2023-05/gad2-cdes.xlsx,Swedish
8746,gad-7-crf-swedish.docx,"The Generalized Anxiety Disorder 7 (GAD-7) is an initial screening tool for generalized anxiety disorder.","All Core, Adult Chronic, Adult Acute, Pediatrics, Supplemental",Swedish,Anxiety,No,https://heal.nih.gov/files/CDEs/2023-11/gad-7-crf-swedish.docx,Swedish
5351,generalized-anxiety-disorder-7-cde.xlsx,"The Generalized Anxiety Disorder 7 (GAD-7) is an initial screening tool for generalized anxiety disorder.","All Core, Adult Chronic, Adult Acute, Pediatrics, Supplemental",English,Anxiety,No,https://heal.nih.gov/files/CDEs/2023-06/generalized-anxiety-disorder-7-cde.xlsx,Swedish
8736,phq-2-crf-swedish.docx,"The Patient Health Questionnaire 2 (PHQ-2) measures the frequency of depressed mood and anhedonia over the past two weeks.","All Core, Adult Chronic, Adult Acute, Pediatrics",Swedish,Depression,No,https://heal.nih.gov/files/CDEs/2023-11/phq-2-crf-swedish.docx,Swedish
4936,phq2-cdes.xlsx,"The Patient Health Questionnaire 2 (PHQ-2) measures the frequency of depressed mood and anhedonia over the past two weeks.","All Core, Adult Chronic, Adult Acute, Pediatrics",English,Depression,No,https://heal.nih.gov/files/CDEs/2023-05/phq2-cdes.xlsx,Swedish
8731,phq-8-crf-swedish.docx,"The Patient Health Questionnaire 8 (PHQ-8) measures the frequency of depressed mood and anhedonia over the past two weeks.","All Core, Adult Chronic, Adult Acute, Pediatrics, Supplemental",Swedish,Depression,No,https://heal.nih.gov/files/CDEs/2023-11/phq-8-crf-swedish.docx,Swedish
5361,patient-health-questionnaire-8-cde.xlsx,"The Patient Health Questionnaire 8 (PHQ-8) measures the frequency of depressed mood and anhedonia over the past two weeks.","All Core, Adult Chronic, Adult Acute, Pediatrics, Supplemental",English,Depression,No,https://heal.nih.gov/files/CDEs/2023-06/patient-health-questionnaire-8-cde.xlsx,Swedish
7106,bpi-7day-copyright-statement.docx,"The Brief Pain Inventory SF 7 day recall (BPI SF) assesses the severity of pain and the impact of pain on daily functions, over the past 7 days.",Supplemental,English,"Pain Quality",Yes,https://heal.nih.gov/files/CDEs/2023-09/bpi-7day-copyright-statement.docx,English
7661,pcl-5-crf.docx,"The PTSD Checklist for DSM 5 (PCL 5) is a 20-item self-report measure that assesses the 20 DSM-5 symptoms of PTSD.",Supplemental,English,Trauma/PTSD,No,https://heal.nih.gov/files/CDEs/2023-09/pcl-5-crf.docx,English
7651,pcl-5-cde.xlsx,"The PTSD Checklist for DSM 5 (PCL 5) is a 20-item self-report measure that assesses the 20 DSM-5 symptoms of PTSD.",Supplemental,English,Trauma/PTSD,No,https://heal.nih.gov/files/CDEs/2023-09/pcl-5-cde.xlsx,English
8351,thq-crf.docx,"The Trauma History Questionnaire (THQ) is a 24 item self-report measure that examines experiences with potentially traumatic events such as crime, general disaster, and sexual and physical assault using a yes/no format.",Supplemental,English,Trauma/PTSD,No,https://heal.nih.gov/files/CDEs/2023-09/thq-crf.docx,English
8346,thq-cde.xlsx,"The Trauma History Questionnaire (THQ) is a 24 item self-report measure that examines experiences with potentially traumatic events such as crime, general disaster, and sexual and physical assault using a yes/no format.",Supplemental,English,Trauma/PTSD,No,https://heal.nih.gov/files/CDEs/2023-09/thq-cde.xlsx,English
7236,experiences-questionnaire-copyright-statement.docx,"The Experiences Questionnaire is a 20 item self-report measure targeting specifically decentering, a multifaceted construct involving the ability of viewing the self as separate and different from its own thoughts, the capacity of non-reacting to negative experiences, as well as the ability to be self-compassionate.",Supplemental,English,"Treatment Expectations",Yes,https://heal.nih.gov/files/CDEs/2023-09/experiences-questionnaire-copyright-statement.docx,English
7126,brief-rcope-crf.docx,"The Brief Religious Coping (Brief RCOPE) is a 14-item measure of religious coping with major life stressors.",Supplemental,English,Values,No,https://heal.nih.gov/files/CDEs/2023-09/brief-rcope-crf.docx,English
7121,brief-rcope-cde.xlsx,"The Brief Religious Coping (Brief RCOPE) is a 14-item measure of religious coping with major life stressors.",Supplemental,English,Values,No,https://heal.nih.gov/files/CDEs/2023-09/brief-rcope-cde.xlsx,English
7796,promis-anger-sf-8a-crf.docx,"The PROMIS Anger 8a assess self-reported angry mood (irritability, frustration), negative social cognitions (interpersonal sensitivity, envy, disagreeableness), and efforts to control anger.",Supplemental,English,Anger,No,https://heal.nih.gov/files/CDEs/2023-09/promis-anger-sf-8a-crf.docx,English
5631,promis-anger-sf-8a-cde.xlsx,"The PROMIS Anger 8a assess self-reported angry mood (irritability, frustration), negative social cognitions (interpersonal sensitivity, envy, disagreeableness), and efforts to control anger.",Supplemental,English,Anger,No,https://heal.nih.gov/files/CDEs/2023-07/promis-anger-sf-8a-cde.xlsx,English
7461,mbm-crf.docx,"The Michigan Body Map (MBM) is a self-report measure to assess body areas where chronic pain is experienced and to specifically quantify the degree of widespread body pain when assessing for centralized pain features.",Supplemental,English,"Body Maps",Yes,https://heal.nih.gov/files/CDEs/2023-09/mbm-crf.docx,English
7451,mbm-cde.xlsx,"The Michigan Body Map (MBM) is a self-report measure to assess body areas where chronic pain is experienced and to specifically quantify the degree of widespread body pain when assessing for centralized pain features.",Supplemental,English,"Body Maps",Yes,https://heal.nih.gov/files/CDEs/2023-09/mbm-cde.xlsx,English
8911,mbm-copyright-statement.docx,"The Michigan Body Map (MBM) is a self-report measure to assess body areas where chronic pain is experienced and to specifically quantify the degree of widespread body pain when assessing for centralized pain features.",Supplemental,English,"Body Maps",Yes,https://heal.nih.gov/files/CDEs/2024-01/mbm-copyright-statement.docx,English
8406,mbm-crf-spanish.docx,"The Michigan Body Map (MBM) is a self-report measure to assess body areas where chronic pain is experienced and to specifically quantify the degree of widespread body pain when assessing for centralized pain features.",Supplemental,Spanish,"Body Maps",Yes,https://heal.nih.gov/files/CDEs/2023-09/mbm-crf-spanish.docx,Spanish
7326,hamd-copyright-statement.docx,"The Hamilton Rating Scale for Depression (HAM D) is a multiple-item questionnaire used to provide an indication of depression, and as a guide to evaluate recovery.",Supplemental,English,Depression,Yes,https://heal.nih.gov/files/CDEs/2023-09/hamd-copyright-statement.docx,English
7246,fibser-crf.docx,"The Frequency, Intensity, and Burden of Side Effects Ratings (FIBSER) is a 3 item scale to assess side effects from antidepressant treatment.",Supplemental,English,"General Health Measures",No,https://heal.nih.gov/files/CDEs/2023-09/fibser-crf.docx,English
7241,fibser-cde.xlsx,"The Frequency, Intensity, and Burden of Side Effects Ratings (FIBSER) is a 3 item scale to assess side effects from antidepressant treatment.",Supplemental,English,"General Health Measures",No,https://heal.nih.gov/files/CDEs/2023-09/fibser-cde.xlsx,English
8481,promis-social-isolation-8a-crf-spanish.pdf,"The PROMIS Social Isolation SF 8a assesses perceptions of being avoided, excluded, detached, disconnected from, or unknown by others.",Supplemental,Spanish,"Social Support",No,https://heal.nih.gov/files/CDEs/2023-09/promis-social-isolation-8a-crf-spanish.pdf,Spanish
8186,promis-social-isolation-8a-cde.xlsx,"The PROMIS Social Isolation SF 8a assesses perceptions of being avoided, excluded, detached, disconnected from, or unknown by others.",Supplemental,English,"Social Support",No,https://heal.nih.gov/files/CDEs/2023-09/promis-social-isolation-8a-cde.xlsx,Spanish
7396,isncsci-copyright-statement.docx,"The International Standards for Neurological Classification of Spinal Cord Injury (ISNCSCI) is an assessment for patients with spinal cord injury (SCI) and their measurement properties have been evaluated in patients with traumatic lesions.",Supplemental,English,"Spinal Cord",Yes,https://heal.nih.gov/files/CDEs/2023-09/isncsci-copyright-statement.docx,English
8316,scim-crf.docx,"The Spinal Cord Independence Measure (SCIM) assesses traumatic and non-traumatic, acute and chronic spinal cord injury (SCI).",Supplemental,English,"Spinal Cord",No,https://heal.nih.gov/files/CDEs/2023-09/scim-crf.docx,English
8311,scim-cde.xlsx,"The Spinal Cord Independence Measure (SCIM) assesses traumatic and non-traumatic, acute and chronic spinal cord injury (SCI).",Supplemental,English,"Spinal Cord",No,https://heal.nih.gov/files/CDEs/2023-09/scim-cde.xlsx,English
8981,scim-copyright-statement.docx,"The Spinal Cord Independence Measure (SCIM) assesses traumatic and non-traumatic, acute and chronic spinal cord injury (SCI).",Supplemental,English,"Spinal Cord",No,https://heal.nih.gov/files/CDEs/2024-01/scim-copyright-statement.docx,English
8246,psocq-a-crf.docx,"The Pain Stages of Change Questionnaire Adolescent (PSOCQ A) measures an individual's willingness to adopt a self-management plan to control their chronic pain in the adolescent population.",Supplemental,English,"Stages of Change",No,https://heal.nih.gov/files/CDEs/2023-09/psocq-a-crf.docx,English
8241,psocq-a-cde.xlsx,"The Pain Stages of Change Questionnaire Adolescent (PSOCQ A) measures an individual's willingness to adopt a self-management plan to control their chronic pain in the adolescent population.",Supplemental,English,"Stages of Change",No,https://heal.nih.gov/files/CDEs/2023-09/psocq-a-cde.xlsx,English
8261,pss-4-copyright-statement.docx,"The Perceived Stress Scale 4 item (PSS 4) measures the degree to which situations in one's life are appraised as stressful.",Supplemental,English,Stress,Yes,https://heal.nih.gov/files/CDEs/2023-09/pss-4-copyright-statement.docx,"English,Spanish"
8266,pss-10-copyright-statement.docx,"The Perceived Stress Scale 10 item (PSS 10) measures the degree to which situations in one's life are appraised as stressful.",Supplemental,English,Stress,Yes,https://heal.nih.gov/files/CDEs/2023-09/pss-10-copyright-statement.docx,English
7596,osu-tbi-crf.docx,"The Ohio State University Traumatic Brain Injury Identification (OSU TBI ID) is a standardized procedure for eliciting a person's lifetime history of TBI through a 3-5 minute structured interview.",Supplemental,English,TBI,No,https://heal.nih.gov/files/CDEs/2023-09/osu-tbi-crf.docx,English
7591,osu-tbi-cde.xlsx,"The Ohio State University Traumatic Brain Injury Identification (OSU TBI ID) is a standardized procedure for eliciting a person's lifetime history of TBI through a 3-5 minute structured interview.",Supplemental,English,TBI,No,https://heal.nih.gov/files/CDEs/2023-09/osu-tbi-cde.xlsx,English
8306,scat-crf.docx,"The Symptom Evaluation Sports Concussion Assessment Tool (SCAT) aids in evaluation of athletes suspected of having sustained an assessment and management of concussion.",Supplemental,English,TBI,No,https://heal.nih.gov/files/CDEs/2023-09/scat-crf.docx,English
8301,scat-cde.xlsx,"The Symptom Evaluation Sports Concussion Assessment Tool (SCAT) aids in evaluation of athletes suspected of having sustained an assessment and management of concussion.",Supplemental,English,TBI,No,https://heal.nih.gov/files/CDEs/2023-09/scat-cde.xlsx,English
7046,aces-crf.docx,"The Adverse Childhood Experiences (ACEs) Questionnaire is a 10-item measure used to measure childhood trauma.",Supplemental,English,Trauma/PTSD,No,https://heal.nih.gov/files/CDEs/2023-09/aces-crf.docx,English
7036,aces-cde.xlsx,"The Adverse Childhood Experiences (ACEs) Questionnaire is a 10-item measure used to measure childhood trauma.",Supplemental,English,Trauma/PTSD,No,https://heal.nih.gov/files/CDEs/2023-09/aces-cde.xlsx,English
8386,aces-crf-spanish.docx,"The Adverse Childhood Experiences (ACEs) Questionnaire is a 10-item measure used to measure childhood trauma.",Supplemental,Spanish,Trauma/PTSD,No,https://heal.nih.gov/files/CDEs/2023-09/aces-crf-spanish.docx,Spanish
7416,lec-5-crf.docx,"The Life Events Checklist for DSM 5 (LEC 5) is a self-report measure designed to screen for potentially traumatic events in a respondent's lifetime.",Supplemental,English,Trauma/PTSD,No,https://heal.nih.gov/files/CDEs/2023-09/lec-5-crf.docx,English
7411,lec-5-cde.xlsx,"The Life Events Checklist for DSM 5 (LEC 5) is a self-report measure designed to screen for potentially traumatic events in a respondent's lifetime.",Supplemental,English,Trauma/PTSD,No,https://heal.nih.gov/files/CDEs/2023-09/lec-5-cde.xlsx,English
7656,pc-ptsd-5-crf.docx,"The Primary Care PTSD Screen for DSM 5 (PC PTSD 5) is a 5-item screen that was designed to identify individuals with probable PTSD in primary care settings.",Supplemental,English,Trauma/PTSD,No,https://heal.nih.gov/files/CDEs/2023-09/pc-ptsd-5-crf.docx,English
7646,pc-ptsd-5-cde.xlsx,"The Primary Care PTSD Screen for DSM 5 (PC PTSD 5) is a 5-item screen that was designed to identify individuals with probable PTSD in primary care settings.",Supplemental,English,Trauma/PTSD,No,https://heal.nih.gov/files/CDEs/2023-09/pc-ptsd-5-cde.xlsx,English
8476,promis-sleep-related-impairment-cat-crf-spanish.pdf,"The PROMIS Sleep-Related Impairment CAT questionnaire measures self-reported alertness, sleepiness, tiredness, and functional impairments associated with sleep problems during waking hours within the past 7 days.",Supplemental,Spanish,Sleep,No,https://heal.nih.gov/files/CDEs/2023-09/promis-sleep-related-impairment-cat-crf-spanish.pdf,Spanish
8181,promis-sleep-related-impairment-cat-cde.xlsx,"The PROMIS Sleep-Related Impairment CAT questionnaire measures self-reported alertness, sleepiness, tiredness, and functional impairments associated with sleep problems during waking hours within the past 7 days.",Supplemental,English,Sleep,No,https://heal.nih.gov/files/CDEs/2023-09/promis-sleep-related-impairment-cat-cde.xlsx,Spanish
7811,promis-companionship-4a-crf.pdf,"The PROMIS Companionship SF 4a is a 4 item, self-reported measure to assess how often a person experiences companionship.",Supplemental,English,"Social Support",No,https://heal.nih.gov/files/CDEs/2023-09/promis-companionship-4a-crf.pdf,English
7806,promis-companionship-4a-cde.xlsx,"The PROMIS Companionship SF 4a is a 4 item, self-reported measure to assess how often a person experiences companionship.",Supplemental,English,"Social Support",No,https://heal.nih.gov/files/CDEs/2023-09/promis-companionship-4a-cde.xlsx,English
8431,promis-companionship-4a-crf-spanish.pdf,"The PROMIS Companionship SF 4a is a 4 item, self-reported measure to assess how often a person experiences companionship.",Supplemental,Spanish,"Social Support",No,https://heal.nih.gov/files/CDEs/2023-09/promis-companionship-4a-crf-spanish.pdf,Spanish
7386,isel-12-crf.docx,"The Interpersonal Support Evaluation List 12 (ISEL 12) measures functional (i.e., perceived) social support.",Supplemental,English,"Social Support",No,https://heal.nih.gov/files/CDEs/2023-09/isel-12-crf.docx,English
7381,isel-12-cde.xlsx,"The Interpersonal Support Evaluation List 12 (ISEL 12) measures functional (i.e., perceived) social support.",Supplemental,English,"Social Support",No,https://heal.nih.gov/files/CDEs/2023-09/isel-12-cde.xlsx,English
8401,isel-12-crf-spanish.docx,"The Interpersonal Support Evaluation List 12 (ISEL 12) measures functional (i.e., perceived) social support.",Supplemental,Spanish,"Social Support",No,https://heal.nih.gov/files/CDEs/2023-09/isel-12-crf-spanish.docx,Spanish
7516,mspss-crf.docx,"The Multidimensional Scale of Perceived Social Support (MSPSS) assesses perceived adequacy of social support from 3 sources: family, friends, and significant other.",Supplemental,English,"Social Support",No,https://heal.nih.gov/files/CDEs/2023-09/mspss-crf.docx,English
7511,mspss-cde.xlsx,"The Multidimensional Scale of Perceived Social Support (MSPSS) assesses perceived adequacy of social support from 3 sources: family, friends, and significant other.",Supplemental,English,"Social Support",No,https://heal.nih.gov/files/CDEs/2023-09/mspss-cde.xlsx,English
8006,promis-pediatric-peer-relationships-8a-crf.pdf,"The PROMIS Pediatric Peer Relationships SF 8a assesses self-reported quality of relationships with friends and other acquaintances, in the pediatric population.",Supplemental,English,"Social Support",No,https://heal.nih.gov/files/CDEs/2023-09/promis-pediatric-peer-relationships-8a-crf.pdf,English
7991,promis-pediatric-peer-relationships-8a-cde.xlsx,"The PROMIS Pediatric Peer Relationships SF 8a assesses self-reported quality of relationships with friends and other acquaintances, in the pediatric population.",Supplemental,English,"Social Support",No,https://heal.nih.gov/files/CDEs/2023-09/promis-pediatric-peer-relationships-8a-cde.xlsx,English
8446,promis-pediatric-peer-relationships-8a-crf-spanish.pdf,"The PROMIS Pediatric Peer Relationships SF 8a assesses self-reported quality of relationships with friends and other acquaintances, in the pediatric population.",Supplemental,Spanish,"Social Support",No,https://heal.nih.gov/files/CDEs/2023-09/promis-pediatric-peer-relationships-8a-crf-spanish.pdf,Spanish
8196,promis-social-isolation-8a-crf.pdf,"The PROMIS Social Isolation SF 8a assesses perceptions of being avoided, excluded, detached, disconnected from, or unknown by others.",Supplemental,English,"Social Support",No,https://heal.nih.gov/files/CDEs/2023-09/promis-social-isolation-8a-crf.pdf,English
7391,isi-copyright-statement.docx,"The Insomnia Severity Index (ISI) is a brief instrument designed to assess the severity of both nighttime and daytime components of insomnia.",Supplemental,English,Sleep,Yes,https://heal.nih.gov/files/CDEs/2023-09/isi-copyright-statement.docx,"English,Spanish"
7496,mos-sleep-scale-crf.docx,"The Medical Outcomes Study Sleep Scale measures 6 factors: sleep initiation, maintenance, respiratory problems, quantity, perceived adequacy, and somnolence.",Supplemental,English,Sleep,No,https://heal.nih.gov/files/CDEs/2023-09/mos-sleep-scale-crf.docx,English
7491,mos-sleep-scale-cde.xlsx,"The Medical Outcomes Study Sleep Scale measures 6 factors: sleep initiation, maintenance, respiratory problems, quantity, perceived adequacy, and somnolence.",Supplemental,English,Sleep,No,https://heal.nih.gov/files/CDEs/2023-09/mos-sleep-scale-cde.xlsx,English
8256,psqi-crf.docx,"The Pittsburg Sleep Quality Index is a measure to indicate how frequently one has experienced certain sleep difficulties over the past month and to rate their overall sleep quality.",Supplemental,English,Sleep,No,https://heal.nih.gov/files/CDEs/2023-09/psqi-crf.docx,English
8251,psqi-cde.xlsx,"The Pittsburg Sleep Quality Index is a measure to indicate how frequently one has experienced certain sleep difficulties over the past month and to rate their overall sleep quality.",Supplemental,English,Sleep,No,https://heal.nih.gov/files/CDEs/2023-09/psqi-cde.xlsx,English
8961,psqi-copyright-statement.docx,"The Pittsburg Sleep Quality Index is a measure to indicate how frequently one has experienced certain sleep difficulties over the past month and to rate their overall sleep quality.",Supplemental,English,Sleep,No,https://heal.nih.gov/files/CDEs/2024-01/psqi-copyright-statement.docx,English
8486,psqi-crf-spanish.docx,"The Pittsburg Sleep Quality Index is a measure to indicate how frequently one has experienced certain sleep difficulties over the past month and to rate their overall sleep quality.",Supplemental,Spanish,Sleep,No,https://heal.nih.gov/files/CDEs/2023-09/psqi-crf-spanish.docx,Spanish
8161,promis-sleep-disturbance-4a-crf.pdf,"The PROMIS Sleep Disturbance SF 4a measure assesses the pure domain of sleep disturbance in individuals age 18 and older.",Supplemental,English,Sleep,No,https://heal.nih.gov/files/CDEs/2023-09/promis-sleep-disturbance-4a-crf.pdf,English
8156,promis-sleep-disturbance-4a-cde.xlsx,"The PROMIS Sleep Disturbance SF 4a measure assesses the pure domain of sleep disturbance in individuals age 18 and older.",Supplemental,English,Sleep,No,https://heal.nih.gov/files/CDEs/2023-09/promis-sleep-disturbance-4a-cde.xlsx,English
8171,promis-sleep-disturbance-4a-spanish-crf.pdf,"The PROMIS Sleep Disturbance SF 4a measure assesses the pure domain of sleep disturbance in individuals age 18 and older.",Supplemental,English,Sleep,No,https://heal.nih.gov/files/CDEs/2023-09/promis-sleep-disturbance-4a-spanish-crf.pdf,Spanish
8176,promis-sleep-related-impairment-8a-crf.pdf,"The PROMIS Sleep-Related Impairment 8a questionnaire measures self-reported alertness, sleepiness, tiredness, and functional impairments associated with sleep problems during waking hours within the past 7 days.",Supplemental,English,Sleep,No,https://heal.nih.gov/files/CDEs/2023-09/promis-sleep-related-impairment-8a-crf.pdf,English
8166,promis-sleep-related-impairment-8a-cde.xlsx,"The PROMIS Sleep-Related Impairment 8a questionnaire measures self-reported alertness, sleepiness, tiredness, and functional impairments associated with sleep problems during waking hours within the past 7 days.",Supplemental,English,Sleep,No,https://heal.nih.gov/files/CDEs/2023-09/promis-sleep-related-impairment-8a-cde.xlsx,English
8471,promis-sleep-related-impairment-8a-crf-spanish.pdf,"The PROMIS Sleep-Related Impairment 8a questionnaire measures self-reported alertness, sleepiness, tiredness, and functional impairments associated with sleep problems during waking hours within the past 7 days.",Supplemental,Spanish,Sleep,No,https://heal.nih.gov/files/CDEs/2023-09/promis-sleep-related-impairment-8a-crf-spanish.pdf,Spanish
8191,promis-sleep-related-impairment-cat-crf.pdf,"The PROMIS Sleep-Related Impairment CAT questionnaire measures self-reported alertness, sleepiness, tiredness, and functional impairments associated with sleep problems during waking hours within the past 7 days.",Supplemental,English,Sleep,No,https://heal.nih.gov/files/CDEs/2023-09/promis-sleep-related-impairment-cat-crf.pdf,English
7641,paq-crf.docx,"The Photosensitivity Assessment Questionnaire (PAQ) is a self-report measure that evaluates two dimensions of photosensitivity: photophilia and photophobia.",Supplemental,English,Sensory,No,https://heal.nih.gov/files/CDEs/2023-09/paq-crf.docx,English
7636,paq-cde.xlsx,"The Photosensitivity Assessment Questionnaire (PAQ) is a self-report measure that evaluates two dimensions of photosensitivity: photophilia and photophobia.",Supplemental,English,Sensory,No,https://heal.nih.gov/files/CDEs/2023-09/paq-cde.xlsx,English
7676,pedsql-sickle-cell-ages-1-12_months-copyright-statement.docx,"The PedsQL Sickle Cell Disease Infant age 1-12 months Module is a brief, valid, reliable self- or proxy-administered questionnaire that captures health-related quality of life (HRQOL) in pediatric patients with sickle cell disease.",Supplemental,English,"Sickle Cell",Yes,https://heal.nih.gov/files/CDEs/2023-09/pedsql-sickle-cell-ages-1-12_months-copyright-statement.docx,English
7706,pedsql-sickle-cell-parent-report-ages-13-24-months-copyright-statement.docx,"The PedsQL Sickle Cell Disease Infant ages 13-24 months Module is a brief, valid, reliable self- or proxy-administered questionnaire that captures health-related quality of life (HRQOL) in pediatric patients with sickle cell disease.",Supplemental,English,"Sickle Cell",Yes,https://heal.nih.gov/files/CDEs/2023-09/pedsql-sickle-cell-parent-report-ages-13-24-months-copyright-statement.docx,English
7686,pedsql-sickle-cell-parent-report-ages-2-4-copyright-statement.docx,"The PedsQL Sickle Cell Disease Parent Report ages 2-4 Module is a brief, valid, reliable self- or proxy-administered questionnaire that captures health-related quality of life (HRQOL) in pediatric patients with sickle cell disease.",Supplemental,English,"Sickle Cell",Yes,https://heal.nih.gov/files/CDEs/2023-09/pedsql-sickle-cell-parent-report-ages-2-4-copyright-statement.docx,English
7671,pedsql-sickle-cell-child-report-ages-5-7-copyright-statement.docx,"The PedsQL Sickle Cell Disease Child Report ages 5-7 Module is a brief, valid, reliable self- or proxy-administered questionnaire that captures health-related quality of life (HRQOL) in pediatric patients with sickle cell disease.",Supplemental,English,"Sickle Cell",Yes,https://heal.nih.gov/files/CDEs/2023-09/pedsql-sickle-cell-child-report-ages-5-7-copyright-statement.docx,English
7691,pedsql-sickle-cell-parent-report-ages-5-7-copyright-statement.docx,"The PedsQL Sickle Cell Disease Parent Report ages 5-7 Module is a brief, valid, reliable self- or proxy-administered questionnaire that captures health-related quality of life (HRQOL) in pediatric patients with sickle cell disease.",Supplemental,English,"Sickle Cell",Yes,https://heal.nih.gov/files/CDEs/2023-09/pedsql-sickle-cell-parent-report-ages-5-7-copyright-statement.docx,English
7681,pedsql-sickle-cell-child-report-ages-8-12-copyright-statement.docx,"The PedsQL Sickle Cell Disease Child Report ages 8-12 Module is a brief, valid, reliable self- or proxy-administered questionnaire that captures health-related quality of life (HRQOL) in pediatric patients with sickle cell disease.",Supplemental,English,"Sickle Cell",Yes,https://heal.nih.gov/files/CDEs/2023-09/pedsql-sickle-cell-child-report-ages-8-12-copyright-statement.docx,English
