"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max","Identifier?","Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
"temperament_child_record_id","px181101_phenx_temperament___child",,"text","Record ID",,"PX181101",,,,,,,,,,"",""
"temperament_child_concentration","px181101_phenx_temperament___child",,"radio","My child when building or putting something together, becomes very involved in what s/he is doing, and works for long periods.","1, extremely untrue of your child|2, quite untrue of your child|3, slightly untrue of your child|4, neither true nor false of your child|5, slightly true of your child|6, quite true of your child|7, extremely true of your child|NA, not applicable","PX181101",,,,,,,,,,"",""
"temperament_child_high_fast","px181101_phenx_temperament___child",,"radio","My child likes to go high and fast when pushed on a swing.","1, extremely untrue of your child|2, quite untrue of your child|3, slightly untrue of your child|4, neither true nor false of your child|5, slightly true of your child|6, quite true of your child|7, extremely true of your child|NA, not applicable","PX181101",,,,,,,,,,"",""
"temperament_child_depressed","px181101_phenx_temperament___child",,"radio","My child seems to feel depressed when unable to accomplish some task.","1, extremely untrue of your child|2, quite untrue of your child|3, slightly untrue of your child|4, neither true nor false of your child|5, slightly true of your child|6, quite true of your child|7, extremely true of your child|NA, not applicable","PX181101",,,,,,,,,,"",""
"temperament_child_following_instructions","px181101_phenx_temperament___child",,"radio","My child is good at following instructions.","1, extremely untrue of your child|2, quite untrue of your child|3, slightly untrue of your child|4, neither true nor false of your child|5, slightly true of your child|6, quite true of your child|7, extremely true of your child|NA, not applicable","PX181101",,,,,,,,,,"",""
"temperament_child_approaching_new_situations","px181101_phenx_temperament___child",,"radio","My child takes a long time in approaching new situations.","1, extremely untrue of your child|2, quite untrue of your child|3, slightly untrue of your child|4, neither true nor false of your child|5, slightly true of your child|6, quite true of your child|7, extremely true of your child|NA, not applicable","PX181101",,,,,,,,,,"",""
"temperament_child_complains_ill","px181101_phenx_temperament___child",,"radio","My child hardly ever complains when ill with a cold.","1, extremely untrue of your child|2, quite untrue of your child|3, slightly untrue of your child|4, neither true nor false of your child|5, slightly true of your child|6, quite true of your child|7, extremely true of your child|NA, not applicable","PX181101",,,,,,,,,,"",""
"temperament_child_nursery_rhymes","px181101_phenx_temperament___child",,"radio","My child likes the sound of words, such as nursery rhymes.","1, extremely untrue of your child|2, quite untrue of your child|3, slightly untrue of your child|4, neither true nor false of your child|5, slightly true of your child|6, quite true of your child|7, extremely true of your child|NA, not applicable","PX181101",,,,,,,,,,"",""
"temperament_child_shy","px181101_phenx_temperament___child",,"radio","My child is sometimes shy even around people s/he has known a long time.","1, extremely untrue of your child|2, quite untrue of your child|3, slightly untrue of your child|4, neither true nor false of your child|5, slightly true of your child|6, quite true of your child|7, extremely true of your child|NA, not applicable","PX181101",,,,,,,,,,"",""
"temperament_child_soothe","px181101_phenx_temperament___child",,"radio","My child is very difficult to soothe when s/he has become upset.","1, extremely untrue of your child|2, quite untrue of your child|3, slightly untrue of your child|4, neither true nor false of your child|5, slightly true of your child|6, quite true of your child|7, extremely true of your child|NA, not applicable","PX181101",,,,,,,,,,"",""
"temperament_child_surroundings","px181101_phenx_temperament___child",,"radio","My child is quickly aware of some new item in the living room.","1, extremely untrue of your child|2, quite untrue of your child|3, slightly untrue of your child|4, neither true nor false of your child|5, slightly true of your child|6, quite true of your child|7, extremely true of your child|NA, not applicable","PX181101",,,,,,,,,,"",""
"temperament_child_energy","px181101_phenx_temperament___child",,"radio","My child is full of energy, even in the evening.","1, extremely untrue of your child|2, quite untrue of your child|3, slightly untrue of your child|4, neither true nor false of your child|5, slightly true of your child|6, quite true of your child|7, extremely true of your child|NA, not applicable","PX181101",,,,,,,,,,"",""
"temperament_child_fear_dark","px181101_phenx_temperament___child",,"radio","My child is not afraid of the dark.","1, extremely untrue of your child|2, quite untrue of your child|3, slightly untrue of your child|4, neither true nor false of your child|5, slightly true of your child|6, quite true of your child|7, extremely true of your child|NA, not applicable","PX181101",,,,,,,,,,"",""
"temperament_child_absorbed_book","px181101_phenx_temperament___child",,"radio","My child sometimes becomes absorbed in a picture book and looks at it for a long time.","1, extremely untrue of your child|2, quite untrue of your child|3, slightly untrue of your child|4, neither true nor false of your child|5, slightly true of your child|6, quite true of your child|7, extremely true of your child|NA, not applicable","PX181101",,,,,,,,,,"",""
"temperament_child_rough_games","px181101_phenx_temperament___child",,"radio","My child likes rough and rowdy games.","1, extremely untrue of your child|2, quite untrue of your child|3, slightly untrue of your child|4, neither true nor false of your child|5, slightly true of your child|6, quite true of your child|7, extremely true of your child|NA, not applicable","PX181101",,,,,,,,,,"",""
"temperament_child_not_upset_bruise","px181101_phenx_temperament___child",,"radio","My child is not very upset at minor cuts or bruises.","1, extremely untrue of your child|2, quite untrue of your child|3, slightly untrue of your child|4, neither true nor false of your child|5, slightly true of your child|6, quite true of your child|7, extremely true of your child|NA, not applicable","PX181101",,,,,,,,,,"",""
"temperament_child_cautious","px181101_phenx_temperament___child",,"radio","My child approaches places s/he has been told are dangerous slowly and cautiously.","1, extremely untrue of your child|2, quite untrue of your child|3, slightly untrue of your child|4, neither true nor false of your child|5, slightly true of your child|6, quite true of your child|7, extremely true of your child|NA, not applicable","PX181101",,,,,,,,,,"",""
"temperament_child_slow_unhurried","px181101_phenx_temperament___child",,"radio","My child is slow and unhurried in deciding what to do next.","1, extremely untrue of your child|2, quite untrue of your child|3, slightly untrue of your child|4, neither true nor false of your child|5, slightly true of your child|6, quite true of your child|7, extremely true of your child|NA, not applicable","PX181101",,,,,,,,,,"",""
"temperament_child_angry_boredom","px181101_phenx_temperament___child",,"radio","My child gets angry when s/he can't find something s/he wants to play with.","1, extremely untrue of your child|2, quite untrue of your child|3, slightly untrue of your child|4, neither true nor false of your child|5, slightly true of your child|6, quite true of your child|7, extremely true of your child|NA, not applicable","PX181101",,,,,,,,,,"",""
"temperament_child_gentle_rhythmic_activities","px181101_phenx_temperament___child",,"radio","My child enjoys gentle rhythmic activities such as rocking or swaying.","1, extremely untrue of your child|2, quite untrue of your child|3, slightly untrue of your child|4, neither true nor false of your child|5, slightly true of your child|6, quite true of your child|7, extremely true of your child|NA, not applicable","PX181101",,,,,,,,,,"",""
"temperament_child_shy_new_people","px181101_phenx_temperament___child",,"radio","My child sometimes turns away shyly from new acquaintances.","1, extremely untrue of your child|2, quite untrue of your child|3, slightly untrue of your child|4, neither true nor false of your child|5, slightly true of your child|6, quite true of your child|7, extremely true of your child|NA, not applicable","PX181101",,,,,,,,,,"",""
"temperament_child_upset_friends_leave","px181101_phenx_temperament___child",,"radio","My child becomes upset when loved relatives or friends are getting ready to leave following a visit.","1, extremely untrue of your child|2, quite untrue of your child|3, slightly untrue of your child|4, neither true nor false of your child|5, slightly true of your child|6, quite true of your child|7, extremely true of your child|NA, not applicable","PX181101",,,,,,,,,,"",""
"temperament_child_attention_detail_comments","px181101_phenx_temperament___child",,"radio","My child comments when a parent has changed his/her appearance.","1, extremely untrue of your child|2, quite untrue of your child|3, slightly untrue of your child|4, neither true nor false of your child|5, slightly true of your child|6, quite true of your child|7, extremely true of your child|NA, not applicable","PX181101",,,,,,,,,,"",""
