"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max","Identifier?","Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
"factor_eight_population_clotting_extended_record_id","px911202_factor_eight_population_clotting_extended",,"text","Record ID",,"PX911202",,,,,,,,,,"",
"factor_eight_population_clotting_extended_sample_processing_storage_whole_blood","px911202_factor_eight_population_clotting_extended",,"radio","Were samples stored as whole blood samples centrifuged and maintained in sodium citrate tubes?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX911202",,,,,,,,,,"",""
"factor_eight_population_clotting_extended_sample_processing_storage_plasma","px911202_factor_eight_population_clotting_extended",,"radio","Were samples stored as plasma processed by centrifugation and aliquoting into a second tube?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX911202",,,,,,,,,,"",""
"factor_eight_population_clotting_extended_sample_processing_platelet_poor_plasma","px911202_factor_eight_population_clotting_extended",,"radio","Were samples processed to platelet poor plasma (PPP) within 1 hour of collection?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX911202",,,,,"[factor_eight_population_clotting_extended_sample_processing_storage_whole_blood] = 'UNDEFINED_CODE' OR [factor_eight_population_clotting_extended_sample_processing_storage_plasma] = 'UNDEFINED_CODE'",,,,,"",""
"factor_eight_population_clotting_extended_sample_processing_assayed","px911202_factor_eight_population_clotting_extended",,"radio","Were samples assayed within 4 hours of collection?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX911202",,,,,"[factor_eight_population_clotting_extended_sample_processing_storage_whole_blood] = 'UNDEFINED_CODE' OR [factor_eight_population_clotting_extended_sample_processing_storage_plasma] = 'UNDEFINED_CODE'",,,,,"",""
"factor_eight_population_clotting_extended_sample_processing_centrifuge_validated","px911202_factor_eight_population_clotting_extended",,"radio","Was the centrifuge validated so that process results in less than 10,000 platelets/microliter","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX911202",,,,,"[factor_eight_population_clotting_extended_sample_processing_storage_whole_blood] = 'UNDEFINED_CODE' OR [factor_eight_population_clotting_extended_sample_processing_storage_plasma] = 'UNDEFINED_CODE'",,,,,"",""
"factor_eight_population_clotting_extended_sample_processing_frozen","px911202_factor_eight_population_clotting_extended",,"radio","Was the sample frozen immediately and stored at -20 C for at most 2 weeks?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX911202",,,,,"[factor_eight_population_clotting_extended_sample_processing_storage_whole_blood] = 'UNDEFINED_CODE' OR [factor_eight_population_clotting_extended_sample_processing_storage_plasma] = 'UNDEFINED_CODE'",,,,,"",""
"factor_eight_population_clotting_extended_sample_processing_deep_freeze","px911202_factor_eight_population_clotting_extended",,"radio","Was the sample transferred to < = -70 C, including shipment?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX911202",,,,,"[factor_eight_population_clotting_extended_sample_processing_storage_whole_blood] = 'UNDEFINED_CODE' OR [factor_eight_population_clotting_extended_sample_processing_storage_plasma] = 'UNDEFINED_CODE'",,,,,"",""
"factor_eight_population_clotting_extended_one_stage_clotting_factor_assay_selection","px911202_factor_eight_population_clotting_extended",,"radio","Does the assay selected align with the one used to determine the potency of the extended half-life product?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX911202",,,,,"[factor_eight_population_clotting_extended_sample_processing_storage_whole_blood] = 'UNDEFINED_CODE' OR [factor_eight_population_clotting_extended_sample_processing_storage_plasma] = 'UNDEFINED_CODE'",,,,,"",""
"factor_eight_population_clotting_extended_one_stage_clotting_factor_assay_changes","px911202_factor_eight_population_clotting_extended",,"radio","Were any changes made in the protocol over the course of the study?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX911202",,,,,,,,,,"",""
"factor_eight_population_clotting_extended_one_stage_clotting_factor_assay_record","px911202_factor_eight_population_clotting_extended",,"radio","Were the make and manufacturer of equipment, repeatability and coefficients of variation for the assay, and the reagents used recorded?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX911202",,,,,,,,,,"",""
"factor_eight_population_clotting_extended_pharmacokinetic_study","px911202_factor_eight_population_clotting_extended",,"radio","Were the parameters outlined by the International Society on Thrombosis and Haemostasis Subcommittee on Factor VIII, Factor VIII and Rare Coagulation Disorders (Iorio et al., 2017) followed?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX911202",,,,,,,,,,"",""
"factor_eight_population_clotting_extended_pharmacokinetic_study_infusion_baseline","px911202_factor_eight_population_clotting_extended",,"radio","Was Factor VIII activity tested before infusion (baseline)?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX911202",,,,,,,,,,"",""
"factor_eight_population_clotting_extended_pharmacokinetic_study_after_infusion_hours_4","px911202_factor_eight_population_clotting_extended",,"radio","Was Factor VIII activity tested 4-8 hour after infusion?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX911202",,,,,,,,,,"",""
"factor_eight_population_clotting_extended_pharmacokinetic_study_after_infusion_hours_16","px911202_factor_eight_population_clotting_extended",,"radio","Was Factor VIII activity tested 16-28 hours after infusion?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX911202",,,,,,,,,,"",""
"factor_eight_population_clotting_extended_pharmacokinetic_study_after_infusion_hours_40","px911202_factor_eight_population_clotting_extended",,"radio","Was Factor VIII activity tested 40-60 hours after infusion?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX911202",,,,,,,,,,"",""
"factor_eight_population_clotting_extended_pharmacokinetic_study_after_infusion_hours_60","px911202_factor_eight_population_clotting_extended",,"radio","Was Factor VIII activity tested 60-84 hours after infusion?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX911202",,,,,,,,,,"",""
"factor_eight_population_clotting_extended_pharmacokinetic_model","px911202_factor_eight_population_clotting_extended",,"radio","Was a “robust” population pharmacokinetics model, such as WAPPS-Hemo or PKFit, used?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX911202",,,,,,,,,,"",""
